symbol,date,open,high,low,close,volume
21STCENMGM,2025-07-22,58.38,60.0,58.0,58.36,11456
21STCENMGM,2025-07-23,58.4,59.49,57.91,58.98,3135
21STCENMGM,2025-07-24,59.95,59.95,58.58,59.62,10244
21STCENMGM,2025-07-25,60.64,60.75,59.16,60.18,14131
21STCENMGM,2025-07-28,60.18,61.35,59.1,60.33,14634
21STCENMGM,2025-07-29,61.2,61.5,59.2,61.06,12599
21STCENMGM,2025-07-30,61.2,62.03,59.83,60.14,16576
21STCENMGM,2025-07-31,59.05,60.13,58.93,58.98,4705
21STCENMGM,2025-08-01,58.98,60.1,57.85,59.04,2524
21STCENMGM,2025-08-04,60.02,60.14,58.11,58.17,6903
21STCENMGM,2025-08-05,57.42,58.2,57.0,57.72,3291
21STCENMGM,2025-08-06,56.9,58.83,56.63,57.17,3411
21STCENMGM,2025-08-07,56.89,57.92,56.02,57.48,3863
21STCENMGM,2025-08-08,56.39,58.49,56.33,56.55,3888
21STCENMGM,2025-08-11,56.55,57.67,55.51,55.7,2839
21STCENMGM,2025-08-12,55.7,56.81,55.7,56.61,1654
21STCENMGM,2025-08-13,55.57,57.67,55.53,56.95,4188
21STCENMGM,2025-08-14,56.95,56.95,56.05,56.05,3611
21STCENMGM,2025-08-18,55.02,57.04,55.0,56.72,6324
21STCENMGM,2025-08-19,57.85,57.85,56.12,56.95,5639
21STCENMGM,2025-08-20,56.95,57.63,56.12,56.85,2638
21STCENMGM,2025-08-21,57.98,57.98,56.57,56.84,1938
21STCENMGM,2025-08-22,56.84,57.45,56.0,56.0,2153
21STCENMGM,2025-08-25,56.99,56.99,54.88,55.02,6805
21STCENMGM,2025-08-26,55.29,56.0,53.95,53.98,7526
21STCENMGM,2025-08-28,55.05,55.05,53.32,53.84,5461
21STCENMGM,2025-08-29,54.73,54.73,53.0,53.03,9853
21STCENMGM,2025-09-01,53.01,53.01,51.96,52.26,8576
21STCENMGM,2025-09-02,53.3,53.3,51.7,53.22,3152
21STCENMGM,2025-09-03,53.2,54.2,52.41,54.12,3697
21STCENMGM,2025-09-04,55.15,55.15,53.03,53.37,7827
21STCENMGM,2025-09-05,52.37,54.23,52.36,52.57,1595
21STCENMGM,2025-09-08,53.62,53.62,52.02,53.62,813
21STCENMGM,2025-09-09,54.2,54.5,52.67,53.49,6139
21STCENMGM,2025-09-10,53.49,54.4,53.49,53.99,8462
21STCENMGM,2025-09-11,55.06,55.06,53.05,53.29,6198
21STCENMGM,2025-09-12,53.9,53.9,52.26,53.85,3051
21STCENMGM,2025-09-15,54.0,54.5,52.85,53.13,9388
21STCENMGM,2025-09-16,53.13,53.49,52.1,53.17,9558
21STCENMGM,2025-09-17,54.2,54.23,52.21,53.75,5415
21STCENMGM,2025-09-18,53.75,54.47,52.75,53.32,1068
21STCENMGM,2025-09-19,53.32,54.1,52.32,52.42,5298
21STCENMGM,2025-09-22,52.0,53.45,51.81,52.51,6453
21STCENMGM,2025-09-23,53.39,53.4,51.55,52.87,4423
21STCENMGM,2025-09-24,53.7,53.7,51.85,51.98,2006
21STCENMGM,2025-09-25,53.01,53.01,51.36,52.05,4045
21STCENMGM,2025-09-26,52.98,52.98,51.05,51.4,1349
21STCENMGM,2025-09-29,51.17,52.37,50.4,51.29,6910
21STCENMGM,2025-09-30,52.31,52.31,50.3,51.56,7705
21STCENMGM,2025-10-01,51.0,52.29,50.52,51.09,2550
21STCENMGM,2025-10-03,50.06,51.9,50.06,50.21,5967
21STCENMGM,2025-10-06,49.2,50.9,49.2,50.09,4414
21STCENMGM,2025-10-07,50.0,50.87,49.08,49.08,11555
21STCENMGM,2025-10-08,49.99,49.99,48.1,48.16,6018
21STCENMGM,2025-10-09,48.99,48.99,47.24,47.79,1853
21STCENMGM,2025-10-10,48.0,48.57,47.01,47.2,6102
21STCENMGM,2025-10-13,48.14,48.14,46.41,46.7,2788
21STCENMGM,2025-10-14,46.7,47.63,46.15,47.23,11315
21STCENMGM,2025-10-15,48.17,48.17,46.36,47.0,5538
21STCENMGM,2025-10-16,47.94,47.94,46.5,47.75,3883
21STCENMGM,2025-10-17,47.75,48.7,47.52,48.7,8956
21STCENMGM,2025-10-20,49.65,49.65,47.85,48.41,10465
21STCENMGM,2025-10-21,49.37,49.37,47.61,48.05,1809
21STCENMGM,2025-10-23,48.74,48.74,47.16,47.25,3896
21STCENMGM,2025-10-24,46.3,48.09,46.3,46.88,3724
21STCENMGM,2025-10-27,46.98,47.0,45.94,46.01,5221
21STCENMGM,2025-10-28,46.9,46.93,45.08,45.63,7661
21STCENMGM,2025-10-29,45.45,46.54,44.99,45.89,6722
21STCENMGM,2025-10-30,46.47,46.8,45.21,46.29,7969
21STCENMGM,2025-10-31,45.7,47.21,45.7,46.7,2330
21STCENMGM,2025-11-03,46.9,47.6,45.92,46.88,6144
21STCENMGM,2025-11-04,46.9,47.7,45.94,46.04,11716
21STCENMGM,2025-11-06,45.95,46.96,45.31,46.96,45250
21STCENMGM,2025-11-07,46.9,47.89,46.9,47.89,4960
21STCENMGM,2025-11-10,46.95,46.95,46.93,46.93,3511
21STCENMGM,2025-11-11,46.93,46.93,45.99,45.99,1338
21STCENMGM,2025-11-12,45.07,45.9,45.07,45.07,8420
21STCENMGM,2025-11-13,44.16,45.0,44.16,44.16,6825
21STCENMGM,2025-11-14,43.27,43.27,43.27,43.27,2175
21STCENMGM,2025-11-17,42.4,43.27,42.4,42.4,8770
21STCENMGM,2025-11-18,43.0,43.0,41.55,41.55,8875
21STCENMGM,2025-11-19,40.75,41.55,40.71,40.71,8682
21STCENMGM,2025-11-20,40.0,41.45,39.89,39.89,6984
21STCENMGM,2025-11-21,39.89,39.89,39.09,39.09,4836
21STCENMGM,2025-11-24,39.0,39.0,38.3,38.3,1908
21STCENMGM,2025-11-25,37.53,37.8,37.53,37.53,2069
21STCENMGM,2025-11-26,37.35,37.35,36.77,36.77,25812
21STCENMGM,2025-11-27,36.03,37.5,36.03,37.5,6999
21STCENMGM,2025-11-28,37.75,38.25,37.75,38.25,718
21STCENMGM,2025-12-01,39.01,39.01,39.01,39.01,670
21STCENMGM,2025-12-02,39.79,39.79,39.79,39.79,2364
21STCENMGM,2025-12-03,40.58,40.58,40.58,40.58,324
21STCENMGM,2025-12-04,41.39,41.39,41.39,41.39,2748
21STCENMGM,2025-12-05,42.21,42.21,42.21,42.21,9961
21STCENMGM,2025-12-08,43.05,43.05,41.55,43.05,5744
21STCENMGM,2025-12-09,43.88,43.91,42.22,42.79,12651
21STCENMGM,2025-12-10,43.62,43.64,42.8,43.61,1413
21STCENMGM,2025-12-11,44.44,44.44,43.06,44.08,2797
21STCENMGM,2025-12-12,43.25,44.96,43.25,44.88,3618
21STCENMGM,2025-12-15,45.0,45.77,44.37,45.77,9574
21STCENMGM,2025-12-16,46.68,46.68,45.01,46.68,7638
21STCENMGM,2025-12-17,47.61,47.61,46.68,47.6,24951
21STCENMGM,2025-12-18,48.06,48.55,48.06,48.55,7472
21STCENMGM,2025-12-19,49.52,49.52,47.6,48.74,17758
21STCENMGM,2025-12-22,49.71,49.71,49.7,49.71,6330
21STCENMGM,2025-12-23,50.7,50.7,49.83,50.7,10603
21STCENMGM,2025-12-24,51.71,51.71,51.71,51.71,3105
21STCENMGM,2025-12-26,52.74,52.74,52.74,52.74,883
21STCENMGM,2025-12-29,53.79,53.79,51.69,51.69,14714
