symbol,date,open,high,low,close,volume
AAKASH,2025-07-23,9.99,10.23,9.75,9.94,97083
AAKASH,2025-07-24,10.03,10.15,9.8,9.98,85208
AAKASH,2025-07-25,9.96,9.96,9.8,9.89,65666
AAKASH,2025-07-28,9.81,10.19,9.61,9.91,115744
AAKASH,2025-07-29,10.19,10.25,9.83,10.12,112782
AAKASH,2025-07-30,10.36,10.36,9.65,9.81,63271
AAKASH,2025-07-31,9.75,10.0,9.35,9.79,134345
AAKASH,2025-08-01,9.98,9.98,9.75,9.91,51219
AAKASH,2025-08-04,10.1,10.1,9.57,9.83,105216
AAKASH,2025-08-05,10.03,10.25,9.55,9.94,174915
AAKASH,2025-08-06,9.94,10.2,9.9,9.98,100933
AAKASH,2025-08-07,10.19,10.19,9.8,10.04,99845
AAKASH,2025-08-08,9.91,10.19,9.91,10.03,64023
AAKASH,2025-08-11,9.95,10.53,9.95,10.2,194161
AAKASH,2025-08-12,10.2,10.6,10.01,10.46,169907
AAKASH,2025-08-13,10.45,10.7,10.25,10.4,98864
AAKASH,2025-08-14,10.76,10.76,10.31,10.42,97399
AAKASH,2025-08-18,10.94,10.94,10.63,10.94,280972
AAKASH,2025-08-19,11.39,11.48,11.0,11.21,532806
AAKASH,2025-08-20,11.29,11.5,10.64,11.12,391226
AAKASH,2025-08-21,11.12,11.12,10.56,10.72,160098
AAKASH,2025-08-22,10.31,10.93,10.31,10.62,84343
AAKASH,2025-08-25,10.63,11.0,10.6,10.8,92762
AAKASH,2025-08-26,10.8,10.9,10.52,10.75,144210
AAKASH,2025-08-28,10.52,10.95,10.52,10.56,58829
AAKASH,2025-08-29,10.35,10.8,10.11,10.3,75700
AAKASH,2025-09-01,10.3,10.6,10.3,10.35,38985
AAKASH,2025-09-02,10.45,10.55,10.2,10.36,64780
AAKASH,2025-09-03,10.41,10.49,10.08,10.29,120885
AAKASH,2025-09-04,10.8,10.8,10.11,10.2,80585
AAKASH,2025-09-05,10.01,10.37,10.01,10.23,80151
AAKASH,2025-09-08,10.45,10.48,9.92,10.31,188098
AAKASH,2025-09-09,10.51,10.52,10.0,10.09,66391
AAKASH,2025-09-10,10.09,10.4,9.91,10.14,73011
AAKASH,2025-09-11,10.3,10.33,9.96,10.01,90669
AAKASH,2025-09-12,10.01,10.17,9.9,10.0,72811
AAKASH,2025-09-15,9.77,10.14,9.77,9.97,171970
AAKASH,2025-09-16,9.8,10.45,9.8,9.99,64444
AAKASH,2025-09-17,9.99,10.15,9.99,10.0,48121
AAKASH,2025-09-18,9.95,10.1,9.95,10.01,84724
AAKASH,2025-09-19,9.9,10.1,9.9,10.01,48704
AAKASH,2025-09-22,10.02,10.09,9.9,9.98,87832
AAKASH,2025-09-23,10.0,10.08,9.81,9.92,61468
AAKASH,2025-09-24,10.12,10.12,9.51,9.99,108902
AAKASH,2025-09-25,9.81,10.0,9.8,9.91,58547
AAKASH,2025-09-26,9.81,10.0,9.62,9.69,89449
AAKASH,2025-09-29,10.29,10.29,9.62,9.64,86499
AAKASH,2025-09-30,9.64,9.98,9.06,9.59,73295
AAKASH,2025-10-01,9.69,9.69,9.5,9.57,42271
AAKASH,2025-10-03,9.5,9.68,9.13,9.49,75441
AAKASH,2025-10-06,9.21,9.49,9.21,9.31,160654
AAKASH,2025-10-07,9.12,9.39,9.12,9.22,112102
AAKASH,2025-10-08,9.69,9.69,9.22,9.39,68690
AAKASH,2025-10-09,9.5,9.54,9.19,9.23,59410
AAKASH,2025-10-10,9.25,9.3,9.0,9.24,63189
