symbol,date,open,high,low,close,volume
ABBOTINDIA,2002-08-12,300.0,300.0,266.0,274.0,600
ABBOTINDIA,2002-08-13,288.0,288.0,273.7,275.2,100
ABBOTINDIA,2002-08-14,252.0,280.0,252.0,274.3,700
ABBOTINDIA,2002-08-15,274.3,274.3,274.3,274.3,0
ABBOTINDIA,2002-08-16,249.85,290.0,249.85,273.05,700
ABBOTINDIA,2002-08-19,258.0,277.0,258.0,275.6,1300
ABBOTINDIA,2002-08-20,278.0,278.0,257.0,276.05,1100
ABBOTINDIA,2002-08-21,273.0,276.15,273.0,274.5,1300
ABBOTINDIA,2002-08-22,274.75,275.0,274.65,274.65,1100
ABBOTINDIA,2002-08-23,271.0,279.95,271.0,275.4,500
ABBOTINDIA,2002-08-26,275.0,278.0,275.0,276.0,400
ABBOTINDIA,2002-08-27,278.0,278.0,273.25,273.25,100
ABBOTINDIA,2002-08-28,275.05,279.0,275.05,275.65,200
ABBOTINDIA,2002-08-29,275.05,275.5,275.05,275.25,100
ABBOTINDIA,2002-08-30,272.15,277.95,272.15,275.2,87
ABBOTINDIA,2002-09-02,275.0,279.8,274.5,279.35,500
ABBOTINDIA,2002-09-03,276.2,278.0,275.35,276.6,1700
ABBOTINDIA,2002-09-04,271.5,279.5,271.5,276.25,100
ABBOTINDIA,2002-09-05,275.1,278.0,275.0,278.0,800
ABBOTINDIA,2002-09-06,277.05,278.75,276.0,276.1,2900
ABBOTINDIA,2002-09-09,275.0,275.0,272.5,275.0,1600
ABBOTINDIA,2002-09-10,275.0,275.0,275.0,275.0,0
ABBOTINDIA,2002-09-11,273.5,275.7,273.0,273.0,500
ABBOTINDIA,2002-09-12,275.0,275.0,271.6,272.9,400
ABBOTINDIA,2002-09-13,272.0,278.0,272.0,275.1,100
ABBOTINDIA,2002-09-16,273.5,278.0,273.15,276.0,300
ABBOTINDIA,2002-09-17,277.0,278.9,276.05,277.45,800
ABBOTINDIA,2002-09-18,275.0,275.55,273.55,275.4,100
ABBOTINDIA,2002-09-19,271.25,272.0,268.0,270.0,100
ABBOTINDIA,2002-09-20,271.0,277.0,270.0,274.9,400
ABBOTINDIA,2002-09-23,273.0,274.0,272.6,272.65,300
ABBOTINDIA,2002-09-24,266.3,274.0,266.3,269.0,900
ABBOTINDIA,2002-09-25,270.4,271.8,270.0,270.5,500
ABBOTINDIA,2002-09-26,275.0,277.5,272.4,276.0,1100
ABBOTINDIA,2002-09-27,275.2,279.5,271.6,275.0,1100
ABBOTINDIA,2002-09-30,275.5,276.9,274.15,274.15,1100
ABBOTINDIA,2002-10-01,274.0,274.0,272.25,272.25,65
ABBOTINDIA,2002-10-02,272.25,272.25,272.25,272.25,0
ABBOTINDIA,2002-10-03,271.1,275.0,271.0,275.0,700
ABBOTINDIA,2002-10-04,275.95,287.0,274.0,280.5,900
ABBOTINDIA,2002-10-07,277.05,280.0,277.05,278.05,90
ABBOTINDIA,2002-10-08,270.0,280.0,270.0,278.65,600
ABBOTINDIA,2002-10-09,279.0,282.5,279.0,282.2,1300
ABBOTINDIA,2002-10-10,280.0,282.9,278.3,282.65,400
ABBOTINDIA,2002-10-11,281.75,284.0,281.75,282.55,100
ABBOTINDIA,2002-10-14,285.0,285.0,280.0,283.95,400
ABBOTINDIA,2002-10-15,283.95,283.95,283.95,283.95,0
ABBOTINDIA,2002-10-16,294.9,294.9,282.5,284.3,300
ABBOTINDIA,2002-10-17,278.0,288.4,278.0,285.3,1300
ABBOTINDIA,2002-10-18,290.0,290.0,281.0,289.95,3300
ABBOTINDIA,2002-10-21,277.0,290.0,277.0,289.2,600
ABBOTINDIA,2002-10-22,291.9,295.0,291.5,293.7,1500
ABBOTINDIA,2002-10-23,290.65,295.05,290.55,294.05,1400
