symbol,date,open,high,low,close,volume
ACCENTMIC,2025-07-22,277.6,279.75,274.5,277.95,17500
ACCENTMIC,2025-07-23,280.95,280.95,270.0,271.15,38500
ACCENTMIC,2025-07-24,271.0,275.9,269.1,270.0,19500
ACCENTMIC,2025-07-25,270.0,276.0,267.6,274.15,42000
ACCENTMIC,2025-07-28,274.15,286.0,274.0,277.95,35500
ACCENTMIC,2025-07-29,279.45,285.0,279.45,283.95,46000
ACCENTMIC,2025-07-30,284.05,289.0,278.2,282.0,43500
ACCENTMIC,2025-07-31,280.1,324.0,280.0,315.95,240000
ACCENTMIC,2025-08-01,312.5,320.0,309.0,311.95,70500
ACCENTMIC,2025-08-04,318.8,318.9,295.1,305.05,111000
ACCENTMIC,2025-08-05,305.05,309.9,302.0,305.8,17000
ACCENTMIC,2025-08-06,306.0,311.5,300.0,300.2,44000
ACCENTMIC,2025-08-07,296.0,314.85,291.2,307.7,123000
ACCENTMIC,2025-08-08,313.0,318.0,298.8,299.2,83500
ACCENTMIC,2025-08-11,300.0,300.0,292.5,295.1,36500
ACCENTMIC,2025-08-12,292.8,292.8,285.0,286.55,24000
ACCENTMIC,2025-08-13,285.0,290.0,284.0,285.1,20000
ACCENTMIC,2025-08-14,290.0,291.9,286.0,290.65,12000
ACCENTMIC,2025-08-18,297.9,302.0,278.25,297.0,13000
ACCENTMIC,2025-08-19,297.0,300.0,296.0,296.0,3500
ACCENTMIC,2025-08-20,299.0,310.7,299.0,308.05,41500
ACCENTMIC,2025-08-21,305.5,314.95,302.5,307.4,19500
ACCENTMIC,2025-08-22,305.0,305.0,299.0,299.2,13500
ACCENTMIC,2025-08-25,300.0,300.9,292.0,298.4,15000
ACCENTMIC,2025-08-26,296.0,296.5,286.5,293.05,22000
ACCENTMIC,2025-08-28,293.05,294.95,285.5,286.05,6500
ACCENTMIC,2025-08-29,286.1,286.1,284.0,284.15,8500
ACCENTMIC,2025-09-01,282.1,292.0,281.2,286.65,19000
ACCENTMIC,2025-09-02,285.0,285.0,278.5,283.15,32000
ACCENTMIC,2025-09-03,287.0,287.0,278.1,282.85,12500
ACCENTMIC,2025-09-04,284.95,289.8,279.0,283.9,15500
ACCENTMIC,2025-09-05,286.75,286.75,278.5,279.0,9500
ACCENTMIC,2025-09-08,280.0,285.0,273.0,273.9,18500
ACCENTMIC,2025-09-09,274.1,279.75,265.0,267.0,21500
ACCENTMIC,2025-09-10,268.0,271.75,268.0,271.75,10000
ACCENTMIC,2025-09-11,268.0,271.95,265.25,266.5,9000
ACCENTMIC,2025-09-12,265.0,267.0,261.5,264.4,21000
ACCENTMIC,2025-09-15,259.75,262.5,258.0,259.15,14500
ACCENTMIC,2025-09-16,260.0,267.45,260.0,261.1,14000
ACCENTMIC,2025-09-17,263.0,268.0,261.0,261.7,24500
ACCENTMIC,2025-09-18,261.25,266.5,259.0,260.75,17500
ACCENTMIC,2025-09-19,260.1,269.5,258.0,268.2,11500
ACCENTMIC,2025-09-22,268.0,268.0,261.0,261.25,18500
ACCENTMIC,2025-09-23,261.25,268.0,248.2,253.85,54500
ACCENTMIC,2025-09-24,250.0,256.5,245.0,250.0,32000
ACCENTMIC,2025-09-25,250.0,251.95,246.0,249.7,4500
ACCENTMIC,2025-09-26,246.2,249.7,243.0,244.55,10000
ACCENTMIC,2025-09-29,242.0,249.0,242.0,243.5,9500
ACCENTMIC,2025-09-30,240.0,248.95,240.0,244.95,4000
ACCENTMIC,2025-10-01,248.0,248.0,245.0,246.45,2500
ACCENTMIC,2025-10-03,249.0,249.0,243.0,243.55,8500
