symbol,date,open,high,low,close,volume
ADVIKCA,2026-08-18,1.24,1.26,1.18,1.23,179534
ADVIKCA,2026-08-19,1.25,1.25,1.21,1.22,95397
ADVIKCA,2026-08-20,1.21,1.25,1.2,1.2,192176
ADVIKCA,2026-08-21,1.2,1.22,1.19,1.2,178394
ADVIKCA,2026-08-24,1.22,1.23,1.18,1.19,199464
ADVIKCA,2026-08-25,1.21,1.23,1.16,1.2,261735
ADVIKCA,2026-08-26,1.19,1.22,1.19,1.19,313484
ADVIKCA,2026-08-27,1.19,1.21,1.18,1.19,199252
ADVIKCA,2026-08-28,1.21,1.23,1.18,1.19,284503
ADVIKCA,2026-08-31,1.21,1.21,1.12,1.16,566958
ADVIKCA,2026-09-01,1.17,1.17,1.14,1.15,289220
ADVIKCA,2026-09-02,1.16,1.26,1.11,1.15,899571
ADVIKCA,2026-09-03,1.17,1.17,1.1,1.13,325275
ADVIKCA,2026-09-04,1.15,1.16,1.11,1.12,329513
ADVIKCA,2026-09-07,1.12,1.13,1.1,1.1,337126
ADVIKCA,2026-09-08,1.1,1.1,1.06,1.07,819602
ADVIKCA,2026-09-09,1.07,1.09,1.06,1.07,159333
ADVIKCA,2026-09-10,1.08,1.09,1.04,1.06,99120
