symbol,date,open,high,low,close,volume
AERONEU,2025-07-23,119.4,121.79,118.35,119.45,9080
AERONEU,2025-07-24,119.9,119.9,116.3,116.58,9268
AERONEU,2025-07-25,117.16,122.3,117.16,118.75,18155
AERONEU,2025-07-28,119.0,121.2,118.0,118.0,82984
AERONEU,2025-07-29,118.0,122.0,118.0,118.9,20493
AERONEU,2025-07-30,120.0,122.4,117.81,120.03,19907
AERONEU,2025-07-31,120.03,120.03,118.5,119.89,4064
AERONEU,2025-08-01,120.0,120.0,117.0,118.0,3297
AERONEU,2025-08-04,118.0,122.0,118.0,119.95,8036
AERONEU,2025-08-05,122.0,122.0,118.0,118.32,16068
AERONEU,2025-08-06,118.55,119.5,117.3,118.0,4410
AERONEU,2025-08-07,118.0,119.0,117.25,117.25,620
AERONEU,2025-08-08,117.25,117.5,112.01,114.01,5017
AERONEU,2025-08-11,115.99,115.99,114.5,114.5,896
AERONEU,2025-08-12,114.75,115.0,114.75,114.75,145
AERONEU,2025-08-13,114.85,114.85,113.75,113.76,675
AERONEU,2025-08-14,114.0,117.5,114.0,115.42,233
AERONEU,2025-08-18,114.0,115.5,112.4,115.38,1008
AERONEU,2025-08-19,117.0,118.0,111.7,111.74,1636
AERONEU,2025-08-20,112.0,116.0,106.5,106.89,10636
AERONEU,2025-08-21,106.0,109.98,104.5,104.75,1044
AERONEU,2025-08-22,104.0,105.0,103.5,103.5,399
AERONEU,2025-08-25,103.0,103.5,98.32,101.0,1672
AERONEU,2025-08-26,98.0,101.05,96.0,100.1,690
AERONEU,2025-08-28,100.1,100.25,96.5,97.5,834
AERONEU,2025-08-29,97.5,97.5,95.0,95.61,6951
AERONEU,2025-09-01,95.61,99.5,94.75,99.5,12167
AERONEU,2025-09-02,100.0,104.0,100.0,103.03,11075
AERONEU,2025-09-03,101.2,108.18,101.2,106.31,12688
AERONEU,2025-09-04,104.18,111.62,104.18,110.57,5927
AERONEU,2025-09-05,110.02,114.8,108.55,111.1,3190
AERONEU,2025-09-08,107.0,112.0,107.0,108.31,15184
AERONEU,2025-09-09,105.6,110.1,105.6,107.18,21081
AERONEU,2025-09-10,105.0,125.37,105.0,108.93,86656
AERONEU,2025-09-11,108.94,112.0,107.0,107.53,23631
AERONEU,2025-09-12,110.0,112.94,104.0,105.29,19862
AERONEU,2025-09-15,104.49,111.52,103.55,104.33,30492
AERONEU,2025-09-16,104.33,109.96,103.2,105.42,23376
AERONEU,2025-09-17,105.6,109.5,101.5,103.77,24127
AERONEU,2025-09-18,102.49,106.18,97.6,103.68,29973
AERONEU,2025-09-19,103.81,106.8,97.99,99.34,37774
AERONEU,2025-09-22,99.34,101.8,98.1,99.37,18814
AERONEU,2025-09-23,100.01,102.0,98.04,100.49,17755
AERONEU,2025-09-24,100.44,102.5,99.2,99.64,16879
AERONEU,2025-09-25,100.26,101.75,98.21,101.38,16034
AERONEU,2025-09-26,98.6,101.0,82.2,84.74,201076
AERONEU,2025-09-29,85.95,86.97,80.12,80.83,56223
AERONEU,2025-09-30,83.8,83.8,78.0,79.34,51119
AERONEU,2025-10-01,81.32,93.4,79.8,90.04,48789
AERONEU,2025-10-03,90.04,93.12,88.53,89.47,45129
AERONEU,2025-10-06,89.91,90.29,87.0,87.86,21802
