symbol,date,open,high,low,close,volume
ALICON,2025-07-22,950.1,957.5,938.5,951.35,4849
ALICON,2025-07-23,956.4,982.0,940.6,969.1,16774
ALICON,2025-07-24,960.3,975.1,955.6,958.95,5819
ALICON,2025-07-25,952.25,957.05,915.0,921.2,7573
ALICON,2025-07-28,921.1,924.95,883.5,894.75,8339
ALICON,2025-07-29,894.75,920.35,886.6,911.55,5682
ALICON,2025-07-30,914.8,929.8,907.05,922.7,5587
ALICON,2025-07-31,914.3,918.15,902.4,912.3,1668
ALICON,2025-08-01,917.1,926.35,891.1,898.95,3658
ALICON,2025-08-04,903.4,909.3,874.5,878.75,6068
ALICON,2025-08-05,881.0,883.4,857.15,860.55,4647
ALICON,2025-08-06,865.0,870.0,833.15,840.75,4225
ALICON,2025-08-07,836.45,879.9,817.0,861.3,5964
ALICON,2025-08-08,861.0,861.0,815.0,820.05,8950
ALICON,2025-08-11,813.0,818.3,784.25,802.35,20633
ALICON,2025-08-12,795.1,842.0,795.1,812.15,8502
ALICON,2025-08-13,816.4,842.0,816.4,834.8,13437
ALICON,2025-08-14,830.05,839.2,812.0,818.35,6800
ALICON,2025-08-18,818.35,832.4,818.15,820.7,7571
ALICON,2025-08-19,824.95,844.0,820.0,836.35,16539
ALICON,2025-08-20,840.8,842.15,815.7,838.55,7988
ALICON,2025-08-21,842.95,869.8,842.3,861.5,7528
ALICON,2025-08-22,866.0,866.0,845.0,850.25,4914
ALICON,2025-08-25,854.7,869.9,842.0,847.25,9861
ALICON,2025-08-26,839.5,851.15,832.0,838.9,3936
ALICON,2025-08-28,838.7,850.0,830.0,840.85,4558
ALICON,2025-08-29,840.4,854.4,839.05,845.45,3055
ALICON,2025-09-01,849.45,853.25,835.55,839.2,4718
ALICON,2025-09-02,843.6,859.8,834.9,850.0,4241
ALICON,2025-09-03,848.05,860.6,843.5,844.85,4153
ALICON,2025-09-04,846.0,864.9,825.5,831.8,7402
ALICON,2025-09-05,832.0,841.0,825.0,839.65,3723
ALICON,2025-09-08,839.05,852.35,826.05,834.5,7022
ALICON,2025-09-09,845.1,848.0,834.7,843.0,3684
ALICON,2025-09-10,847.4,859.85,832.65,840.95,8068
ALICON,2025-09-11,842.0,843.65,822.0,830.9,14295
ALICON,2025-09-12,823.3,895.1,823.3,871.9,39993
ALICON,2025-09-15,872.0,882.65,861.05,867.2,8660
ALICON,2025-09-16,875.85,878.05,860.3,865.85,5461
ALICON,2025-09-17,866.65,882.15,855.1,867.35,14582
ALICON,2025-09-18,867.35,880.1,854.0,857.0,10239
ALICON,2025-09-19,859.35,860.0,840.45,849.0,10865
ALICON,2025-09-22,853.8,873.8,844.8,867.9,20702
ALICON,2025-09-23,872.5,935.0,860.8,918.9,32941
ALICON,2025-09-24,910.9,922.05,876.5,884.45,9284
ALICON,2025-09-25,889.1,891.1,872.85,881.5,5797
ALICON,2025-09-26,873.7,873.7,841.0,852.75,6858
ALICON,2025-09-29,832.0,857.2,832.0,841.95,5670
ALICON,2025-09-30,845.3,851.4,823.75,832.45,7640
ALICON,2025-10-01,834.95,857.6,822.75,843.55,13802
ALICON,2025-10-03,850.0,865.0,839.85,860.45,5745
ALICON,2025-10-06,871.6,871.6,850.5,853.85,5133
ALICON,2025-10-07,851.4,858.25,842.5,848.35,5886
ALICON,2025-10-08,842.8,872.3,842.8,859.95,4964
ALICON,2025-10-09,860.4,867.4,851.0,861.3,3242
ALICON,2025-10-10,861.3,871.0,843.1,853.2,5427
ALICON,2025-10-13,850.1,852.9,840.0,841.85,3276
ALICON,2025-10-14,846.3,896.0,833.0,848.6,5943
ALICON,2025-10-15,846.05,854.0,842.5,850.25,3286
ALICON,2025-10-16,848.35,865.1,847.4,859.85,5304
ALICON,2025-10-17,863.65,864.95,847.6,851.15,2833
ALICON,2025-10-20,855.6,857.6,842.0,854.75,1577
ALICON,2025-10-21,862.8,872.0,854.75,866.45,2862
ALICON,2025-10-23,860.8,873.0,850.0,855.15,5044
ALICON,2025-10-24,855.0,882.0,855.0,873.8,8290
ALICON,2025-10-27,898.95,1022.0,889.0,984.1,2654103
ALICON,2025-10-28,964.95,975.0,940.2,944.05,163435
ALICON,2025-10-29,946.0,946.9,905.35,925.6,67633
ALICON,2025-10-30,924.95,968.05,917.2,949.25,57849
ALICON,2025-10-31,954.0,960.4,916.0,928.7,19345
ALICON,2025-11-03,928.0,975.0,901.5,963.8,43149
ALICON,2025-11-04,970.05,988.0,955.0,966.55,35377
ALICON,2025-11-06,966.0,966.55,931.1,936.1,16637
ALICON,2025-11-07,927.6,927.6,900.0,906.1,19573
ALICON,2025-11-10,900.0,913.35,862.2,870.0,27267
ALICON,2025-11-11,870.0,916.6,840.6,891.9,36316
ALICON,2025-11-12,883.9,905.05,878.5,889.15,19209
ALICON,2025-11-13,888.95,903.8,872.0,880.4,6031
ALICON,2025-11-14,872.4,888.4,868.15,879.6,10568
ALICON,2025-11-17,870.0,896.0,860.0,894.6,8715
ALICON,2025-11-18,885.0,903.85,877.1,900.55,11648
ALICON,2025-11-19,900.0,909.9,881.0,887.6,10288
ALICON,2025-11-20,888.5,899.2,850.25,860.05,15283
ALICON,2025-11-21,860.0,917.85,860.0,902.05,77497
ALICON,2025-11-24,904.6,904.7,870.25,879.85,12009
ALICON,2025-11-25,884.4,897.0,870.25,892.2,6606
ALICON,2025-11-26,891.3,903.7,884.15,897.15,9390
ALICON,2025-11-27,889.0,909.0,889.0,897.95,7850
ALICON,2025-11-28,897.55,904.95,890.1,894.5,10292
ALICON,2025-12-01,886.4,909.0,886.4,898.75,10101
ALICON,2025-12-02,890.6,906.0,889.85,892.75,5502
ALICON,2025-12-03,897.4,897.4,859.05,871.3,13979
ALICON,2025-12-04,865.0,882.5,865.0,869.2,5117
ALICON,2025-12-05,865.0,899.0,857.45,882.45,4894
ALICON,2025-12-08,890.0,890.0,832.25,838.95,13050
ALICON,2025-12-09,836.0,847.4,817.95,841.15,11558
ALICON,2025-12-10,840.5,858.65,834.9,842.95,5760
ALICON,2025-12-11,835.3,850.85,835.3,844.55,4624
ALICON,2025-12-12,848.9,867.0,842.75,857.95,3294
ALICON,2025-12-15,862.5,862.5,846.0,855.0,3033
ALICON,2025-12-16,847.2,865.0,842.3,846.15,3605
ALICON,2025-12-17,849.7,849.7,823.65,826.65,4813
ALICON,2025-12-18,826.7,826.9,805.35,816.45,6555
ALICON,2025-12-19,809.0,836.0,809.0,830.2,2794
ALICON,2025-12-22,830.2,853.05,830.2,841.05,7248
ALICON,2025-12-23,845.5,847.45,833.5,842.5,3294
ALICON,2025-12-24,838.5,846.9,819.0,830.35,9270
ALICON,2025-12-26,826.2,863.0,826.2,841.9,3988
ALICON,2025-12-29,846.3,847.65,826.95,831.8,3031
ALICON,2025-12-30,824.2,842.7,812.2,819.3,9681
ALICON,2025-12-31,818.25,835.95,812.0,815.3,11271
ALICON,2026-01-01,819.4,827.0,811.35,820.95,6872
ALICON,2026-01-02,814.95,874.0,814.95,847.2,14038
ALICON,2026-01-05,831.15,859.55,831.15,843.9,6426
ALICON,2026-01-06,836.2,842.85,821.05,826.4,5672
ALICON,2026-01-07,820.0,830.0,819.85,822.5,5060
ALICON,2026-01-08,815.0,825.8,801.0,810.2,6593
ALICON,2026-01-09,802.85,808.8,785.0,788.35,7217
ALICON,2026-01-12,788.35,797.4,770.0,776.65,7832
ALICON,2026-01-13,769.6,799.4,769.0,771.95,6944
ALICON,2026-01-14,763.1,778.7,748.7,757.0,6581
ALICON,2026-01-16,757.0,774.55,726.5,737.7,8787
ALICON,2026-01-19,726.95,753.0,725.75,730.15,8198
ALICON,2026-01-20,723.5,727.25,692.05,698.2,13861
ALICON,2026-01-21,691.9,700.0,670.05,686.35,11306
ALICON,2026-01-22,681.1,700.0,681.1,693.55,7459
ALICON,2026-01-23,683.1,696.1,666.0,674.75,5176
ALICON,2026-01-27,668.6,682.0,655.9,659.6,8973
ALICON,2026-01-28,659.6,714.9,657.8,688.5,37915
ALICON,2026-01-29,682.2,694.0,680.25,685.0,3963
ALICON,2026-01-30,678.8,698.5,668.0,679.65,11523
ALICON,2026-02-02,680.0,693.15,670.2,688.55,5436
