symbol,date,open,high,low,close,volume
ALIVUS,2025-07-23,1042.6,1059.3,1022.0,1024.8,50795
ALIVUS,2025-07-24,1025.0,1034.9,1015.3,1023.0,23594
ALIVUS,2025-07-25,1022.0,1037.5,1011.3,1028.4,49960
ALIVUS,2025-07-28,1034.0,1048.0,1016.1,1022.0,58140
ALIVUS,2025-07-29,1020.0,1029.5,1011.0,1016.6,34281
ALIVUS,2025-07-30,1016.2,1055.0,1008.1,1050.3,73808
ALIVUS,2025-07-31,1035.6,1049.3,1015.2,1031.1,53591
ALIVUS,2025-08-01,1026.8,1026.8,991.9,1000.6,94374
ALIVUS,2025-08-04,987.6,991.9,948.0,965.7,128075
ALIVUS,2025-08-05,965.0,1011.0,957.1,986.7,237357
ALIVUS,2025-08-06,986.7,987.9,936.0,950.8,123051
ALIVUS,2025-08-07,935.0,947.4,925.1,936.4,119304
ALIVUS,2025-08-08,937.4,947.8,925.1,934.8,195379
ALIVUS,2025-08-11,939.0,943.2,920.1,927.4,85354
ALIVUS,2025-08-12,927.9,974.0,925.8,959.7,146406
ALIVUS,2025-08-13,958.1,968.9,949.6,958.4,51830
ALIVUS,2025-08-14,959.0,968.4,933.3,944.1,60684
ALIVUS,2025-08-18,959.9,961.0,932.4,956.1,106685
ALIVUS,2025-08-19,956.0,973.9,949.1,967.6,122313
ALIVUS,2025-08-20,968.0,975.1,959.1,966.1,47321
ALIVUS,2025-08-21,965.0,978.8,960.1,970.3,47616
ALIVUS,2025-08-22,971.0,975.9,962.2,969.7,55490
ALIVUS,2025-08-25,966.0,978.0,956.8,970.0,167725
ALIVUS,2025-08-26,960.3,973.0,943.9,948.5,122076
ALIVUS,2025-08-28,948.5,956.0,935.2,941.7,36246
ALIVUS,2025-08-29,947.4,957.4,929.9,944.8,49092
ALIVUS,2025-09-01,937.05,945.3,930.6,936.5,38092
ALIVUS,2025-09-02,944.0,948.0,931.0,934.75,38779
ALIVUS,2025-09-03,930.0,947.0,930.0,937.35,44555
ALIVUS,2025-09-04,944.9,955.0,925.2,929.1,48221
ALIVUS,2025-09-05,931.5,933.05,920.4,923.0,28385
ALIVUS,2025-09-08,923.95,932.15,918.0,920.55,51260
ALIVUS,2025-09-09,920.0,957.0,917.6,953.1,77686
ALIVUS,2025-09-10,948.0,958.45,943.0,954.65,194703
ALIVUS,2025-09-11,956.8,956.8,942.2,944.7,34744
ALIVUS,2025-09-12,951.5,951.5,935.0,936.9,33281
ALIVUS,2025-09-15,945.0,945.0,924.0,930.6,45732
ALIVUS,2025-09-16,939.9,944.95,928.05,936.6,46675
ALIVUS,2025-09-17,936.6,949.0,934.35,939.0,98220
ALIVUS,2025-09-18,944.0,952.0,935.75,946.85,44885
ALIVUS,2025-09-19,947.25,1078.4,947.25,1047.45,3075322
ALIVUS,2025-09-22,1021.3,1038.7,995.0,1002.95,207031
ALIVUS,2025-09-23,998.0,1002.8,966.05,983.25,121703
ALIVUS,2025-09-24,988.05,988.05,953.0,968.3,102015
ALIVUS,2025-09-25,973.0,984.85,943.3,946.75,83672
ALIVUS,2025-09-26,936.0,946.8,900.05,939.2,313548
ALIVUS,2025-09-29,947.95,1010.0,910.2,952.3,560446
ALIVUS,2025-09-30,947.55,952.0,924.5,929.15,97779
ALIVUS,2025-10-01,912.8,945.0,911.7,938.35,100702
ALIVUS,2025-10-03,940.0,956.0,929.0,932.05,69954
ALIVUS,2025-10-06,940.0,945.0,928.7,933.3,96457
ALIVUS,2025-10-07,930.0,939.75,922.1,925.6,70241
ALIVUS,2025-10-08,937.9,940.2,917.4,919.8,64632
ALIVUS,2025-10-09,912.2,949.8,911.4,944.2,130387
