symbol,date,open,high,low,close,volume
ALKALI,2025-07-22,98.34,99.13,96.6,96.91,8616
ALKALI,2025-07-23,97.73,97.99,95.0,96.16,8301
ALKALI,2025-07-24,97.51,98.39,95.1,95.93,6347
ALKALI,2025-07-25,96.58,97.49,93.11,93.85,8218
ALKALI,2025-07-28,93.86,95.36,90.85,92.15,5074
ALKALI,2025-07-29,92.15,93.69,91.5,92.49,4294
ALKALI,2025-07-30,93.69,94.39,92.02,92.2,3800
ALKALI,2025-07-31,91.5,92.88,90.0,90.56,4547
ALKALI,2025-08-01,92.1,92.1,88.1,89.04,9321
ALKALI,2025-08-04,90.13,90.5,89.93,90.18,3183
ALKALI,2025-08-05,90.91,92.31,90.9,91.03,2957
ALKALI,2025-08-06,90.9,92.53,90.9,91.31,3478
ALKALI,2025-08-07,91.31,91.31,86.5,87.24,9796
ALKALI,2025-08-08,87.24,89.89,83.86,86.93,16944
ALKALI,2025-08-11,89.69,89.69,85.25,86.48,2520
ALKALI,2025-08-12,87.04,87.74,86.7,87.0,1419
ALKALI,2025-08-13,88.99,89.09,86.15,87.46,5321
ALKALI,2025-08-14,89.99,89.99,86.1,87.19,2121
ALKALI,2025-08-18,87.1,91.99,86.11,87.99,15335
ALKALI,2025-08-19,87.99,90.86,87.23,89.51,19464
ALKALI,2025-08-20,91.0,91.0,89.68,90.5,5913
ALKALI,2025-08-21,92.0,92.0,89.0,89.5,3620
ALKALI,2025-08-22,89.56,89.99,87.71,88.74,3659
ALKALI,2025-08-25,91.0,91.58,88.15,88.93,15914
ALKALI,2025-08-26,89.0,89.0,85.5,86.01,8465
ALKALI,2025-08-28,87.2,87.75,84.41,85.02,6468
ALKALI,2025-08-29,85.02,86.69,84.0,84.81,4762
ALKALI,2025-09-01,86.68,86.69,85.16,86.08,2979
ALKALI,2025-09-02,86.49,87.83,85.1,85.64,4193
ALKALI,2025-09-03,85.17,86.98,85.1,85.62,2615
ALKALI,2025-09-04,86.01,88.51,86.0,86.73,3687
ALKALI,2025-09-05,86.73,86.73,84.75,85.36,4940
ALKALI,2025-09-08,87.89,92.0,85.37,90.57,17093
ALKALI,2025-09-09,91.9,95.9,89.05,93.74,103931
ALKALI,2025-09-10,92.85,93.74,89.01,90.88,7498
ALKALI,2025-09-11,90.81,94.0,89.0,89.49,9042
ALKALI,2025-09-12,93.4,102.7,89.51,93.64,186031
ALKALI,2025-09-15,96.7,97.8,93.0,93.2,70665
ALKALI,2025-09-16,92.12,95.0,92.01,92.39,6194
ALKALI,2025-09-17,92.39,98.5,90.85,96.89,49875
ALKALI,2025-09-18,97.6,102.3,95.0,95.83,43981
ALKALI,2025-09-19,96.79,96.9,94.02,95.75,9502
ALKALI,2025-09-22,93.4,98.15,93.4,96.35,61223
ALKALI,2025-09-23,98.49,98.49,94.91,95.9,46245
ALKALI,2025-09-24,98.0,98.0,95.01,95.71,8017
ALKALI,2025-09-25,95.24,96.85,94.02,95.26,14317
ALKALI,2025-09-26,95.5,95.5,91.2,91.73,22634
ALKALI,2025-09-29,93.11,94.16,89.5,91.72,37594
ALKALI,2025-09-30,93.95,93.95,90.3,92.97,40562
ALKALI,2025-10-01,92.76,95.5,91.0,91.64,57179
ALKALI,2025-10-03,92.9,92.9,91.6,91.83,3075
ALKALI,2025-10-06,89.65,94.15,89.02,89.77,26601
ALKALI,2025-10-07,91.57,91.89,89.04,89.36,28236
ALKALI,2025-10-08,89.87,90.48,88.61,89.49,3420
ALKALI,2025-10-09,89.55,107.38,89.55,103.26,205727
ALKALI,2025-10-10,103.4,103.4,97.4,99.11,84907
ALKALI,2025-10-13,98.0,98.84,94.86,95.23,13153
ALKALI,2025-10-14,95.23,95.97,90.51,92.26,43442
ALKALI,2025-10-15,92.0,95.7,90.15,90.43,99233
ALKALI,2025-10-16,91.15,92.18,88.81,89.57,21596
ALKALI,2025-10-17,90.99,91.0,86.9,88.02,62717
ALKALI,2025-10-20,89.01,91.99,88.2,88.68,54173
ALKALI,2025-10-21,89.0,91.47,89.0,89.78,2350
ALKALI,2025-10-23,92.0,92.0,88.9,89.05,7035
ALKALI,2025-10-24,88.93,89.49,88.15,88.45,6833
ALKALI,2025-10-27,90.7,90.7,87.0,87.45,7638
