symbol,date,open,high,low,close,volume
ALPINETEX,2026-07-21,105.0,105.0,99.75,99.75,657839
ALPINETEX,2026-07-22,94.77,94.77,94.77,94.77,57588
ALPINETEX,2026-07-23,90.04,90.04,90.04,90.04,47934
ALPINETEX,2026-07-24,85.54,85.54,85.54,85.54,48238
ALPINETEX,2026-07-27,81.27,81.27,81.27,81.27,49122
ALPINETEX,2026-07-28,77.21,77.21,77.21,77.21,45620
ALPINETEX,2026-07-29,73.35,73.35,73.35,73.35,84594
ALPINETEX,2026-07-30,69.69,72.5,69.69,69.69,637522
ALPINETEX,2026-07-31,66.21,73.17,66.21,73.15,883062
ALPINETEX,2026-08-03,71.3,74.5,69.5,71.68,456767
ALPINETEX,2026-08-04,70.44,71.14,67.67,68.04,540152
