symbol,date,open,high,low,close,volume
ANANDRATHI,2025-07-24,1344.45,1344.9,1296.45,1315.6,332394
ANANDRATHI,2025-07-25,1315.0,1321.95,1291.05,1298.1,244618
ANANDRATHI,2025-07-28,1300.0,1342.0,1292.05,1321.8,472350
ANANDRATHI,2025-07-29,1325.0,1347.5,1317.55,1344.15,301112
ANANDRATHI,2025-07-30,1348.0,1365.0,1329.9,1335.7,282336
ANANDRATHI,2025-07-31,1320.0,1350.0,1304.05,1322.8,225528
ANANDRATHI,2025-08-01,1322.5,1324.25,1284.85,1300.55,193316
ANANDRATHI,2025-08-04,1300.0,1339.45,1298.05,1324.65,283184
ANANDRATHI,2025-08-05,1325.0,1345.0,1313.5,1318.85,131922
ANANDRATHI,2025-08-06,1317.9,1320.0,1290.65,1315.35,154264
ANANDRATHI,2025-08-07,1306.25,1312.9,1285.05,1299.55,129996
ANANDRATHI,2025-08-08,1306.0,1306.0,1270.0,1293.9,152152
ANANDRATHI,2025-08-11,1295.15,1357.4,1295.15,1346.8,763500
ANANDRATHI,2025-08-12,1349.45,1391.9,1339.35,1377.8,755034
ANANDRATHI,2025-08-13,1386.85,1399.0,1375.85,1383.95,257952
ANANDRATHI,2025-08-14,1383.55,1383.55,1334.05,1355.2,252584
ANANDRATHI,2025-08-18,1381.5,1424.55,1359.0,1394.55,479032
ANANDRATHI,2025-08-19,1394.65,1417.5,1380.0,1411.4,237954
ANANDRATHI,2025-08-20,1410.3,1422.0,1392.6,1398.2,190304
ANANDRATHI,2025-08-21,1399.5,1422.0,1391.3,1405.7,153116
ANANDRATHI,2025-08-22,1411.3,1411.3,1390.5,1403.1,98854
ANANDRATHI,2025-08-25,1403.1,1424.45,1395.05,1401.9,150122
ANANDRATHI,2025-08-26,1397.5,1411.0,1373.75,1400.85,239332
ANANDRATHI,2025-08-28,1398.0,1398.0,1367.8,1384.1,145100
ANANDRATHI,2025-08-29,1390.15,1419.5,1381.35,1396.95,182342
ANANDRATHI,2025-09-01,1403.5,1474.0,1402.2,1460.15,980692
ANANDRATHI,2025-09-02,1460.0,1482.5,1450.0,1468.35,299270
ANANDRATHI,2025-09-03,1464.0,1466.0,1437.5,1463.45,163380
ANANDRATHI,2025-09-04,1469.95,1489.5,1440.5,1478.1,266348
ANANDRATHI,2025-09-05,1490.25,1490.25,1466.0,1470.95,121674
ANANDRATHI,2025-09-08,1453.0,1487.25,1452.05,1477.0,109894
ANANDRATHI,2025-09-09,1477.0,1493.85,1452.4,1463.4,170912
