symbol,date,open,high,low,close,volume
ANANTRAJ,2021-07-26,66.95,69.5,66.2,69.0,178242
ANANTRAJ,2021-07-27,70.15,70.15,67.95,68.0,211230
ANANTRAJ,2021-07-28,68.5,69.5,65.0,65.85,307960
ANANTRAJ,2021-07-29,65.5,67.5,64.0,66.25,131873
ANANTRAJ,2021-07-30,65.25,67.0,64.5,64.85,163202
ANANTRAJ,2021-08-02,64.5,67.55,62.5,66.6,542409
ANANTRAJ,2021-08-03,66.9,69.9,66.05,69.9,868746
ANANTRAJ,2021-08-04,70.2,73.35,70.1,72.6,1019610
ANANTRAJ,2021-08-05,71.7,72.4,69.0,70.7,266421
ANANTRAJ,2021-08-06,70.95,71.0,68.0,68.95,396429
ANANTRAJ,2021-08-09,68.95,69.8,66.0,67.05,438875
ANANTRAJ,2021-08-10,67.8,67.8,63.7,64.15,379776
ANANTRAJ,2021-08-11,64.0,65.4,60.95,64.05,262091
ANANTRAJ,2021-08-12,64.0,64.9,61.8,63.4,296203
ANANTRAJ,2021-08-13,63.4,64.5,60.6,62.7,106610
ANANTRAJ,2021-08-16,63.65,64.1,61.65,62.2,151184
ANANTRAJ,2021-08-17,63.85,63.85,59.1,59.1,322404
ANANTRAJ,2021-08-18,59.9,60.7,57.0,60.25,297055
ANANTRAJ,2021-08-20,57.75,59.9,57.7,58.0,173869
ANANTRAJ,2021-08-23,58.0,59.3,55.5,58.45,166336
ANANTRAJ,2021-08-24,58.95,58.95,56.5,57.1,76026
ANANTRAJ,2021-08-25,57.1,59.95,57.0,57.45,116132
ANANTRAJ,2021-08-26,58.0,60.3,57.05,60.3,178852
ANANTRAJ,2021-08-27,62.0,63.3,59.0,62.8,303307
ANANTRAJ,2021-08-30,64.75,65.9,61.15,65.9,712163
ANANTRAJ,2021-08-31,65.9,67.35,64.0,64.55,595401
ANANTRAJ,2021-09-01,65.2,66.8,63.1,63.9,222520
ANANTRAJ,2021-09-02,63.9,65.8,62.5,65.15,256220
ANANTRAJ,2021-09-03,63.5,65.9,63.5,63.55,177039
ANANTRAJ,2021-09-06,65.4,66.2,62.2,65.85,415714
ANANTRAJ,2021-09-07,65.95,67.4,64.8,66.75,336663
ANANTRAJ,2021-09-08,66.0,70.05,66.0,70.0,977499
ANANTRAJ,2021-09-09,70.0,72.4,68.0,71.1,724188
ANANTRAJ,2021-09-13,71.2,71.2,67.55,67.8,567329
ANANTRAJ,2021-09-14,68.45,69.35,66.25,67.35,200183
ANANTRAJ,2021-09-15,67.35,68.65,66.05,67.95,356388
ANANTRAJ,2021-09-16,68.35,69.0,66.55,67.2,299869
ANANTRAJ,2021-09-17,67.1,67.7,64.55,65.5,400676
ANANTRAJ,2021-09-20,63.9,65.25,62.25,62.6,399894
ANANTRAJ,2021-09-21,63.3,65.7,60.75,65.65,959465
ANANTRAJ,2021-09-22,66.9,68.8,65.7,68.75,1176311
ANANTRAJ,2021-09-23,69.8,72.15,68.65,72.0,1755968
ANANTRAJ,2021-09-24,72.7,73.45,71.0,71.05,661850
ANANTRAJ,2021-09-27,72.1,74.5,71.3,73.65,996317
ANANTRAJ,2021-09-28,74.65,77.3,74.6,77.3,1519844
