symbol,date,open,high,low,close,volume
ANUHPHR,2024-12-20,116.0,122.85,110.04,111.425,222486
ANUHPHR,2024-12-23,114.945,114.945,104.08,108.18,79368
ANUHPHR,2024-12-24,108.15,112.0,106.005,108.84,43314
ANUHPHR,2024-12-26,109.95,110.42,106.5,107.67,65574
ANUHPHR,2024-12-27,109.275,109.945,107.5,108.78,56570
ANUHPHR,2024-12-30,114.445,121.5,108.5,109.85,924580
ANUHPHR,2024-12-31,111.475,115.0,110.05,113.0,162834
ANUHPHR,2025-01-01,114.7,116.25,112.785,115.51,119152
ANUHPHR,2025-01-02,115.0,117.4,113.415,114.15,101206
ANUHPHR,2025-01-03,113.605,116.5,112.495,113.105,111270
ANUHPHR,2025-01-06,114.8,114.8,104.98,107.3,137544
ANUHPHR,2025-01-07,108.75,114.295,108.445,111.62,149156
ANUHPHR,2025-01-08,113.3,113.3,109.05,109.95,64366
ANUHPHR,2025-01-09,111.6,111.6,107.165,107.775,71000
ANUHPHR,2025-01-10,107.81,108.795,105.25,106.805,63334
ANUHPHR,2025-01-13,105.2,106.73,100.01,101.465,119236
ANUHPHR,2025-01-14,102.915,105.825,100.005,105.15,90458
ANUHPHR,2025-01-15,106.4,106.4,101.015,102.72,90068
ANUHPHR,2025-01-16,101.055,104.625,101.055,103.305,21944
ANUHPHR,2025-01-17,104.35,104.49,101.525,102.375,46530
ANUHPHR,2025-01-20,102.9,104.345,101.735,103.295,41512
ANUHPHR,2025-01-21,104.325,104.88,100.175,101.655,58682
ANUHPHR,2025-01-22,101.05,103.82,98.355,100.2,67720
ANUHPHR,2025-01-23,99.265,106.095,99.265,103.755,74250
ANUHPHR,2025-01-24,103.89,103.89,100.525,101.025,28094
ANUHPHR,2025-01-27,101.0,101.395,95.0,98.26,76886
ANUHPHR,2025-01-28,99.705,101.845,94.75,95.54,126120
ANUHPHR,2025-01-29,95.54,99.0,95.54,97.485,47218
ANUHPHR,2025-01-30,98.01,98.75,95.86,97.18,51012
ANUHPHR,2025-01-31,98.925,99.95,96.89,99.47,43192
ANUHPHR,2025-02-01,100.935,100.935,96.75,98.68,40916
ANUHPHR,2025-02-03,100.0,100.0,96.0,97.255,45536
ANUHPHR,2025-02-04,99.925,99.925,97.06,98.985,30378
ANUHPHR,2025-02-05,99.895,101.25,99.05,99.555,36114
ANUHPHR,2025-02-06,99.995,103.34,99.725,102.46,43616
ANUHPHR,2025-02-07,104.0,104.0,100.025,101.93,35374
ANUHPHR,2025-02-10,97.525,97.525,92.0,92.645,197890
ANUHPHR,2025-02-11,91.05,93.915,88.72,89.625,71326
ANUHPHR,2025-02-12,87.5,89.395,85.525,86.675,70550
ANUHPHR,2025-02-13,88.2,89.5,86.665,87.025,79052
ANUHPHR,2025-02-14,87.0,87.72,83.46,84.28,77072
ANUHPHR,2025-02-17,83.55,85.11,81.13,81.805,112814
ANUHPHR,2025-02-18,82.225,83.595,80.05,81.275,74606
ANUHPHR,2025-02-19,81.275,82.41,79.9,81.265,76694
ANUHPHR,2025-02-20,81.675,82.615,79.005,80.53,121344
ANUHPHR,2025-02-21,81.75,82.83,80.015,81.69,38374
ANUHPHR,2025-02-24,81.95,81.95,79.105,80.21,57078
ANUHPHR,2025-02-25,80.805,81.2,79.41,80.325,25290
ANUHPHR,2025-02-27,79.525,80.945,78.9,79.475,46896
ANUHPHR,2025-02-28,79.24,79.24,76.74,76.98,64456
ANUHPHR,2025-03-03,78.34,78.435,74.99,76.23,46724
ANUHPHR,2025-03-04,76.235,77.85,75.64,76.685,43224
ANUHPHR,2025-03-05,76.735,81.895,76.735,81.265,63654
ANUHPHR,2025-03-06,81.25,83.33,81.1,81.87,28828
ANUHPHR,2025-03-07,83.855,84.25,82.255,83.25,51364
ANUHPHR,2025-03-10,84.875,84.875,79.4,80.47,37298
ANUHPHR,2025-03-11,80.47,80.535,77.705,78.865,41962
ANUHPHR,2025-03-12,77.8,79.7,77.05,77.09,41486
ANUHPHR,2025-03-13,77.09,78.475,76.5,76.76,22152
ANUHPHR,2025-03-17,76.76,77.39,74.6,75.35,80050
ANUHPHR,2025-03-18,75.35,75.35,75.35,75.35,0
ANUHPHR,2025-03-19,75.24,78.79,75.24,77.45,92080
ANUHPHR,2025-03-20,78.975,80.875,77.555,77.945,66540
ANUHPHR,2025-03-21,79.51,80.0,78.105,78.98,91310
ANUHPHR,2025-03-24,80.945,81.445,79.0,80.15,55296
ANUHPHR,2025-03-25,80.155,80.45,77.945,78.12,56312
ANUHPHR,2025-03-26,79.0,79.0,75.01,75.165,113204
ANUHPHR,2025-03-27,76.0,76.0,74.44,74.74,185610
ANUHPHR,2025-03-28,76.4,77.195,74.25,74.595,206520
ANUHPHR,2025-04-01,74.625,77.95,74.625,76.9,62314
ANUHPHR,2025-04-02,77.7,83.005,75.775,82.04,130574
ANUHPHR,2025-04-03,80.74,94.25,80.74,91.88,398290
ANUHPHR,2025-04-04,94.85,94.85,87.135,88.575,181068
ANUHPHR,2025-04-07,81.8,84.265,79.995,82.18,179088
ANUHPHR,2025-04-08,83.425,86.92,83.425,84.74,65234
ANUHPHR,2025-04-09,84.495,84.74,81.755,83.84,36922
ANUHPHR,2025-04-11,85.125,86.94,85.125,85.995,29460
ANUHPHR,2025-04-15,89.75,89.75,86.75,87.115,23190
ANUHPHR,2025-04-16,88.5,88.5,85.905,86.955,31700
ANUHPHR,2025-04-17,86.45,88.13,85.02,85.67,53850
ANUHPHR,2025-04-21,87.375,87.375,85.71,86.925,28206
ANUHPHR,2025-04-22,87.15,88.15,86.095,87.005,38866
ANUHPHR,2025-04-23,87.005,87.895,85.05,85.7,37124
ANUHPHR,2025-04-24,87.475,92.875,86.5,90.39,132868
ANUHPHR,2025-04-25,90.81,91.31,86.5,87.14,62694
ANUHPHR,2025-04-28,87.14,88.69,86.05,86.8,32430
ANUHPHR,2025-04-29,88.125,88.525,85.15,86.77,27922
ANUHPHR,2025-04-30,86.575,86.575,83.55,83.765,43180
ANUHPHR,2025-05-02,84.21,84.8,84.125,84.2,9718
ANUHPHR,2025-05-05,83.01,86.095,83.01,84.99,20206
ANUHPHR,2025-05-06,84.99,86.15,82.5,82.7,44672
ANUHPHR,2025-05-07,82.695,82.695,80.5,81.58,57372
ANUHPHR,2025-05-08,82.45,83.675,81.5,82.25,20526
ANUHPHR,2025-05-09,83.435,83.435,80.5,81.06,27476
ANUHPHR,2025-05-12,83.47,85.67,81.87,85.165,43062
ANUHPHR,2025-05-13,86.08,87.3,85.06,86.845,29898
ANUHPHR,2025-05-14,87.35,91.0,86.63,90.09,53196
ANUHPHR,2025-05-15,91.345,91.345,88.5,89.91,21240
ANUHPHR,2025-05-16,91.0,91.0,88.88,90.34,33740
ANUHPHR,2025-05-19,90.145,102.35,90.145,101.7,248126
ANUHPHR,2025-05-20,103.005,109.805,103.005,104.395,261668
ANUHPHR,2025-05-21,105.325,108.825,104.995,105.675,176442
ANUHPHR,2025-05-22,107.0,109.0,104.175,105.72,178786
ANUHPHR,2025-05-23,105.995,108.5,100.05,103.695,109256
ANUHPHR,2025-05-26,102.5,106.425,100.95,102.585,214506
ANUHPHR,2025-05-27,104.125,106.5,102.65,105.625,95746
ANUHPHR,2025-05-28,106.96,109.45,106.0,106.68,130784
ANUHPHR,2025-05-29,106.68,108.16,106.205,106.705,60928
ANUHPHR,2025-05-30,107.445,107.445,103.6,105.25,106322
ANUHPHR,2025-06-02,105.99,114.295,104.23,108.745,197292
ANUHPHR,2025-06-03,109.125,111.0,108.825,109.465,49836
ANUHPHR,2025-06-04,109.5,112.5,108.0,108.51,61254
ANUHPHR,2025-06-05,108.51,110.725,104.305,105.39,107628
ANUHPHR,2025-06-06,106.975,108.24,105.3,105.735,61794
ANUHPHR,2025-06-09,107.325,108.0,105.35,106.715,62702
ANUHPHR,2025-06-10,107.495,112.0,106.77,109.89,181414
ANUHPHR,2025-06-11,110.95,114.9,105.7,108.24,231010
ANUHPHR,2025-06-12,109.1,111.95,106.71,107.725,91150
ANUHPHR,2025-06-13,107.445,108.5,104.5,107.96,58130
ANUHPHR,2025-06-16,105.5,109.0,105.5,106.865,47300
ANUHPHR,2025-06-17,107.25,108.305,104.04,105.81,96860
ANUHPHR,2025-06-18,106.875,106.875,104.15,104.535,52706
ANUHPHR,2025-06-19,104.54,106.0,103.625,103.89,48066
ANUHPHR,2025-06-20,103.89,105.45,102.555,103.27,60260
ANUHPHR,2025-06-23,102.0,103.68,101.275,101.85,91342
ANUHPHR,2025-06-24,105.0,106.085,102.775,103.57,54228
ANUHPHR,2025-06-25,104.65,104.96,103.67,104.44,33846
ANUHPHR,2025-06-26,103.625,105.875,102.495,103.38,70568
ANUHPHR,2025-06-27,104.46,106.695,104.1,105.325,70644
ANUHPHR,2025-06-30,104.1,108.5,103.985,107.825,103942
ANUHPHR,2025-07-01,109.82,109.995,106.5,107.53,52888
ANUHPHR,2025-07-02,108.12,108.12,106.0,106.815,50872
ANUHPHR,2025-07-03,106.925,108.835,106.25,107.11,46838
ANUHPHR,2025-07-04,108.725,109.335,106.51,107.76,114272
ANUHPHR,2025-07-07,108.295,109.9,107.015,108.875,87586
ANUHPHR,2025-07-08,112.055,114.835,109.08,110.405,252282
ANUHPHR,2025-07-09,110.98,111.0,107.05,107.28,197922
ANUHPHR,2025-07-10,108.455,108.455,103.5,104.4,219862
ANUHPHR,2025-07-11,104.0,104.5,102.005,102.96,292454
ANUHPHR,2025-07-14,104.0,106.0,102.525,103.875,515402
ANUHPHR,2025-07-15,105.01,107.5,102.26,106.13,279652
ANUHPHR,2025-07-16,104.79,104.79,102.0,102.38,146890
ANUHPHR,2025-07-17,101.35,102.18,99.5,99.71,159526
ANUHPHR,2025-07-18,99.1,99.1,93.51,94.33,264847
ANUHPHR,2025-07-21,93.5,107.7,93.5,103.43,3020819
ANUHPHR,2025-07-22,105.4,106.58,102.0,102.98,319409
ANUHPHR,2025-07-23,103.01,104.09,98.69,99.79,152791
ANUHPHR,2025-07-24,100.59,101.7,98.21,100.13,146010
ANUHPHR,2025-07-25,100.0,100.0,98.16,99.16,61195
ANUHPHR,2025-07-28,99.0,99.25,96.5,97.69,81323
ANUHPHR,2025-07-29,98.0,99.85,96.51,99.06,39145
ANUHPHR,2025-07-30,98.57,100.0,98.48,99.41,42370
ANUHPHR,2025-07-31,98.0,98.81,96.5,97.03,55581
ANUHPHR,2025-08-01,98.85,98.85,95.1,95.9,37928
ANUHPHR,2025-08-04,95.9,96.43,92.34,93.66,78775
ANUHPHR,2025-08-05,93.67,95.79,91.93,93.06,55686
ANUHPHR,2025-08-06,93.0,94.29,91.5,92.42,79248
ANUHPHR,2025-08-07,92.0,92.0,89.5,90.45,71707
ANUHPHR,2025-08-08,92.25,92.9,89.9,90.92,61331
ANUHPHR,2025-08-11,88.8,90.86,86.75,88.22,85951
ANUHPHR,2025-08-12,88.0,89.9,87.36,88.15,50343
ANUHPHR,2025-08-13,88.88,89.44,87.5,88.38,35547
ANUHPHR,2025-08-14,88.0,90.5,87.5,88.37,37097
ANUHPHR,2025-08-18,88.36,89.24,86.31,87.07,63127
ANUHPHR,2025-08-19,86.25,88.81,86.25,88.19,35432
ANUHPHR,2025-08-20,89.3,91.79,88.0,91.36,49313
ANUHPHR,2025-08-21,94.89,94.89,91.1,92.14,60250
ANUHPHR,2025-08-22,92.02,92.02,88.99,89.89,27389
ANUHPHR,2025-08-25,91.68,91.68,88.05,88.92,39343
ANUHPHR,2025-08-26,88.1,89.87,87.0,87.39,25332
ANUHPHR,2025-08-28,89.1,89.1,86.56,86.94,23394
ANUHPHR,2025-08-29,86.94,88.74,86.53,87.36,15350
ANUHPHR,2025-09-01,88.89,89.1,86.5,87.17,33382
ANUHPHR,2025-09-02,87.0,88.52,86.01,86.51,24190
ANUHPHR,2025-09-03,86.3,88.14,86.3,86.56,58182
ANUHPHR,2025-09-04,88.0,88.0,85.0,85.42,40335
ANUHPHR,2025-09-05,85.14,86.23,84.02,84.57,26853
ANUHPHR,2025-09-08,88.4,88.4,85.32,85.78,27458
ANUHPHR,2025-09-09,86.2,86.26,84.0,84.38,32882
ANUHPHR,2025-09-10,85.6,93.0,84.99,88.96,127893
ANUHPHR,2025-09-11,90.86,91.1,86.0,86.67,62145
