symbol,date,open,high,low,close,volume
ARDEE,2026-08-12,72.0,73.19,65.8,67.12,130275850
ARDEE,2026-08-13,67.12,68.45,64.11,64.87,20045799
ARDEE,2026-08-14,64.78,64.78,58.61,59.15,22017200
ARDEE,2026-08-17,60.0,62.85,59.45,62.34,12512121
ARDEE,2026-08-18,62.15,64.86,60.61,63.89,12405716
ARDEE,2026-08-19,64.19,64.6,62.52,63.38,8831911
ARDEE,2026-08-20,63.68,63.93,60.85,61.48,6709975
ARDEE,2026-08-21,62.0,62.8,59.7,60.2,4833328
ARDEE,2026-08-24,60.01,60.98,58.57,59.43,5192086
ARDEE,2026-08-25,59.8,61.85,56.0,56.99,12659023
ARDEE,2026-08-26,57.0,57.6,55.66,55.92,5357426
ARDEE,2026-08-27,55.95,60.49,55.95,59.28,8140152
ARDEE,2026-08-28,59.96,61.96,58.78,61.16,6521624
ARDEE,2026-08-31,61.17,61.32,57.53,58.21,3540606
ARDEE,2026-09-01,58.0,58.61,55.9,56.2,3590794
ARDEE,2026-09-02,56.45,57.49,55.71,56.4,2698066
ARDEE,2026-09-03,56.79,57.73,54.48,54.84,4822946
ARDEE,2026-09-04,55.97,56.0,55.26,55.71,736960
