symbol,date,open,high,low,close,volume
ARSHIYA,2021-07-26,30.8,31.0,29.7,30.8,173132
ARSHIYA,2021-07-27,30.9,31.5,30.0,30.2,103677
ARSHIYA,2021-07-28,30.45,30.45,29.25,29.85,78008
ARSHIYA,2021-07-29,30.7,30.7,29.5,29.6,67215
ARSHIYA,2021-07-30,30.2,30.2,28.6,28.9,84198
ARSHIYA,2021-08-02,29.35,29.45,28.5,28.75,76200
ARSHIYA,2021-08-03,28.2,29.35,28.2,28.95,67280
ARSHIYA,2021-08-04,29.0,29.45,27.65,28.1,54365
ARSHIYA,2021-08-05,26.85,28.25,26.8,26.95,35232
ARSHIYA,2021-08-06,27.25,28.6,27.1,28.0,41767
ARSHIYA,2021-08-09,29.5,29.5,27.15,27.45,48672
ARSHIYA,2021-08-10,28.4,28.4,26.1,26.25,41762
ARSHIYA,2021-08-11,26.25,28.15,25.2,26.65,131312
ARSHIYA,2021-08-12,26.05,27.7,26.05,26.75,21840
ARSHIYA,2021-08-13,27.4,28.7,26.9,27.85,60010
ARSHIYA,2021-08-16,28.9,28.9,26.55,28.0,47099
ARSHIYA,2021-08-17,28.5,30.8,26.75,29.7,202835
ARSHIYA,2021-08-18,29.75,30.5,28.5,29.1,104605
ARSHIYA,2021-08-20,28.55,28.8,27.7,28.05,36796
ARSHIYA,2021-08-23,27.5,29.5,26.25,27.05,82024
ARSHIYA,2021-08-24,26.3,28.2,26.3,27.5,98392
ARSHIYA,2021-08-25,28.6,28.6,26.8,26.95,147033
ARSHIYA,2021-08-26,28.4,28.4,26.6,27.45,122736
ARSHIYA,2021-08-27,27.05,27.7,26.75,27.1,68923
ARSHIYA,2021-08-30,26.5,27.45,26.2,26.6,64420
ARSHIYA,2021-08-31,26.45,27.3,26.45,26.6,23413
ARSHIYA,2021-09-01,26.1,29.1,26.1,28.25,112188
ARSHIYA,2021-09-02,27.7,29.0,27.1,27.55,46468
ARSHIYA,2021-09-03,27.35,28.0,26.65,26.9,43723
ARSHIYA,2021-09-06,27.4,29.55,26.5,29.2,251599
ARSHIYA,2021-09-07,29.0,29.05,27.8,28.2,55612
ARSHIYA,2021-09-08,28.4,30.95,27.8,29.9,191866
ARSHIYA,2021-09-09,30.45,30.45,29.0,29.7,192923
ARSHIYA,2021-09-13,29.2,29.7,28.65,29.05,52045
ARSHIYA,2021-09-14,29.8,29.8,28.5,28.6,46865
ARSHIYA,2021-09-15,29.75,30.5,28.65,29.75,118415
ARSHIYA,2021-09-16,31.0,31.3,29.9,30.2,118870
ARSHIYA,2021-09-17,30.8,30.8,28.5,28.8,89910
ARSHIYA,2021-09-20,27.95,28.9,27.5,27.65,55035
ARSHIYA,2021-09-21,29.45,29.45,27.25,28.55,32011
