symbol,date,open,high,low,close,volume
ASAHIINDIA,2002-07-01,1.8101,1.8308,1.8101,1.8248,477
ASAHIINDIA,2002-07-02,1.8999,1.9999,1.8999,1.9911,11743
ASAHIINDIA,2002-07-03,1.9948,1.9999,1.9851,1.9902,5578
ASAHIINDIA,2002-07-04,1.9902,1.9902,1.9902,1.9902,0
ASAHIINDIA,2002-07-05,1.9008,1.9008,1.9008,1.9008,2170
ASAHIINDIA,2002-07-08,2.04,2.0902,1.9248,2.075,21055
ASAHIINDIA,2002-07-09,2.0648,2.0699,2.0252,2.0252,8682
ASAHIINDIA,2002-07-10,2.0699,2.0699,1.9851,2.0169,5795
ASAHIINDIA,2002-07-11,2.0252,2.0252,2.0252,2.0252,217
ASAHIINDIA,2002-07-12,1.9999,1.9999,1.9999,1.9999,434
ASAHIINDIA,2002-07-15,1.9552,1.9552,1.8511,1.8511,6294
ASAHIINDIA,2002-07-16,1.905,1.9801,1.905,1.9801,1172
ASAHIINDIA,2002-07-17,1.9999,1.9999,1.9501,1.9501,4341
ASAHIINDIA,2002-07-18,1.975,1.975,1.8999,1.8999,5231
ASAHIINDIA,2002-07-19,1.8999,1.8999,1.875,1.875,1193
ASAHIINDIA,2002-07-22,1.8151,1.8151,1.805,1.805,4558
ASAHIINDIA,2002-07-23,1.875,1.875,1.875,1.875,1671
ASAHIINDIA,2002-07-24,1.9902,1.9902,1.9902,1.9902,21
ASAHIINDIA,2002-07-25,1.8091,1.8091,1.7999,1.8009,3798
ASAHIINDIA,2002-07-26,1.8741,1.875,1.8741,1.875,2930
ASAHIINDIA,2002-07-29,1.875,1.875,1.875,1.875,0
ASAHIINDIA,2002-07-30,1.7751,1.8502,1.7608,1.7608,55134
ASAHIINDIA,2002-07-31,1.7898,1.8009,1.7898,1.799,2496
ASAHIINDIA,2002-08-01,1.799,1.799,1.799,1.799,0
ASAHIINDIA,2002-08-02,1.7898,1.7898,1.7562,1.7562,2387
ASAHIINDIA,2002-08-05,1.875,1.875,1.805,1.8248,542
ASAHIINDIA,2002-08-06,1.875,1.8948,1.7562,1.7562,65770
ASAHIINDIA,2002-08-07,1.7608,1.9248,1.7608,1.8009,4775
ASAHIINDIA,2002-08-08,1.8009,1.8009,1.8009,1.8009,0
ASAHIINDIA,2002-08-09,1.8101,1.8101,1.7999,1.8059,1085
ASAHIINDIA,2002-08-12,1.7999,1.7999,1.7999,1.7999,1779
ASAHIINDIA,2002-08-13,1.7999,1.7999,1.7999,1.7999,1519
ASAHIINDIA,2002-08-14,1.781,1.7898,1.7751,1.7898,3993
ASAHIINDIA,2002-08-15,1.7898,1.7898,1.7898,1.7898,0
ASAHIINDIA,2002-08-16,1.7999,1.7999,1.7999,1.7999,5426
ASAHIINDIA,2002-08-19,1.8248,1.8248,1.7649,1.7769,8356
ASAHIINDIA,2002-08-20,1.7769,1.7769,1.7769,1.7769,0
ASAHIINDIA,2002-08-21,1.8248,1.8999,1.7801,1.7949,8313
ASAHIINDIA,2002-08-22,1.8349,1.8349,1.8349,1.8349,434
ASAHIINDIA,2002-08-23,1.7751,1.8502,1.7751,1.84,282
ASAHIINDIA,2002-08-26,1.7999,1.7999,1.7502,1.7861,1193
ASAHIINDIA,2002-08-27,1.84,1.84,1.84,1.84,151
ASAHIINDIA,2002-08-28,1.84,1.84,1.84,1.84,0
ASAHIINDIA,2002-08-29,1.7751,1.7751,1.7502,1.7502,1085
ASAHIINDIA,2002-08-30,1.7502,1.7502,1.7502,1.7502,0
ASAHIINDIA,2002-09-02,1.7502,1.7502,1.7502,1.7502,0
ASAHIINDIA,2002-09-03,1.7502,1.7502,1.7502,1.7502,1085
ASAHIINDIA,2002-09-04,1.7502,1.7502,1.7502,1.7502,0
ASAHIINDIA,2002-09-05,1.7502,1.7502,1.7502,1.7502,217
ASAHIINDIA,2002-09-06,1.7502,1.7502,1.7502,1.7502,0
ASAHIINDIA,2002-09-09,1.7502,1.7502,1.7502,1.7502,1953
ASAHIINDIA,2002-09-10,1.7502,1.7502,1.7502,1.7502,0
ASAHIINDIA,2002-09-11,1.8598,1.8598,1.6751,1.6751,303
ASAHIINDIA,2002-09-12,1.6751,1.6751,1.6751,1.6751,0
ASAHIINDIA,2002-09-13,1.6811,1.6811,1.6811,1.6811,217
ASAHIINDIA,2002-09-16,1.6852,1.6852,1.576,1.576,20577
ASAHIINDIA,2002-09-17,1.5019,1.5949,1.4751,1.536,82766
ASAHIINDIA,2002-09-18,1.536,1.536,1.536,1.536,0
ASAHIINDIA,2002-09-19,1.6,1.6,1.5,1.5779,2756
ASAHIINDIA,2002-09-20,1.5779,1.5779,1.5779,1.5779,0
ASAHIINDIA,2002-09-23,1.6931,1.6931,1.6451,1.6451,759
ASAHIINDIA,2002-09-24,1.5498,1.6,1.5498,1.5968,3255
ASAHIINDIA,2002-09-25,1.5899,1.6502,1.5899,1.6502,33254
ASAHIINDIA,2002-09-26,1.6502,1.6502,1.6502,1.6502,0
ASAHIINDIA,2002-09-27,1.5751,1.6,1.5751,1.6,434
ASAHIINDIA,2002-09-30,1.6,1.6,1.6,1.6,781
ASAHIINDIA,2002-10-01,1.6,1.6,1.6,1.6,0
ASAHIINDIA,2002-10-02,1.6,1.6,1.6,1.6,0
ASAHIINDIA,2002-10-03,1.6,1.6,1.6,1.6,0
ASAHIINDIA,2002-10-04,1.6,1.6,1.5949,1.5949,23920
ASAHIINDIA,2002-10-07,1.5751,1.5751,1.5751,1.5751,1085
ASAHIINDIA,2002-10-08,16.7509,16.7509,16.5021,16.5021,1005
ASAHIINDIA,2002-10-09,17.8519,17.8519,16.5021,16.5297,1588
ASAHIINDIA,2002-10-10,16.7509,16.7509,16.7509,16.7509,455
ASAHIINDIA,2002-10-11,16.7509,16.7509,16.7509,16.7509,0
ASAHIINDIA,2002-10-14,16.7785,16.7785,16.7509,16.7509,2062
ASAHIINDIA,2002-10-15,16.7509,16.7509,16.7509,16.7509,0
ASAHIINDIA,2002-10-16,16.949,18.3495,16.949,18.3495,14087
ASAHIINDIA,2002-10-17,17.7506,19.9988,17.2484,17.9994,6121
ASAHIINDIA,2002-10-18,17.5018,17.9994,17.3498,17.9809,2507
ASAHIINDIA,2002-10-21,17.5479,17.9994,17.1978,17.1978,4712
ASAHIINDIA,2002-10-22,16.6311,16.6311,16.5021,16.5297,3125
ASAHIINDIA,2002-10-23,17.5018,17.5018,17.4788,17.5018,2823
ASAHIINDIA,2002-10-24,17.9994,17.9994,16.7785,17.1517,2776
ASAHIINDIA,2002-10-25,16.5989,18.4508,16.5989,17.5986,9031
ASAHIINDIA,2002-10-28,16.7509,17.9809,16.7509,17.9809,759
ASAHIINDIA,2002-10-29,18.5015,18.5015,17.4511,17.4788,1117
ASAHIINDIA,2002-10-30,17.5295,17.9994,17.2484,17.8519,1521
ASAHIINDIA,2002-10-31,18.2297,18.2297,17.5018,17.6999,3255
ASAHIINDIA,2002-11-01,17.2484,17.2484,17.2484,17.2484,43
ASAHIINDIA,2002-11-04,17.7506,17.7506,17.7506,17.7506,325
ASAHIINDIA,2002-11-05,16.7509,17.9487,16.5021,17.9487,217065
ASAHIINDIA,2002-11-06,17.9487,17.9487,17.9487,17.9487,0
ASAHIINDIA,2002-11-07,18.2021,18.2021,16.9997,17.2991,2860
ASAHIINDIA,2002-11-08,16.5804,17.4005,16.5804,17.1793,2604
ASAHIINDIA,2002-11-11,16.7509,17.5018,16.7509,17.1287,3125
ASAHIINDIA,2002-11-12,16.2487,16.8292,16.2487,16.7002,2648
ASAHIINDIA,2002-11-13,16.5482,17.2484,16.5482,17.2484,1237
ASAHIINDIA,2002-11-14,16.7509,17.2484,16.7509,17.2484,325
ASAHIINDIA,2002-11-15,16.7509,16.8522,16.7509,16.8292,759
ASAHIINDIA,2002-11-18,16.9997,16.9997,16.9997,16.9997,325
ASAHIINDIA,2002-11-19,16.9997,16.9997,16.9997,16.9997,0
ASAHIINDIA,2002-11-20,17.5018,17.5018,16.6818,17.3314,7406
ASAHIINDIA,2002-11-21,16.6311,17.5018,16.6311,17.1978,5860
ASAHIINDIA,2002-11-22,17.4511,17.5018,17.0319,17.4511,3169
ASAHIINDIA,2002-11-25,17.5018,17.5018,16.4008,16.4008,5328
ASAHIINDIA,2002-11-26,16.5804,16.5804,16.5804,16.5804,1519
ASAHIINDIA,2002-11-27,16.6818,16.7509,16.6495,16.7509,1736
ASAHIINDIA,2002-11-28,16.7785,16.7785,16.6818,16.6818,3255
ASAHIINDIA,2002-11-29,16.6818,16.6818,16.6818,16.6818,0
ASAHIINDIA,2002-12-02,17.2991,17.5018,16.7509,17.5018,14727
ASAHIINDIA,2002-12-03,17.4788,17.5018,16.3501,16.9306,6989
ASAHIINDIA,2002-12-04,16.8292,16.8292,16.8016,16.8016,2843
ASAHIINDIA,2002-12-05,16.9997,17.5018,16.9997,17.4281,4074
ASAHIINDIA,2002-12-06,17.4788,17.5018,16.8016,16.8292,19752
ASAHIINDIA,2002-12-09,16.8016,16.8016,16.1796,16.5021,21803
ASAHIINDIA,2002-12-10,16.5021,16.5989,16.5021,16.5021,193405
ASAHIINDIA,2002-12-11,16.8799,17.23,16.7509,17.1287,42464
ASAHIINDIA,2002-12-12,16.5297,17.2484,16.5021,16.5482,2396
ASAHIINDIA,2002-12-13,16.5021,16.8016,16.5021,16.7785,434
ASAHIINDIA,2002-12-16,16.8292,17.1287,16.8292,17.101,1289
ASAHIINDIA,2002-12-17,16.8292,16.8292,16.5804,16.5804,1085
ASAHIINDIA,2002-12-18,16.7509,16.9997,16.5989,16.5989,2952
ASAHIINDIA,2002-12-19,16.9997,16.9997,16.5989,16.5989,651
ASAHIINDIA,2002-12-20,16.8983,16.8983,16.6818,16.6818,868
ASAHIINDIA,2002-12-23,16.9997,16.9997,16.9997,16.9997,542
ASAHIINDIA,2002-12-24,16.949,16.9997,16.8016,16.9997,1085
ASAHIINDIA,2002-12-25,16.9997,16.9997,16.9997,16.9997,0
ASAHIINDIA,2002-12-26,16.9997,16.9997,16.8292,16.8983,2661
ASAHIINDIA,2002-12-27,16.9997,17.0319,16.7509,16.8983,7816
ASAHIINDIA,2002-12-30,16.7509,16.9997,16.7509,16.9997,2659
ASAHIINDIA,2002-12-31,17.1287,17.2807,17.0319,17.2807,9409
ASAHIINDIA,2003-01-01,17.1287,17.3498,17.1287,17.2991,3147
ASAHIINDIA,2003-01-02,19.2801,19.2801,17.0503,17.7322,2090
ASAHIINDIA,2003-01-03,17.2991,18.2021,17.2991,17.4788,37877
ASAHIINDIA,2003-01-06,17.5018,17.5018,17.382,17.4005,19828
ASAHIINDIA,2003-01-07,17.2484,17.5018,17.2484,17.4511,8986
ASAHIINDIA,2003-01-08,17.2484,17.4511,17.2484,17.4511,2604
ASAHIINDIA,2003-01-09,17.2991,17.9994,17.2991,17.5018,70819
ASAHIINDIA,2003-01-10,17.382,18.0316,17.2991,17.8013,332197
ASAHIINDIA,2003-01-13,18.1007,18.2297,17.8289,18.05,251337
ASAHIINDIA,2003-01-14,18.1284,18.1284,17.5018,17.5801,94976
ASAHIINDIA,2003-01-15,18.05,18.1284,17.7506,17.9994,32965
ASAHIINDIA,2003-01-16,17.9994,18.9991,17.9994,18.6489,466449
ASAHIINDIA,2003-01-17,18.9484,19.5012,18.5015,19.2018,264487
ASAHIINDIA,2003-01-20,19.4782,19.5012,18.8286,18.9991,218838
ASAHIINDIA,2003-01-21,19.1281,19.2294,18.5983,18.7779,58635
ASAHIINDIA,2003-01-22,19.2018,19.6302,19.1281,19.4321,159411
ASAHIINDIA,2003-01-23,19.2801,19.9988,19.1511,19.4321,129311
ASAHIINDIA,2003-01-24,19.4321,19.5012,18.1007,18.179,52857
ASAHIINDIA,2003-01-27,18.05,19.1004,17.9487,18.5292,43097
ASAHIINDIA,2003-01-28,18.4785,19.2479,18.4785,19.1787,59392
ASAHIINDIA,2003-01-29,18.9991,19.75,18.9991,19.6809,53601
ASAHIINDIA,2003-01-30,19.8283,19.8514,19.2479,19.5796,137830
ASAHIINDIA,2003-01-31,19.5012,19.6487,18.8517,19.3815,43874
ASAHIINDIA,2003-02-03,19.5796,19.75,19.5012,19.5289,32659
ASAHIINDIA,2003-02-04,19.6302,19.6993,19.0313,19.4782,74691
ASAHIINDIA,2003-02-05,19.3815,19.598,19.2985,19.5796,42411
ASAHIINDIA,2003-02-06,18.2804,19.6302,18.2804,19.5012,57400
ASAHIINDIA,2003-02-07,19.2018,19.6993,19.2018,19.5796,28704
ASAHIINDIA,2003-02-10,19.5012,19.5796,19.3492,19.3999,27825
ASAHIINDIA,2003-02-11,19.5012,19.598,19.5012,19.5012,22264
ASAHIINDIA,2003-02-12,19.5012,19.6993,19.5012,19.5289,88767
ASAHIINDIA,2003-02-13,19.5289,19.5289,19.5289,19.5289,0
ASAHIINDIA,2003-02-14,19.5289,19.6993,19.2479,19.5289,45235
ASAHIINDIA,2003-02-17,19.6302,19.9988,19.598,19.902,38387
ASAHIINDIA,2003-02-18,19.9804,19.9988,19.6302,19.6809,58253
ASAHIINDIA,2003-02-19,19.9481,19.9988,19.75,19.8007,25075
ASAHIINDIA,2003-02-20,19.9804,19.9988,19.6487,19.8283,3548
ASAHIINDIA,2003-02-21,19.75,19.9988,19.6993,19.75,47497
ASAHIINDIA,2003-02-24,19.5012,20.0495,19.3492,19.4506,121466
ASAHIINDIA,2003-02-25,19.9481,19.9988,19.3999,19.5012,45392
ASAHIINDIA,2003-02-26,18.7779,19.8514,18.7779,19.5012,23273
ASAHIINDIA,2003-02-27,19.5012,19.6302,19.4321,19.5012,17113
ASAHIINDIA,2003-02-28,19.5012,19.902,19.5012,19.5012,14237
ASAHIINDIA,2003-03-03,19.75,19.8007,19.5012,19.5012,4883
ASAHIINDIA,2003-03-04,19.3815,19.6302,19.3815,19.5012,4775
ASAHIINDIA,2003-03-05,19.5012,19.598,19.4321,19.4506,70469
ASAHIINDIA,2003-03-06,19.1511,19.5012,19.1511,19.4782,9008
ASAHIINDIA,2003-03-07,19.5012,19.5519,18.9991,18.9991,62186
ASAHIINDIA,2003-03-10,18.9991,19.3815,18.5015,18.5522,51595
ASAHIINDIA,2003-03-11,18.5983,18.5983,18.3817,18.4785,434
ASAHIINDIA,2003-03-12,18.5015,18.8517,18.3817,18.3817,13892
ASAHIINDIA,2003-03-13,18.3817,18.3817,18.0316,18.05,9463
ASAHIINDIA,2003-03-14,18.05,18.05,18.05,18.05,0
ASAHIINDIA,2003-03-17,18.0316,18.0316,17.8519,17.9994,8441
ASAHIINDIA,2003-03-18,17.9994,17.9994,17.9994,17.9994,0
ASAHIINDIA,2003-03-19,18.179,18.5015,17.5986,17.6492,3852
ASAHIINDIA,2003-03-20,17.9994,18.7503,17.9994,18.7319,20707
ASAHIINDIA,2003-03-21,18.5015,18.9991,18.5015,18.7503,6446
ASAHIINDIA,2003-03-24,18.1514,18.9991,18.1284,18.7503,37126
ASAHIINDIA,2003-03-25,18.6996,19.1004,18.2481,18.9484,18960
ASAHIINDIA,2003-03-26,19.2479,19.4506,18.5015,18.5292,48018
ASAHIINDIA,2003-03-27,18.1514,18.7319,18.1007,18.4278,1953
ASAHIINDIA,2003-03-28,18.0823,18.1514,17.5018,17.6492,7271
ASAHIINDIA,2003-03-31,17.7782,18.5015,16.9997,17.6999,59876
ASAHIINDIA,2003-04-01,17.5018,18.5015,17.5018,18.4785,53909
ASAHIINDIA,2003-04-02,17.5801,18.5015,17.5801,18.4508,1562
ASAHIINDIA,2003-04-03,18.4785,18.8977,18.4785,18.5015,27988
ASAHIINDIA,2003-04-04,19.75,19.75,18.7319,18.9991,4734
ASAHIINDIA,2003-04-07,19.6993,19.9988,18.9991,19.6993,94368
ASAHIINDIA,2003-04-08,19.5012,19.5012,19.5012,19.5012,1115
ASAHIINDIA,2003-04-09,19.1281,20.9985,19.1281,20.0495,224200
ASAHIINDIA,2003-04-10,20.031,20.2015,19.5519,19.6302,7273
ASAHIINDIA,2003-04-11,20.1278,20.1278,19.902,19.9988,22090
ASAHIINDIA,2003-04-15,20.3812,20.7497,19.9988,20.6023,29857
ASAHIINDIA,2003-04-16,20.9017,20.9017,20.6484,20.8787,23442
ASAHIINDIA,2003-04-17,20.9985,21.2288,20.5516,20.5516,11862
ASAHIINDIA,2003-04-18,20.5516,20.5516,20.5516,20.5516,0
ASAHIINDIA,2003-04-21,20.9985,20.9985,20.6484,20.8511,3043
ASAHIINDIA,2003-04-22,20.7497,20.7497,20.4318,20.5286,11178
ASAHIINDIA,2003-04-23,20.2522,20.2522,19.5012,19.6993,7108
ASAHIINDIA,2003-04-24,20.031,21.4822,20.031,21.0814,16553
ASAHIINDIA,2003-04-25,20.9985,20.9985,20.2522,20.6023,7673
ASAHIINDIA,2003-04-28,20.9478,20.9985,20.4503,20.6484,20990
ASAHIINDIA,2003-04-29,20.9985,21.5007,20.7497,20.828,25706
ASAHIINDIA,2003-04-30,20.9985,21.3993,20.8787,21.3302,24473
ASAHIINDIA,2003-05-01,21.3302,21.3302,21.3302,21.3302,0
ASAHIINDIA,2003-05-02,21.45,21.9982,21.2519,21.9015,27412
ASAHIINDIA,2003-05-05,21.9798,23.431,21.9798,23.3296,43542
