symbol,date,open,high,low,close,volume
ASHOKAMET,2025-07-23,17.14,17.24,17.0,17.04,15108
ASHOKAMET,2025-07-24,17.0,17.2,16.86,16.97,10809
ASHOKAMET,2025-07-25,17.0,17.25,16.87,17.06,12266
ASHOKAMET,2025-07-28,17.2,17.35,16.85,17.08,17592
ASHOKAMET,2025-07-29,17.29,17.29,16.61,16.85,23800
ASHOKAMET,2025-07-30,17.27,19.37,16.61,18.58,1215209
ASHOKAMET,2025-07-31,18.37,19.36,17.1,17.51,974022
ASHOKAMET,2025-08-01,17.67,17.9,17.12,17.25,73081
ASHOKAMET,2025-08-04,17.25,18.51,17.08,17.65,111001
ASHOKAMET,2025-08-05,17.77,17.9,17.3,17.39,21825
ASHOKAMET,2025-08-06,17.4,17.75,16.57,16.85,48337
ASHOKAMET,2025-08-07,17.54,18.6,16.87,18.33,910585
ASHOKAMET,2025-08-08,18.22,18.58,17.5,17.57,165589
ASHOKAMET,2025-08-11,17.57,18.7,17.15,17.57,368553
ASHOKAMET,2025-08-12,17.57,17.84,17.11,17.43,41332
ASHOKAMET,2025-08-13,17.5,17.87,17.25,17.33,30463
ASHOKAMET,2025-08-14,17.25,17.8,17.2,17.36,25737
ASHOKAMET,2025-08-18,17.71,17.75,17.36,17.53,21095
ASHOKAMET,2025-08-19,17.7,17.7,17.25,17.38,7946
ASHOKAMET,2025-08-20,17.38,17.57,17.25,17.38,125372
ASHOKAMET,2025-08-21,17.38,17.69,17.15,17.27,39137
ASHOKAMET,2025-08-22,17.27,17.41,17.1,17.1,17205
ASHOKAMET,2025-08-25,17.18,17.52,16.36,16.53,71695
ASHOKAMET,2025-08-26,16.87,16.88,16.53,16.64,11434
ASHOKAMET,2025-08-28,16.65,16.92,16.13,16.32,47941
ASHOKAMET,2025-08-29,16.35,16.6,16.33,16.42,23309
ASHOKAMET,2025-09-01,16.42,16.75,16.41,16.5,26977
ASHOKAMET,2025-09-02,16.5,16.74,16.11,16.32,35708
ASHOKAMET,2025-09-03,16.32,16.7,16.21,16.47,39325
ASHOKAMET,2025-09-04,16.26,16.69,16.26,16.33,14648
ASHOKAMET,2025-09-05,16.34,16.65,16.3,16.46,14735
