symbol,date,open,high,low,close,volume
AURUS,2025-07-23,7.5,7.58,7.4,7.49,17071
AURUS,2025-07-24,7.45,7.65,7.4,7.49,19200
AURUS,2025-07-25,7.49,7.64,7.3,7.47,26135
AURUS,2025-07-28,7.32,7.52,7.1,7.21,9960
AURUS,2025-07-29,6.9,7.55,6.9,7.36,10756
AURUS,2025-07-30,7.39,7.5,7.11,7.3,16344
AURUS,2025-07-31,7.26,7.43,7.04,7.14,13512
AURUS,2025-08-01,7.04,7.4,7.03,7.25,10817
AURUS,2025-08-04,7.25,7.36,7.0,7.19,10665
AURUS,2025-08-05,7.33,7.33,6.98,7.08,8881
AURUS,2025-08-06,7.08,7.42,6.85,7.22,25520
AURUS,2025-08-07,7.22,7.38,7.01,7.2,8294
AURUS,2025-08-08,7.2,7.33,6.93,7.02,16340
AURUS,2025-08-11,7.02,7.28,6.92,7.08,13840
AURUS,2025-08-12,7.01,7.35,7.01,7.24,12119
AURUS,2025-08-13,7.24,7.24,6.98,7.14,16258
AURUS,2025-08-14,7.01,7.19,6.95,7.06,21242
AURUS,2025-08-18,6.93,7.24,6.7,7.09,15620
AURUS,2025-08-19,7.09,7.09,6.89,6.99,13128
AURUS,2025-08-20,6.82,7.04,6.82,6.86,36306
AURUS,2025-08-21,6.86,7.0,6.8,6.83,17208
AURUS,2025-08-22,6.83,7.03,6.49,6.77,12442
AURUS,2025-08-25,6.6,6.89,6.6,6.76,9505
AURUS,2025-08-26,6.69,6.85,6.42,6.5,15931
AURUS,2025-08-28,6.31,6.82,6.31,6.6,27242
AURUS,2025-08-29,6.71,6.71,6.36,6.43,17733
AURUS,2025-09-01,6.43,6.66,6.11,6.57,14065
AURUS,2025-09-02,6.8,6.8,6.5,6.56,14676
AURUS,2025-09-03,6.45,6.72,6.24,6.67,8079
AURUS,2025-09-04,6.8,6.8,6.5,6.61,13904
AURUS,2025-09-05,6.62,6.77,6.61,6.66,28952
AURUS,2025-09-08,6.9,6.9,6.6,6.63,13619
AURUS,2025-09-09,6.47,6.79,6.47,6.64,20973
AURUS,2025-09-10,6.79,6.79,6.45,6.49,25599
AURUS,2025-09-11,6.64,6.66,6.37,6.55,23133
AURUS,2025-09-12,6.69,6.87,6.46,6.87,80318
AURUS,2025-09-15,6.87,7.21,6.77,7.21,60767
AURUS,2025-09-16,7.24,7.49,6.87,6.95,155852
AURUS,2025-09-17,7.17,7.17,6.79,6.88,39788
AURUS,2025-09-18,7.07,7.22,6.82,7.06,29989
AURUS,2025-09-19,7.06,7.29,6.86,6.93,14662
AURUS,2025-09-22,6.93,7.15,6.81,6.84,14307
AURUS,2025-09-23,6.71,6.95,6.71,6.78,16685
AURUS,2025-09-24,6.92,6.92,6.6,6.66,53874
AURUS,2025-09-25,6.66,6.85,6.66,6.8,11451
AURUS,2025-09-26,6.65,6.88,6.51,6.55,48680
AURUS,2025-09-29,6.34,6.69,6.34,6.37,26176
AURUS,2025-09-30,6.24,6.56,6.05,6.34,54307
AURUS,2025-10-01,6.48,6.48,6.29,6.45,8744
AURUS,2025-10-03,6.43,6.77,6.22,6.31,54007
AURUS,2025-10-06,6.15,6.62,6.15,6.34,19757
AURUS,2025-10-07,6.48,6.56,6.35,6.38,22186
AURUS,2025-10-08,6.35,6.95,6.34,6.76,42601
AURUS,2025-10-09,6.94,6.94,6.52,6.58,58007
AURUS,2025-10-10,6.77,6.8,6.43,6.66,30348
AURUS,2025-10-13,6.51,6.86,6.3,6.39,56299
AURUS,2025-10-14,6.39,6.85,6.22,6.66,63985
AURUS,2025-10-15,6.8,6.88,6.03,6.41,81475
AURUS,2025-10-16,6.33,6.88,6.33,6.68,43659
AURUS,2025-10-17,6.7,6.9,6.01,6.01,470404
AURUS,2025-10-20,5.97,6.08,5.86,5.9,65304
AURUS,2025-10-21,5.9,6.45,5.9,6.26,91811
AURUS,2025-10-23,6.3,6.41,6.06,6.14,46681
AURUS,2025-10-24,6.27,6.27,5.86,6.06,26723
AURUS,2025-10-27,6.06,6.23,5.45,5.5,547981
AURUS,2025-10-28,5.62,5.74,4.95,4.99,1146920
