symbol,date,open,high,low,close,volume
AVADHSUGAR,2017-08-02,254.85,254.85,254.85,254.85,15146
AVADHSUGAR,2017-08-03,267.575,267.575,267.575,267.575,10984
AVADHSUGAR,2017-08-04,280.95,280.95,280.95,280.95,13634
AVADHSUGAR,2017-08-07,294.975,294.975,294.975,294.975,6250
AVADHSUGAR,2017-08-08,309.7,309.7,309.7,309.7,69174
AVADHSUGAR,2017-08-09,325.175,325.175,325.175,325.175,104734
AVADHSUGAR,2017-08-10,341.25,341.425,315.0,338.375,244940
AVADHSUGAR,2017-08-11,337.5,355.275,321.5,355.275,126648
AVADHSUGAR,2017-08-14,373.025,373.025,345.0,356.2,137548
AVADHSUGAR,2017-08-16,350.0,358.5,340.0,350.35,72560
AVADHSUGAR,2017-08-17,354.5,362.5,342.5,354.6,51740
AVADHSUGAR,2017-08-18,351.0,352.5,342.55,349.725,42908
AVADHSUGAR,2017-08-21,345.0,352.0,340.05,341.4,39994
AVADHSUGAR,2017-08-22,340.0,345.0,330.5,337.0,35452
AVADHSUGAR,2017-08-23,338.5,344.5,326.5,334.675,13362
AVADHSUGAR,2017-08-24,339.5,340.0,330.0,335.1,23220
AVADHSUGAR,2017-08-28,330.0,342.0,325.5,331.775,21726
AVADHSUGAR,2017-08-29,327.5,342.5,325.5,331.125,38128
AVADHSUGAR,2017-08-30,339.0,347.675,328.15,347.675,52946
AVADHSUGAR,2017-08-31,356.5,362.0,349.0,356.9,41722
AVADHSUGAR,2017-09-01,358.7,374.725,358.7,374.725,64720
AVADHSUGAR,2017-09-04,393.45,393.45,393.0,393.45,23266
AVADHSUGAR,2017-09-05,413.1,413.1,413.1,413.1,10310
AVADHSUGAR,2017-09-06,433.75,433.75,433.75,433.75,20634
AVADHSUGAR,2017-09-07,455.425,455.425,432.525,455.425,198772
AVADHSUGAR,2017-09-08,460.0,478.175,450.025,467.825,142376
AVADHSUGAR,2017-09-11,467.5,491.2,467.5,491.2,114978
AVADHSUGAR,2017-09-12,493.0,515.75,493.0,514.3,123630
AVADHSUGAR,2017-09-13,522.0,540.0,522.0,536.175,101174
AVADHSUGAR,2017-09-14,545.0,555.5,509.375,509.4,89254
AVADHSUGAR,2017-09-15,485.5,517.5,483.95,499.45,65986
AVADHSUGAR,2017-09-18,519.5,524.4,502.5,524.4,25656
AVADHSUGAR,2017-09-19,550.6,550.6,545.5,550.6,24106
AVADHSUGAR,2017-09-20,577.0,577.0,537.5,549.325,71904
AVADHSUGAR,2017-09-21,525.0,565.0,525.0,550.975,55954
AVADHSUGAR,2017-09-22,537.5,554.5,530.0,535.425,35830
AVADHSUGAR,2017-09-25,522.0,530.0,508.675,508.675,14430
AVADHSUGAR,2017-09-26,495.05,520.0,490.0,497.975,35570
AVADHSUGAR,2017-09-27,495.0,520.0,485.0,488.375,30642
AVADHSUGAR,2017-09-28,504.5,509.5,466.525,499.95,19934
AVADHSUGAR,2017-09-29,514.75,524.925,488.0,519.625,51674
AVADHSUGAR,2017-10-03,505.0,525.0,500.025,509.3,30584
AVADHSUGAR,2017-10-04,500.5,507.5,496.0,504.525,40724
AVADHSUGAR,2017-10-05,505.0,507.5,487.5,499.2,38324
AVADHSUGAR,2017-10-06,500.0,512.5,491.3,496.225,13424
AVADHSUGAR,2017-10-09,497.0,521.025,492.5,521.025,62926
AVADHSUGAR,2017-10-10,529.95,547.075,529.95,547.075,63910
AVADHSUGAR,2017-10-11,567.5,574.425,567.5,574.425,26172
AVADHSUGAR,2017-10-12,599.5,603.125,581.0,603.1,85980
AVADHSUGAR,2017-10-13,609.4,622.0,577.45,597.15,33742
AVADHSUGAR,2017-10-16,585.525,612.5,567.3,580.925,23188
AVADHSUGAR,2017-10-17,575.0,578.5,560.0,569.95,23102
AVADHSUGAR,2017-10-18,572.475,598.425,567.5,598.425,41626
AVADHSUGAR,2017-10-19,612.05,617.0,588.025,600.975,21838
AVADHSUGAR,2017-10-23,600.0,617.5,572.5,613.05,23812
AVADHSUGAR,2017-10-24,615.0,624.5,595.5,606.575,19294
AVADHSUGAR,2017-10-25,607.0,609.5,590.0,595.15,21498
AVADHSUGAR,2017-10-26,595.0,600.0,585.0,589.95,13548
AVADHSUGAR,2017-10-27,599.95,607.5,595.0,599.2,26640
AVADHSUGAR,2017-10-30,600.0,629.15,600.0,628.975,66212
AVADHSUGAR,2017-10-31,628.975,652.225,612.5,616.4,36184
AVADHSUGAR,2017-11-01,612.5,640.0,612.5,623.0,26458
AVADHSUGAR,2017-11-02,625.0,640.5,591.875,620.95,22144
AVADHSUGAR,2017-11-03,620.0,635.0,615.0,620.65,18676
AVADHSUGAR,2017-11-06,621.0,649.5,615.5,642.375,85402
AVADHSUGAR,2017-11-07,650.0,654.7,610.275,610.775,54968
AVADHSUGAR,2017-11-08,633.975,633.975,580.25,587.025,35500
AVADHSUGAR,2017-11-09,612.0,612.0,586.3,597.975,25614
AVADHSUGAR,2017-11-10,585.725,617.5,585.725,602.275,17160
AVADHSUGAR,2017-11-13,602.5,609.0,572.175,596.55,10010
AVADHSUGAR,2017-11-14,597.5,597.5,575.0,584.075,25822
AVADHSUGAR,2017-11-15,572.5,595.0,554.875,555.95,23950
AVADHSUGAR,2017-11-16,554.0,562.5,540.0,554.65,47150
AVADHSUGAR,2017-11-17,574.0,579.5,557.475,560.275,17480
AVADHSUGAR,2017-11-20,556.5,562.5,550.0,554.6,21342
AVADHSUGAR,2017-11-21,557.5,560.0,545.0,555.9,34366
AVADHSUGAR,2017-11-22,574.75,574.75,555.0,563.85,13958
AVADHSUGAR,2017-11-23,562.5,592.025,550.0,586.9,33564
AVADHSUGAR,2017-11-24,602.5,616.225,576.1,581.625,81354
AVADHSUGAR,2017-11-27,581.5,581.5,562.5,568.825,29592
AVADHSUGAR,2017-11-28,565.0,570.0,555.5,557.8,17680
AVADHSUGAR,2017-11-29,558.0,570.0,532.5,538.6,38528
AVADHSUGAR,2017-11-30,535.0,535.25,522.5,525.575,18662
AVADHSUGAR,2017-12-01,534.5,547.5,501.825,506.625,21602
AVADHSUGAR,2017-12-04,515.0,515.0,497.5,499.4,20006
AVADHSUGAR,2017-12-05,503.5,524.35,488.0,524.25,30668
AVADHSUGAR,2017-12-06,535.0,550.45,512.5,526.975,85538
AVADHSUGAR,2017-12-07,535.0,558.6,529.45,540.875,82570
AVADHSUGAR,2017-12-08,560.0,574.5,542.5,546.975,89964
AVADHSUGAR,2017-12-11,557.5,557.5,535.0,541.55,15020
AVADHSUGAR,2017-12-12,533.0,547.5,530.0,531.75,24130
AVADHSUGAR,2017-12-13,532.5,534.5,500.5,509.15,20848
AVADHSUGAR,2017-12-14,520.0,520.0,448.05,501.775,61208
AVADHSUGAR,2017-12-15,500.05,514.0,469.5,473.925,52178
AVADHSUGAR,2017-12-18,475.0,475.0,450.0,461.6,66248
AVADHSUGAR,2017-12-19,470.25,495.0,462.025,481.575,106838
AVADHSUGAR,2017-12-20,491.0,491.0,475.0,478.375,31712
AVADHSUGAR,2017-12-21,480.025,481.175,453.5,463.825,55988
AVADHSUGAR,2017-12-22,466.0,471.75,440.5,447.95,71338
AVADHSUGAR,2017-12-26,444.0,463.0,437.5,447.75,52784
AVADHSUGAR,2017-12-27,450.0,450.0,425.5,427.05,75974
AVADHSUGAR,2017-12-28,427.0,430.0,397.5,402.15,158216
AVADHSUGAR,2017-12-29,412.0,419.5,400.0,403.85,71132
AVADHSUGAR,2018-01-01,405.025,415.0,401.3,404.3,57500
AVADHSUGAR,2018-01-02,411.5,411.5,397.525,399.875,52492
AVADHSUGAR,2018-01-03,401.05,407.475,398.0,401.8,75708
AVADHSUGAR,2018-01-04,402.05,449.0,400.0,437.0,135296
AVADHSUGAR,2018-01-05,459.0,459.0,423.25,425.75,61710
AVADHSUGAR,2018-01-08,429.25,447.0,417.475,440.4,105030
AVADHSUGAR,2018-01-09,446.0,447.5,433.275,435.65,41964
AVADHSUGAR,2018-01-10,444.25,465.0,438.5,452.35,62602
AVADHSUGAR,2018-01-11,455.0,457.2,447.525,448.425,19008
AVADHSUGAR,2018-01-12,440.0,453.5,435.025,439.575,30010
AVADHSUGAR,2018-01-15,441.5,441.5,430.0,430.55,48036
AVADHSUGAR,2018-01-16,438.7,438.7,407.5,408.425,52760
AVADHSUGAR,2018-01-17,408.5,422.5,398.75,411.85,41850
AVADHSUGAR,2018-01-18,415.0,417.5,386.0,388.05,74524
AVADHSUGAR,2018-01-19,398.325,398.325,380.025,386.3,38822
AVADHSUGAR,2018-01-22,376.0,392.5,356.65,360.125,118558
AVADHSUGAR,2018-01-23,358.0,373.5,353.025,355.55,49524
AVADHSUGAR,2018-01-24,352.25,359.9,347.75,350.925,88656
AVADHSUGAR,2018-01-25,357.475,358.7,347.5,350.75,57414
AVADHSUGAR,2018-01-29,350.0,351.25,339.0,340.225,81900
AVADHSUGAR,2018-01-30,343.475,343.5,331.05,335.05,21256
AVADHSUGAR,2018-01-31,337.5,348.975,332.475,335.475,36998
AVADHSUGAR,2018-02-01,349.0,349.0,333.525,337.4,36926
AVADHSUGAR,2018-02-02,333.5,346.975,331.75,335.8,49252
AVADHSUGAR,2018-02-05,331.75,347.0,282.05,336.025,72156
AVADHSUGAR,2018-02-06,324.5,335.0,312.175,318.75,94608
AVADHSUGAR,2018-02-07,321.0,329.475,315.0,315.25,69760
AVADHSUGAR,2018-02-08,318.5,341.0,315.65,336.5,116012
AVADHSUGAR,2018-02-09,330.5,403.8,330.5,383.1,576404
AVADHSUGAR,2018-02-12,394.225,424.475,392.5,418.275,290910
AVADHSUGAR,2018-02-14,433.5,449.975,407.05,413.85,179840
AVADHSUGAR,2018-02-15,415.0,421.0,390.825,393.3,72728
AVADHSUGAR,2018-02-16,398.225,404.45,384.0,388.9,90630
AVADHSUGAR,2018-02-19,389.0,389.0,355.5,358.6,70058
AVADHSUGAR,2018-02-20,358.5,369.95,357.525,359.0,44286
AVADHSUGAR,2018-02-21,365.0,365.0,341.5,343.55,40460
AVADHSUGAR,2018-02-22,342.0,347.5,333.0,340.575,260150
AVADHSUGAR,2018-02-23,341.0,347.5,337.55,343.1,33640
AVADHSUGAR,2018-02-26,346.325,350.0,337.0,339.375,27214
AVADHSUGAR,2018-02-27,335.75,357.325,335.75,345.8,38676
AVADHSUGAR,2018-02-28,342.5,352.5,337.0,340.375,42064
