symbol,date,open,high,low,close,volume
BAJAJCON,2025-07-24,243.25,247.4,238.56,245.07,993618
BAJAJCON,2025-07-25,245.0,245.0,231.02,234.35,1949176
BAJAJCON,2025-07-28,235.01,235.9,229.45,230.7,953327
BAJAJCON,2025-07-29,233.0,233.0,226.0,227.04,665782
BAJAJCON,2025-07-30,228.95,230.61,227.2,228.67,282688
BAJAJCON,2025-07-31,225.1,228.5,221.65,223.18,434924
BAJAJCON,2025-08-01,224.4,228.5,222.85,224.68,379046
BAJAJCON,2025-08-04,224.69,224.78,221.07,221.96,307890
BAJAJCON,2025-08-05,222.95,226.19,221.59,224.47,354856
BAJAJCON,2025-08-06,225.0,226.88,223.65,225.24,321899
BAJAJCON,2025-08-07,224.3,225.24,223.39,224.94,296451
BAJAJCON,2025-08-08,224.05,230.99,224.05,228.18,669529
BAJAJCON,2025-08-11,228.0,234.01,225.47,231.93,1001124
BAJAJCON,2025-08-12,233.16,233.16,224.32,225.04,629080
BAJAJCON,2025-08-13,225.34,226.17,222.2,222.73,574508
BAJAJCON,2025-08-14,224.97,224.97,222.1,223.73,210864
BAJAJCON,2025-08-18,226.09,227.89,223.6,225.61,351194
BAJAJCON,2025-08-19,225.61,229.8,224.62,228.93,556501
BAJAJCON,2025-08-20,229.49,233.9,228.96,230.9,633349
BAJAJCON,2025-08-21,231.01,232.99,228.2,229.07,248715
BAJAJCON,2025-08-22,229.07,230.81,225.6,226.51,351526
BAJAJCON,2025-08-25,228.7,229.9,226.85,228.58,229434
BAJAJCON,2025-08-26,228.2,234.99,225.1,229.51,1050841
BAJAJCON,2025-08-28,230.62,238.2,229.55,234.35,1484395
BAJAJCON,2025-08-29,236.0,238.5,233.8,234.42,592331
BAJAJCON,2025-09-01,236.9,241.2,234.81,238.42,1547747
BAJAJCON,2025-09-02,241.45,244.8,239.33,242.47,1738594
BAJAJCON,2025-09-03,244.89,245.6,241.0,241.97,1289352
BAJAJCON,2025-09-04,240.0,244.2,225.57,232.95,2545361
BAJAJCON,2025-09-05,233.94,233.94,223.98,225.18,584551
BAJAJCON,2025-09-08,227.05,227.51,223.4,224.19,332271
BAJAJCON,2025-09-09,224.25,225.17,220.1,222.02,299006
BAJAJCON,2025-09-10,222.99,224.7,220.88,222.01,468047
BAJAJCON,2025-09-11,223.99,229.9,223.29,228.49,655435
BAJAJCON,2025-09-12,229.5,229.85,222.8,223.92,397915
BAJAJCON,2025-09-15,226.0,231.0,222.78,229.96,793456
BAJAJCON,2025-09-16,229.01,232.0,226.21,228.14,884978
BAJAJCON,2025-09-17,229.19,241.73,225.67,237.44,1267213
BAJAJCON,2025-09-18,238.0,263.45,234.11,257.84,7101892
BAJAJCON,2025-09-19,259.0,263.44,254.0,255.49,1446442
BAJAJCON,2025-09-22,256.0,263.5,255.27,257.65,1192312
BAJAJCON,2025-09-23,257.5,259.58,252.35,253.84,605160
BAJAJCON,2025-09-24,236.0,251.0,232.1,246.44,3211423
BAJAJCON,2025-09-25,247.4,251.03,240.0,243.98,1069097
BAJAJCON,2025-09-26,241.8,244.16,232.3,232.89,655003
BAJAJCON,2025-09-29,233.31,244.57,232.57,235.4,675618
BAJAJCON,2025-09-30,237.57,240.66,232.1,236.9,595104
BAJAJCON,2025-10-01,236.99,239.0,233.14,236.06,583828
BAJAJCON,2025-10-03,237.76,242.62,236.11,239.33,532838
BAJAJCON,2025-10-06,240.29,244.49,235.15,242.61,412104
BAJAJCON,2025-10-07,243.0,244.0,238.0,241.91,531907
BAJAJCON,2025-10-08,242.48,248.4,240.0,246.55,502048
BAJAJCON,2025-10-09,249.8,252.52,244.2,247.65,647693
BAJAJCON,2025-10-10,247.25,266.94,247.24,264.12,3371167
BAJAJCON,2025-10-13,264.87,269.7,260.84,265.75,1497360
BAJAJCON,2025-10-14,266.29,266.8,256.29,259.24,748269
BAJAJCON,2025-10-15,259.24,267.0,258.31,264.48,1212967
BAJAJCON,2025-10-16,263.5,267.0,262.0,265.09,540195
