symbol,date,open,high,low,close,volume
BALKRISHNA,2025-07-23,21.94,21.94,20.99,21.12,27171
BALKRISHNA,2025-07-24,21.13,21.68,21.12,21.3,4391
BALKRISHNA,2025-07-25,21.6,21.6,21.08,21.22,8467
BALKRISHNA,2025-07-28,21.22,21.6,21.02,21.26,13198
BALKRISHNA,2025-07-29,21.54,21.54,20.15,20.42,25868
BALKRISHNA,2025-07-30,21.4,21.54,20.18,20.56,13451
BALKRISHNA,2025-07-31,19.95,21.0,19.95,20.62,9119
BALKRISHNA,2025-08-01,20.62,20.9,20.38,20.54,5168
BALKRISHNA,2025-08-04,21.8,21.8,20.33,20.37,5167
BALKRISHNA,2025-08-05,20.41,20.98,20.37,20.44,4897
BALKRISHNA,2025-08-06,20.31,20.99,20.31,20.55,5369
BALKRISHNA,2025-08-07,21.34,21.34,20.15,20.29,10901
BALKRISHNA,2025-08-08,20.69,20.69,19.68,19.8,5165
BALKRISHNA,2025-08-11,20.5,20.5,19.16,19.77,6014
BALKRISHNA,2025-08-12,20.17,20.17,19.62,19.96,1992
BALKRISHNA,2025-08-13,20.17,20.5,19.64,19.66,10516
BALKRISHNA,2025-08-14,19.98,20.15,19.66,19.98,9911
BALKRISHNA,2025-08-18,20.08,21.51,19.76,20.06,54322
BALKRISHNA,2025-08-19,19.96,20.15,19.83,19.95,12270
BALKRISHNA,2025-08-20,20.14,20.39,20.0,20.11,4864
BALKRISHNA,2025-08-21,20.1,21.49,20.1,20.48,99953
BALKRISHNA,2025-08-22,20.51,23.4,20.1,21.73,336488
BALKRISHNA,2025-08-25,21.32,22.49,21.0,21.94,187223
BALKRISHNA,2025-08-26,21.94,22.32,20.95,21.9,43531
BALKRISHNA,2025-08-28,22.25,23.95,21.17,23.14,254827
BALKRISHNA,2025-08-29,22.5,24.69,20.67,21.35,632943
BALKRISHNA,2025-09-01,21.6,22.44,21.22,22.08,50701
BALKRISHNA,2025-09-02,22.77,22.92,21.57,22.57,106482
BALKRISHNA,2025-09-03,22.89,24.48,21.2,21.77,1227638
BALKRISHNA,2025-09-04,22.0,22.0,21.55,21.66,51004
BALKRISHNA,2025-09-05,21.66,22.15,21.51,22.06,21648
BALKRISHNA,2025-09-08,22.15,22.15,21.6,21.65,12161
BALKRISHNA,2025-09-09,21.65,21.9,20.5,21.08,37862
BALKRISHNA,2025-09-10,20.98,22.04,20.98,21.87,40247
BALKRISHNA,2025-09-11,22.4,22.4,21.3,21.77,14978
BALKRISHNA,2025-09-12,21.77,22.0,21.49,21.72,26231
BALKRISHNA,2025-09-15,21.82,21.93,21.41,21.64,26254
BALKRISHNA,2025-09-16,21.52,22.28,21.24,21.91,51893
