symbol,date,open,high,low,close,volume
BALRAMCHIN,2002-07-01,1.291,1.375,1.282,1.344,157670
BALRAMCHIN,2002-07-02,1.375,1.39,1.341,1.363,83770
BALRAMCHIN,2002-07-03,1.366,1.366,1.342,1.357,65820
BALRAMCHIN,2002-07-04,1.341,1.499,1.323,1.445,919770
BALRAMCHIN,2002-07-05,1.48,1.529,1.452,1.501,1051530
BALRAMCHIN,2002-07-08,1.509,1.562,1.507,1.518,424310
BALRAMCHIN,2002-07-09,1.529,1.529,1.466,1.474,214230
BALRAMCHIN,2002-07-10,1.499,1.528,1.45,1.471,236900
BALRAMCHIN,2002-07-11,1.504,1.514,1.465,1.473,532730
BALRAMCHIN,2002-07-12,1.437,1.437,1.361,1.378,109790
BALRAMCHIN,2002-07-15,1.371,1.391,1.332,1.336,43800
BALRAMCHIN,2002-07-16,1.367,1.367,1.302,1.305,36620
BALRAMCHIN,2002-07-17,1.341,1.341,1.244,1.284,83710
BALRAMCHIN,2002-07-18,1.287,1.321,1.265,1.289,37420
BALRAMCHIN,2002-07-19,1.282,1.297,1.275,1.293,98030
BALRAMCHIN,2002-07-22,1.263,1.267,1.233,1.243,28270
BALRAMCHIN,2002-07-23,1.223,1.258,1.206,1.249,55540
BALRAMCHIN,2002-07-24,1.184,1.248,1.184,1.234,133080
BALRAMCHIN,2002-07-25,1.243,1.322,1.229,1.247,82130
BALRAMCHIN,2002-07-26,1.282,1.282,1.204,1.255,264020
BALRAMCHIN,2002-07-29,1.218,1.258,1.194,1.22,113290
BALRAMCHIN,2002-07-30,1.228,1.243,1.201,1.202,57160
BALRAMCHIN,2002-07-31,1.194,1.223,1.168,1.204,31950
BALRAMCHIN,2002-08-01,1.233,1.242,1.203,1.207,38170
BALRAMCHIN,2002-08-02,1.194,1.21,1.194,1.196,46100
BALRAMCHIN,2002-08-05,1.219,1.219,1.196,1.218,205710
BALRAMCHIN,2002-08-06,1.208,1.223,1.199,1.21,31150
BALRAMCHIN,2002-08-07,1.332,1.332,1.194,1.203,145240
BALRAMCHIN,2002-08-08,1.203,1.203,1.154,1.164,46080
BALRAMCHIN,2002-08-09,1.174,1.188,1.167,1.182,23250
BALRAMCHIN,2002-08-12,1.184,1.184,1.174,1.174,4500
BALRAMCHIN,2002-08-13,1.194,1.371,1.174,1.294,248270
BALRAMCHIN,2002-08-14,1.316,1.322,1.238,1.257,588010
BALRAMCHIN,2002-08-15,1.257,1.257,1.257,1.257,0
