symbol,date,open,high,low,close,volume
BEPL,2005-03-21,25.2667,25.3,22.6667,23.5,349974
BEPL,2005-03-22,24.0,24.0,21.3667,21.5333,107193
BEPL,2005-03-23,21.5667,23.1667,21.4,21.7,58521
BEPL,2005-03-24,20.0,23.5,19.7,20.4,55840
BEPL,2005-03-28,19.4667,20.9,19.4667,20.2333,28585
BEPL,2005-03-29,20.6667,20.6667,19.4667,19.7667,33430
BEPL,2005-03-30,18.1667,20.9333,18.1667,20.3,45487
BEPL,2005-03-31,19.9,22.3333,19.2,21.6,18921
BEPL,2005-04-01,20.6667,22.4333,20.6667,20.7333,11485
BEPL,2005-04-04,20.0333,20.3667,20.0,20.3667,165
BEPL,2005-04-05,22.3,22.3,20.0,20.3667,4575
BEPL,2005-04-06,20.3333,20.3333,20.3333,20.3333,750
BEPL,2005-04-07,19.6667,19.9667,19.4,19.9333,2332
BEPL,2005-04-08,19.0667,21.0,19.0667,20.6667,7578
BEPL,2005-04-11,19.6667,20.3333,19.5333,19.7,1056
BEPL,2005-04-12,21.3,21.7,21.2,21.7,9742
BEPL,2005-04-13,23.9,23.9,23.3333,23.9,81687
BEPL,2005-04-15,24.6667,28.4333,23.3333,27.6,1395412
BEPL,2005-04-18,28.0,31.3333,26.2667,30.8333,3868930
BEPL,2005-04-19,31.0,32.6,27.4667,28.1333,1778440
BEPL,2005-04-20,28.3333,28.9,26.2,26.7333,305446
BEPL,2005-04-21,26.6,27.5333,26.1,26.5667,403972
BEPL,2005-04-22,26.8333,26.8333,25.3667,26.2667,257566
BEPL,2005-04-25,25.8,26.6,24.7333,25.3,229078
BEPL,2005-04-26,25.8,25.8,24.3333,24.5667,204580
BEPL,2005-04-27,24.3667,24.6333,23.3333,23.9,98137
BEPL,2005-04-28,24.0,24.8667,24.0,24.2333,71301
BEPL,2005-04-29,24.0,24.6333,23.3667,23.6,182176
BEPL,2005-05-02,24.0,24.0,23.4667,23.5333,153255
BEPL,2005-05-03,24.5667,25.9,24.1667,24.9,1023307
BEPL,2005-05-04,25.1333,26.2667,24.8667,25.1,983164
BEPL,2005-05-05,25.5,26.0333,24.6667,24.9667,298747
BEPL,2005-05-06,25.0333,25.5667,24.6333,25.2,236128
BEPL,2005-05-09,25.0,26.6667,24.9333,26.5333,263421
BEPL,2005-05-10,26.6,26.8333,25.4,25.7333,255183
BEPL,2005-05-11,26.0,26.0,23.7333,24.0,226974
BEPL,2005-05-12,25.3333,25.3333,24.1,24.5667,268759
BEPL,2005-05-13,25.3333,25.5,23.6667,23.9667,333888
BEPL,2005-05-16,24.5667,25.5,24.3667,24.7667,338803
BEPL,2005-05-17,25.2667,25.2667,23.6667,24.0667,360424
BEPL,2005-05-18,24.3,24.5333,23.4333,23.7333,253146
BEPL,2005-05-19,24.7333,24.8333,23.6667,23.9,296602
BEPL,2005-05-20,24.3333,24.5,23.5333,23.7,258480
BEPL,2005-05-23,24.4667,24.4667,23.7333,23.9333,266409
BEPL,2005-05-24,24.2667,24.2667,23.3333,23.5333,185938
BEPL,2005-05-25,23.0,23.9333,23.0,23.4333,59698
BEPL,2005-05-26,23.8,23.9333,23.3333,23.6,773344
BEPL,2005-05-27,23.8667,25.3333,23.3667,23.5,1279098
BEPL,2005-05-30,23.9333,23.9333,23.0,23.1333,231751
BEPL,2005-05-31,23.5,25.0,23.3667,23.7,136039
BEPL,2005-06-01,24.1,24.4667,23.3333,23.6667,67060
BEPL,2005-06-02,24.2667,24.2667,23.4333,23.5,30979
BEPL,2005-06-03,23.8667,25.0,23.3667,24.5333,131580
BEPL,2005-06-06,25.4667,25.4667,24.7333,25.1333,196075
BEPL,2005-06-07,25.3333,25.8667,25.2667,25.5667,226867
BEPL,2005-06-08,25.9333,26.3333,24.6667,25.7667,279172
BEPL,2005-06-09,25.8333,25.8667,25.0333,25.4,208813
BEPL,2005-06-10,25.6667,25.7667,24.9333,25.0667,224262
BEPL,2005-06-13,25.3667,25.5,25.0,25.2667,183826
BEPL,2005-06-14,25.6333,25.6333,25.1333,25.3333,195862
BEPL,2005-06-15,25.8333,25.9333,24.8,25.0,220314
BEPL,2005-06-16,25.3,25.3,24.6667,24.7333,126153
BEPL,2005-06-17,24.5,25.0,24.0333,24.7,149043
BEPL,2005-06-20,24.3333,25.1333,24.1667,24.4,144393
BEPL,2005-06-21,24.1333,25.4,24.1,25.2667,112009
BEPL,2005-06-22,25.6667,26.8,25.3333,26.0,288793
BEPL,2005-06-23,26.0,27.0,26.0,26.5333,262656
BEPL,2005-06-24,26.0,27.1667,26.0,26.8,128656
BEPL,2005-06-27,26.7333,27.6667,26.5333,26.6667,94216
BEPL,2005-06-28,26.3333,27.4667,26.0,26.6667,1155073
BEPL,2005-06-29,26.8667,27.5,26.5,27.3333,156043
BEPL,2005-06-30,27.1667,27.8667,27.1667,27.6667,323296
BEPL,2005-07-01,27.7333,28.7333,27.4,28.6,712527
BEPL,2005-07-04,28.6667,29.3333,28.0,28.3667,227319
