symbol,date,open,high,low,close,volume
BIRLAMONEY,2021-07-26,76.9,77.0,73.2,73.65,279740
BIRLAMONEY,2021-07-27,73.75,76.8,73.75,74.3,305471
BIRLAMONEY,2021-07-28,74.9,74.95,70.5,71.95,233627
BIRLAMONEY,2021-07-29,72.65,74.5,72.0,73.0,203145
BIRLAMONEY,2021-07-30,73.65,75.4,72.15,72.85,280280
BIRLAMONEY,2021-08-02,73.9,75.9,73.35,74.3,283829
BIRLAMONEY,2021-08-03,74.35,74.8,72.5,72.75,146061
BIRLAMONEY,2021-08-04,73.4,74.55,70.0,70.4,191523
BIRLAMONEY,2021-08-05,70.6,70.6,67.0,67.8,205599
BIRLAMONEY,2021-08-06,68.2,74.55,67.8,73.2,726399
BIRLAMONEY,2021-08-09,74.55,75.45,72.35,73.15,231603
BIRLAMONEY,2021-08-10,73.15,73.55,67.1,69.1,310253
BIRLAMONEY,2021-08-11,67.35,70.5,64.5,67.15,311975
BIRLAMONEY,2021-08-12,68.0,72.0,67.6,71.0,251217
BIRLAMONEY,2021-08-13,71.8,71.8,69.0,69.7,110502
BIRLAMONEY,2021-08-16,70.9,70.9,67.8,68.05,102460
BIRLAMONEY,2021-08-17,68.1,69.75,66.0,66.4,114382
BIRLAMONEY,2021-08-18,66.45,67.95,62.6,64.7,172030
BIRLAMONEY,2021-08-20,62.0,63.6,61.25,61.55,126264
BIRLAMONEY,2021-08-23,62.05,63.0,56.15,57.0,169436
BIRLAMONEY,2021-08-24,56.9,62.7,56.5,62.5,275514
BIRLAMONEY,2021-08-25,63.15,65.5,61.5,61.95,186135
BIRLAMONEY,2021-08-26,61.95,62.8,59.55,60.1,103978
BIRLAMONEY,2021-08-27,61.0,62.45,59.9,61.05,116392
BIRLAMONEY,2021-08-30,61.95,63.65,61.5,62.45,114846
BIRLAMONEY,2021-08-31,62.9,62.9,60.5,60.8,89522
BIRLAMONEY,2021-09-01,61.45,62.4,59.8,60.3,94801
BIRLAMONEY,2021-09-02,61.0,61.8,60.8,61.05,62798
BIRLAMONEY,2021-09-03,61.9,62.9,61.1,61.85,116328
BIRLAMONEY,2021-09-06,62.5,63.75,61.35,61.6,72346
BIRLAMONEY,2021-09-07,62.0,62.45,60.0,60.85,100942
BIRLAMONEY,2021-09-08,60.5,62.75,60.5,61.95,104710
BIRLAMONEY,2021-09-09,62.95,62.95,61.2,61.8,64690
BIRLAMONEY,2021-09-13,62.0,62.5,60.85,61.0,76229
BIRLAMONEY,2021-09-14,62.5,62.5,61.0,61.75,50583
BIRLAMONEY,2021-09-15,61.75,66.25,61.75,65.15,376070
BIRLAMONEY,2021-09-16,65.0,66.9,65.0,65.8,238215
BIRLAMONEY,2021-09-17,66.2,66.25,60.95,62.35,178032
BIRLAMONEY,2021-09-20,62.35,62.9,60.05,60.45,106980
BIRLAMONEY,2021-09-21,60.0,61.0,59.35,60.35,117629
BIRLAMONEY,2021-09-22,60.75,62.9,59.75,61.55,136908
BIRLAMONEY,2021-09-23,62.9,64.9,62.15,62.85,149456
BIRLAMONEY,2021-09-24,65.0,65.9,63.05,63.5,246138
BIRLAMONEY,2021-09-27,63.95,63.95,61.45,62.0,128400
BIRLAMONEY,2021-09-28,62.05,64.8,61.95,62.95,149844
BIRLAMONEY,2021-09-29,63.25,63.7,62.5,62.8,61347
BIRLAMONEY,2021-09-30,63.2,64.0,62.55,63.0,74371
BIRLAMONEY,2021-10-01,62.5,64.25,62.05,63.4,112808
BIRLAMONEY,2021-10-04,63.05,64.15,62.6,63.2,109523
BIRLAMONEY,2021-10-05,63.3,63.5,62.25,62.8,73763
BIRLAMONEY,2021-10-06,63.95,68.0,63.25,65.75,591918
BIRLAMONEY,2021-10-07,66.8,68.0,65.55,67.1,256231
BIRLAMONEY,2021-10-08,67.65,68.4,65.15,67.2,183622
BIRLAMONEY,2021-10-11,67.75,70.5,67.7,68.5,416534
BIRLAMONEY,2021-10-12,69.0,69.5,67.3,67.95,142167
BIRLAMONEY,2021-10-13,68.55,70.0,65.05,67.9,845977
BIRLAMONEY,2021-10-14,70.35,70.35,66.0,66.1,236952
BIRLAMONEY,2021-10-18,66.45,67.5,65.8,65.8,120104
BIRLAMONEY,2021-10-19,66.45,66.45,64.0,64.15,108364
BIRLAMONEY,2021-10-20,64.15,64.15,62.1,62.3,90707
BIRLAMONEY,2021-10-21,62.45,65.75,61.15,64.4,132518
BIRLAMONEY,2021-10-22,65.4,66.5,62.3,62.9,192964
BIRLAMONEY,2021-10-25,62.45,64.0,61.5,62.4,83802
BIRLAMONEY,2021-10-26,62.4,64.0,62.4,63.15,58103
BIRLAMONEY,2021-10-27,63.95,64.0,62.0,62.35,68234
BIRLAMONEY,2021-10-28,61.65,62.8,61.1,61.25,69914
BIRLAMONEY,2021-10-29,61.5,61.55,59.85,60.3,62814
BIRLAMONEY,2021-11-01,60.4,61.45,60.1,60.6,60225
BIRLAMONEY,2021-11-02,61.45,62.05,60.5,61.3,51360
BIRLAMONEY,2021-11-03,61.95,62.5,61.0,61.4,79468
BIRLAMONEY,2021-11-04,62.45,62.9,61.0,61.8,29707
BIRLAMONEY,2021-11-08,62.95,62.95,61.1,61.4,67291
BIRLAMONEY,2021-11-09,61.45,62.55,61.45,62.0,74695
BIRLAMONEY,2021-11-10,62.4,62.4,61.5,61.95,60337
BIRLAMONEY,2021-11-11,62.9,68.1,61.9,68.1,1184787
BIRLAMONEY,2021-11-12,68.65,69.8,64.6,65.15,414097
BIRLAMONEY,2021-11-15,65.65,65.95,63.15,63.65,96449
BIRLAMONEY,2021-11-16,63.5,64.65,62.75,63.1,115790
BIRLAMONEY,2021-11-17,62.25,64.5,62.25,62.65,64232
BIRLAMONEY,2021-11-18,63.7,63.7,60.55,61.25,101828
BIRLAMONEY,2021-11-22,62.8,62.8,58.0,58.9,145928
BIRLAMONEY,2021-11-23,58.5,61.45,58.0,60.95,82697
BIRLAMONEY,2021-11-24,61.95,61.95,60.3,60.65,96940
BIRLAMONEY,2021-11-25,60.3,61.8,60.3,60.85,61568
BIRLAMONEY,2021-11-26,60.95,61.5,58.8,59.4,70099
BIRLAMONEY,2021-11-29,59.1,59.1,56.25,57.5,98623
BIRLAMONEY,2021-11-30,57.3,60.0,57.3,58.05,82428
BIRLAMONEY,2021-12-01,58.05,59.3,58.05,58.7,42176
BIRLAMONEY,2021-12-02,58.7,61.6,58.0,60.1,94127
BIRLAMONEY,2021-12-03,60.75,61.6,60.0,60.4,57659
BIRLAMONEY,2021-12-06,61.45,61.6,59.1,59.55,64446
BIRLAMONEY,2021-12-07,61.0,63.0,61.0,61.5,108690
BIRLAMONEY,2021-12-08,62.7,62.7,61.7,61.9,103633
BIRLAMONEY,2021-12-09,62.45,66.1,61.9,64.3,463920
BIRLAMONEY,2021-12-10,64.65,64.65,62.6,63.6,112347
BIRLAMONEY,2021-12-13,63.9,64.35,63.55,63.95,94617
BIRLAMONEY,2021-12-14,63.6,64.35,61.7,63.25,81642
BIRLAMONEY,2021-12-15,62.55,65.8,62.55,64.0,196512
BIRLAMONEY,2021-12-16,64.85,65.0,61.9,62.65,83641
BIRLAMONEY,2021-12-17,63.15,63.35,61.0,61.35,79169
BIRLAMONEY,2021-12-20,61.95,61.95,58.0,58.45,104362
BIRLAMONEY,2021-12-21,58.9,60.5,58.65,59.6,74222
BIRLAMONEY,2021-12-22,60.65,63.5,60.25,61.35,190347
BIRLAMONEY,2021-12-23,61.45,62.55,61.45,61.95,64530
BIRLAMONEY,2021-12-24,62.3,62.3,60.1,61.5,76845
BIRLAMONEY,2021-12-27,60.35,61.3,59.5,60.9,52684
BIRLAMONEY,2021-12-28,61.05,64.0,61.05,63.35,230093
BIRLAMONEY,2021-12-29,63.85,63.85,62.05,62.35,72420
BIRLAMONEY,2021-12-30,61.45,64.7,61.45,62.7,90376
BIRLAMONEY,2021-12-31,63.0,64.0,62.5,62.65,66577
BIRLAMONEY,2022-01-03,64.45,64.45,62.35,62.8,113563
BIRLAMONEY,2022-01-04,63.4,63.85,62.6,62.95,75029
BIRLAMONEY,2022-01-05,63.15,71.0,62.95,67.9,1119448
BIRLAMONEY,2022-01-06,67.8,69.85,67.45,68.55,731629
BIRLAMONEY,2022-01-07,68.65,78.7,66.65,74.55,4381596
BIRLAMONEY,2022-01-10,76.0,78.2,74.75,74.95,1782862
BIRLAMONEY,2022-01-11,75.0,77.0,74.2,74.85,508920
BIRLAMONEY,2022-01-12,75.35,75.7,71.5,72.65,409759
BIRLAMONEY,2022-01-13,73.1,76.45,72.0,75.0,1254993
BIRLAMONEY,2022-01-14,75.25,75.4,72.6,73.05,378520
BIRLAMONEY,2022-01-17,73.5,74.4,71.55,71.85,224543
BIRLAMONEY,2022-01-18,72.3,73.1,70.1,70.6,233898
BIRLAMONEY,2022-01-19,70.6,71.2,68.6,69.65,234832
BIRLAMONEY,2022-01-20,69.05,71.35,69.05,70.35,163588
BIRLAMONEY,2022-01-21,71.8,71.8,68.1,68.4,139106
BIRLAMONEY,2022-01-24,68.4,68.55,63.0,64.5,185766
BIRLAMONEY,2022-01-25,65.95,66.95,63.25,66.7,113309
BIRLAMONEY,2022-01-27,66.05,68.0,65.05,67.05,91924
BIRLAMONEY,2022-01-28,67.1,71.0,67.1,69.6,256426
BIRLAMONEY,2022-01-31,70.15,71.0,68.55,69.45,172861
BIRLAMONEY,2022-02-01,69.5,70.4,67.1,68.7,146054
BIRLAMONEY,2022-02-02,68.75,71.75,68.75,70.45,218017
BIRLAMONEY,2022-02-03,70.8,70.85,69.0,69.85,151677
BIRLAMONEY,2022-02-04,70.0,74.0,69.7,73.15,777205
BIRLAMONEY,2022-02-07,73.9,75.85,73.0,73.8,445539
BIRLAMONEY,2022-02-08,74.4,74.5,70.5,71.65,177764
BIRLAMONEY,2022-02-09,71.95,73.25,71.35,71.95,186595
BIRLAMONEY,2022-02-10,72.5,72.5,70.6,70.85,76307
BIRLAMONEY,2022-02-11,70.0,71.5,70.0,70.1,80885
BIRLAMONEY,2022-02-14,68.0,70.1,65.9,66.35,114952
BIRLAMONEY,2022-02-15,67.0,70.0,64.0,67.15,135196
BIRLAMONEY,2022-02-16,68.8,69.35,67.0,67.55,62436
BIRLAMONEY,2022-02-17,67.55,69.6,66.1,67.05,62419
BIRLAMONEY,2022-02-18,66.05,67.35,65.6,66.0,41709
BIRLAMONEY,2022-02-21,66.2,66.2,63.0,64.05,70553
BIRLAMONEY,2022-02-22,62.25,63.0,60.65,62.1,68900
BIRLAMONEY,2022-02-23,63.0,64.0,62.6,63.0,38131
BIRLAMONEY,2022-02-24,62.0,62.0,55.5,56.05,165953
BIRLAMONEY,2022-02-25,56.25,65.2,56.25,60.65,129008
BIRLAMONEY,2022-02-28,60.65,61.8,58.5,60.7,67189
BIRLAMONEY,2022-03-02,60.7,62.05,59.65,60.0,65642
BIRLAMONEY,2022-03-03,60.5,61.35,59.55,60.15,47479
BIRLAMONEY,2022-03-04,58.55,59.8,57.55,57.85,150611
BIRLAMONEY,2022-03-07,56.8,57.75,55.2,55.7,91111
BIRLAMONEY,2022-03-08,55.9,58.4,55.7,57.7,68146
BIRLAMONEY,2022-03-09,57.8,60.5,57.8,59.75,70461
BIRLAMONEY,2022-03-10,61.1,62.4,59.85,60.45,97953
BIRLAMONEY,2022-03-11,61.5,61.55,60.3,61.0,50923
BIRLAMONEY,2022-03-14,63.0,63.0,60.9,61.7,90386
BIRLAMONEY,2022-03-15,62.85,62.85,61.0,61.45,49467
BIRLAMONEY,2022-03-16,62.75,63.0,62.25,62.85,62559
BIRLAMONEY,2022-03-17,63.7,65.3,63.15,63.7,117804
BIRLAMONEY,2022-03-21,65.0,65.0,63.0,63.45,59704
BIRLAMONEY,2022-03-22,63.45,63.85,62.0,62.25,50358
BIRLAMONEY,2022-03-23,63.9,63.9,61.05,61.6,59444
BIRLAMONEY,2022-03-24,60.05,63.05,60.05,61.5,68876
BIRLAMONEY,2022-03-25,61.5,62.75,61.0,61.2,42722
BIRLAMONEY,2022-03-28,61.5,61.5,59.6,59.8,59815
BIRLAMONEY,2022-03-29,59.95,60.4,58.5,59.0,81402
BIRLAMONEY,2022-03-30,59.05,60.75,59.05,59.7,94423
BIRLAMONEY,2022-03-31,59.1,62.0,59.1,60.2,130464
BIRLAMONEY,2022-04-01,60.25,62.85,60.25,62.65,117855
BIRLAMONEY,2022-04-04,63.0,65.4,63.0,64.9,155891
BIRLAMONEY,2022-04-05,65.9,65.9,64.55,65.1,80248
BIRLAMONEY,2022-04-06,64.5,69.4,63.95,67.25,258512
BIRLAMONEY,2022-04-07,68.0,68.15,65.45,66.1,90205
BIRLAMONEY,2022-04-08,66.3,67.3,65.9,66.6,121296
BIRLAMONEY,2022-04-11,67.8,68.9,66.6,67.35,130585
BIRLAMONEY,2022-04-12,67.3,67.3,65.25,65.75,82569
BIRLAMONEY,2022-04-13,65.85,70.0,65.85,69.1,237472
BIRLAMONEY,2022-04-18,68.7,68.7,66.5,67.45,129357
BIRLAMONEY,2022-04-19,68.7,69.0,64.1,65.85,154876
BIRLAMONEY,2022-04-20,65.85,67.45,65.25,66.1,98493
BIRLAMONEY,2022-04-21,67.1,71.6,66.1,70.1,588769
BIRLAMONEY,2022-04-22,71.0,72.0,69.35,71.25,427002
BIRLAMONEY,2022-04-25,72.5,74.8,66.95,67.65,869431
BIRLAMONEY,2022-04-26,68.7,68.85,66.5,66.65,255208
BIRLAMONEY,2022-04-27,66.4,68.5,65.2,67.6,173853
BIRLAMONEY,2022-04-28,68.55,69.6,65.5,65.9,202860
BIRLAMONEY,2022-04-29,66.4,67.35,65.35,65.6,108886
BIRLAMONEY,2022-05-02,64.6,65.75,63.35,64.45,83765
BIRLAMONEY,2022-05-04,64.5,65.1,61.0,61.75,127040
BIRLAMONEY,2022-05-05,63.45,64.1,61.5,61.9,54857
BIRLAMONEY,2022-05-06,60.8,62.5,59.7,62.0,71815
BIRLAMONEY,2022-05-09,61.85,64.45,60.05,62.2,129919
BIRLAMONEY,2022-05-10,61.05,63.5,61.05,62.4,52662
BIRLAMONEY,2022-05-11,63.2,63.25,59.0,60.25,99435
BIRLAMONEY,2022-05-12,59.0,60.0,58.05,58.75,59179
BIRLAMONEY,2022-05-13,59.25,61.75,56.9,57.05,133277
BIRLAMONEY,2022-05-16,57.55,59.55,57.5,59.3,77984
BIRLAMONEY,2022-05-17,59.15,64.0,58.7,62.45,68313
BIRLAMONEY,2022-05-18,62.95,64.0,61.85,62.2,59270
BIRLAMONEY,2022-05-19,60.95,61.3,59.5,59.8,47648
BIRLAMONEY,2022-05-20,60.65,61.8,60.6,60.95,32233
BIRLAMONEY,2022-05-23,61.8,61.8,58.75,59.3,83465
BIRLAMONEY,2022-05-24,59.9,59.9,58.15,58.75,32646
BIRLAMONEY,2022-05-25,58.85,59.35,57.0,57.35,32983
BIRLAMONEY,2022-05-26,57.85,57.85,55.5,57.1,41446
BIRLAMONEY,2022-05-27,57.1,59.35,57.1,58.75,30843
BIRLAMONEY,2022-05-30,59.45,60.45,58.4,60.05,70821
BIRLAMONEY,2022-05-31,60.05,61.4,58.9,60.3,36889
BIRLAMONEY,2022-06-01,60.4,60.55,59.25,60.3,43492
BIRLAMONEY,2022-06-02,60.3,61.3,59.6,60.2,42642
BIRLAMONEY,2022-06-03,60.25,61.05,58.65,59.05,109426
BIRLAMONEY,2022-06-06,59.25,59.45,57.95,58.3,37238
BIRLAMONEY,2022-06-07,58.3,58.4,57.65,57.85,20105
BIRLAMONEY,2022-06-08,58.1,59.9,57.6,59.1,51805
BIRLAMONEY,2022-06-09,58.2,59.5,57.85,59.05,17265
BIRLAMONEY,2022-06-10,58.0,58.7,58.0,58.05,48971
BIRLAMONEY,2022-06-13,57.9,57.9,55.2,55.95,45445
BIRLAMONEY,2022-06-14,55.9,56.7,55.25,56.05,17211
BIRLAMONEY,2022-06-15,56.45,56.5,55.2,55.45,22452
BIRLAMONEY,2022-06-16,57.45,57.45,51.05,52.05,72639
BIRLAMONEY,2022-06-17,52.05,53.55,49.2,51.25,65395
