symbol,date,open,high,low,close,volume
BLUECOAST,2025-07-22,34.2,34.2,34.2,34.2,974
BLUECOAST,2025-07-23,35.91,35.91,35.91,35.91,739
BLUECOAST,2025-07-24,37.7,37.7,37.7,37.7,324
BLUECOAST,2025-07-25,39.58,39.58,39.58,39.58,2651
BLUECOAST,2025-07-28,41.55,41.55,41.55,41.55,485
BLUECOAST,2025-07-29,43.62,43.62,43.62,43.62,1911
BLUECOAST,2025-07-30,45.8,45.8,45.8,45.8,399
BLUECOAST,2025-07-31,48.09,48.09,48.09,48.09,701
BLUECOAST,2025-08-01,50.49,50.49,50.49,50.49,925
BLUECOAST,2025-08-04,53.01,53.01,53.01,53.01,1001
BLUECOAST,2025-08-05,55.66,55.66,55.66,55.66,343
BLUECOAST,2025-08-06,58.44,58.44,58.44,58.44,65
BLUECOAST,2025-08-07,61.36,61.36,58.44,61.36,16956
BLUECOAST,2025-08-08,64.42,64.42,64.42,64.42,731
BLUECOAST,2025-08-11,67.64,67.64,67.64,67.64,127
BLUECOAST,2025-08-12,71.02,71.02,71.02,71.02,226
BLUECOAST,2025-08-13,74.57,74.57,74.57,74.57,411
BLUECOAST,2025-08-14,78.29,78.29,78.29,78.29,1813
BLUECOAST,2025-08-18,82.2,82.2,80.0,82.2,37222
BLUECOAST,2025-08-19,86.31,86.31,78.09,85.63,100940
BLUECOAST,2025-08-20,81.34,81.34,81.34,81.34,10925
BLUECOAST,2025-08-21,77.27,77.27,77.27,77.27,2870
BLUECOAST,2025-08-22,73.4,73.4,73.4,73.4,2172
BLUECOAST,2025-08-25,69.75,69.75,69.73,69.73,4865
BLUECOAST,2025-08-26,66.24,66.24,66.24,66.24,963
BLUECOAST,2025-08-28,62.92,62.92,62.92,62.92,1377
BLUECOAST,2025-08-29,59.77,59.77,59.77,59.77,1865
BLUECOAST,2025-09-01,56.78,56.78,56.78,56.78,2053
BLUECOAST,2025-09-02,53.94,53.94,53.94,53.94,699
BLUECOAST,2025-09-03,51.24,56.63,51.24,56.63,47013
BLUECOAST,2025-09-04,59.46,59.46,59.46,59.46,4482
BLUECOAST,2025-09-05,62.43,62.43,56.48,62.43,78202
BLUECOAST,2025-09-08,65.4,65.55,65.4,65.51,36305
BLUECOAST,2025-09-09,63.01,67.65,62.23,62.23,27201
BLUECOAST,2025-09-10,59.46,59.46,59.11,59.11,9604
BLUECOAST,2025-09-11,56.15,61.0,56.15,56.15,40857
BLUECOAST,2025-09-12,53.35,56.2,53.34,53.34,16595
BLUECOAST,2025-09-15,51.01,52.99,50.67,50.81,17168
BLUECOAST,2025-09-16,50.81,53.35,49.0,53.35,8060
BLUECOAST,2025-09-17,56.01,56.01,56.0,56.01,14809
BLUECOAST,2025-09-18,58.81,58.81,58.0,58.81,10727
BLUECOAST,2025-09-19,61.75,61.75,61.75,61.75,13986
BLUECOAST,2025-09-22,64.83,64.83,64.83,64.83,1744
BLUECOAST,2025-09-23,68.07,68.07,68.07,68.07,795
BLUECOAST,2025-09-24,71.47,71.47,65.1,70.69,34319
BLUECOAST,2025-09-25,67.15,67.15,67.15,67.15,2234
BLUECOAST,2025-09-26,63.79,63.79,63.79,63.79,1187
BLUECOAST,2025-09-29,60.6,60.6,60.6,60.6,5645
BLUECOAST,2025-09-30,57.57,63.63,57.57,63.63,19857
BLUECOAST,2025-10-01,66.0,66.81,60.44,64.06,50090
BLUECOAST,2025-10-03,63.0,63.0,60.85,61.01,17145
BLUECOAST,2025-10-06,58.51,59.78,57.95,58.57,18178
BLUECOAST,2025-10-07,58.5,61.49,55.64,57.09,31875
BLUECOAST,2025-10-08,55.66,57.0,54.23,54.6,19470
BLUECOAST,2025-10-09,55.95,55.95,52.0,54.09,14565
BLUECOAST,2025-10-10,53.98,53.98,51.38,51.38,22976
BLUECOAST,2025-10-13,50.89,50.89,48.81,48.81,12864
BLUECOAST,2025-10-14,46.66,49.9,46.36,46.9,9824
BLUECOAST,2025-10-15,46.45,49.24,46.45,49.24,11017
BLUECOAST,2025-10-16,51.7,51.7,51.7,51.7,4728
BLUECOAST,2025-10-17,54.28,54.28,52.0,54.19,26542
BLUECOAST,2025-10-20,52.03,55.72,51.48,51.48,9527
BLUECOAST,2025-10-21,49.0,53.35,48.9,50.81,5893
BLUECOAST,2025-10-23,51.0,53.2,49.0,50.56,11348
BLUECOAST,2025-10-24,53.0,53.0,48.66,49.8,4676
BLUECOAST,2025-10-27,51.99,51.99,48.0,48.08,8430
BLUECOAST,2025-10-28,46.11,50.0,46.11,49.23,5775
BLUECOAST,2025-10-29,50.0,51.0,47.6,48.64,14761
BLUECOAST,2025-10-30,48.64,49.5,47.04,49.47,9693
BLUECOAST,2025-10-31,49.0,49.5,46.99,47.82,12076
BLUECOAST,2025-11-03,47.9,50.0,47.0,49.51,11975
BLUECOAST,2025-11-04,49.72,49.72,47.36,48.57,4427
BLUECOAST,2025-11-06,49.0,50.99,48.5,50.99,6224
BLUECOAST,2025-11-07,50.99,52.4,48.58,49.46,2892
BLUECOAST,2025-11-10,51.0,51.0,47.25,49.5,4437
BLUECOAST,2025-11-11,51.0,51.0,47.06,49.92,8237
BLUECOAST,2025-11-12,47.56,49.89,47.56,48.61,9455
BLUECOAST,2025-11-13,48.61,49.99,47.04,48.21,9308
BLUECOAST,2025-11-14,48.21,49.83,47.28,48.57,1939
BLUECOAST,2025-11-17,47.01,49.89,47.01,48.18,6517
BLUECOAST,2025-11-18,47.06,49.74,46.01,47.66,10299
BLUECOAST,2025-11-19,47.67,48.0,45.27,45.42,12981
BLUECOAST,2025-11-20,45.0,47.5,43.14,46.17,12646
BLUECOAST,2025-11-21,45.9,45.9,43.86,43.86,8043
BLUECOAST,2025-11-24,42.76,44.0,41.66,41.66,5654
BLUECOAST,2025-11-25,41.4,43.69,40.0,42.45,3507
BLUECOAST,2025-11-26,42.45,44.3,40.35,41.09,5826
BLUECOAST,2025-11-27,42.75,42.75,39.03,39.14,13725
BLUECOAST,2025-11-28,39.14,40.08,37.5,39.14,9035
BLUECOAST,2025-12-01,39.29,40.45,37.5,40.39,4020
BLUECOAST,2025-12-02,41.39,41.39,38.55,39.29,1813
BLUECOAST,2025-12-03,37.81,40.48,37.7,37.95,4520
BLUECOAST,2025-12-04,38.86,38.86,37.1,38.57,2085
BLUECOAST,2025-12-05,38.57,40.0,36.7,39.58,8077
BLUECOAST,2025-12-08,39.59,41.51,37.6,38.5,5220
BLUECOAST,2025-12-09,38.01,38.99,37.0,38.57,9485
BLUECOAST,2025-12-10,38.84,38.84,36.65,36.65,6471
BLUECOAST,2025-12-11,36.58,36.59,34.82,34.91,5756
BLUECOAST,2025-12-12,34.86,36.55,33.36,34.87,3899
BLUECOAST,2025-12-15,35.74,36.25,34.0,35.49,1909
BLUECOAST,2025-12-16,35.49,37.25,33.76,36.98,2835
BLUECOAST,2025-12-17,36.5,36.5,35.14,35.31,3468
BLUECOAST,2025-12-18,33.61,35.99,33.61,35.35,3430
BLUECOAST,2025-12-19,35.35,36.75,33.59,33.78,2311
BLUECOAST,2025-12-22,33.73,35.46,32.55,35.32,6899
BLUECOAST,2025-12-23,36.99,36.99,34.41,35.65,2488
BLUECOAST,2025-12-24,37.42,37.43,34.8,36.5,4170
BLUECOAST,2025-12-26,36.5,36.5,35.26,36.03,1706
BLUECOAST,2025-12-29,36.92,37.76,34.5,34.55,2264
BLUECOAST,2025-12-30,34.55,35.99,32.83,33.14,5338
BLUECOAST,2025-12-31,33.14,33.99,31.81,33.61,6839
BLUECOAST,2026-01-01,32.95,34.66,32.5,33.68,6043
BLUECOAST,2026-01-02,34.39,35.28,33.68,35.09,1352
BLUECOAST,2026-01-05,34.01,36.5,33.34,33.52,2017
BLUECOAST,2026-01-06,34.8,34.8,32.01,32.99,3714
BLUECOAST,2026-01-07,34.59,34.59,32.01,34.06,1822
BLUECOAST,2026-01-08,33.5,33.5,32.36,32.66,3003
BLUECOAST,2026-01-09,32.93,32.93,31.03,32.39,10140
BLUECOAST,2026-01-12,33.19,33.19,30.78,30.78,10205
BLUECOAST,2026-01-13,30.78,31.38,29.25,29.35,8034
BLUECOAST,2026-01-14,30.81,30.81,28.51,30.26,4827
BLUECOAST,2026-01-16,31.66,31.77,29.79,31.73,9869
BLUECOAST,2026-01-19,30.17,32.48,30.15,30.39,6959
BLUECOAST,2026-01-20,29.79,30.9,28.88,28.88,3721
BLUECOAST,2026-01-21,27.61,29.49,27.44,27.45,2390
BLUECOAST,2026-01-22,26.1,28.7,26.1,27.51,2504
BLUECOAST,2026-01-23,27.0,28.69,27.0,27.99,2132
BLUECOAST,2026-01-27,28.99,28.99,26.6,26.65,2532
BLUECOAST,2026-01-28,27.98,27.98,25.7,26.3,4528
BLUECOAST,2026-01-29,26.3,27.49,25.0,26.77,2064
