symbol,date,open,high,low,close,volume
BNALTD,2026-04-20,439.0,439.0,420.0,420.0,56
BNALTD,2026-04-21,420.0,420.0,398.95,401.6,61
BNALTD,2026-04-23,415.0,439.0,390.05,416.1,111
BNALTD,2026-04-27,341.9,465.0,340.5,365.5,405
BNALTD,2026-04-28,429.9,438.0,400.0,423.1,2970
BNALTD,2026-04-29,432.0,450.0,400.05,421.0,708
BNALTD,2026-04-30,422.05,422.05,390.2,399.85,717
BNALTD,2026-05-04,399.85,410.05,392.3,394.55,48
BNALTD,2026-05-05,415.0,419.4,396.3,400.75,29
BNALTD,2026-05-06,396.8,396.8,389.9,389.95,685
BNALTD,2026-05-07,389.9,396.9,382.3,393.45,104
BNALTD,2026-05-11,381.2,381.8,350.0,365.0,2257
BNALTD,2026-05-12,365.0,365.0,365.0,365.0,17
BNALTD,2026-05-13,360.3,360.3,360.3,360.3,1
BNALTD,2026-05-15,361.0,361.0,360.3,360.3,31
BNALTD,2026-05-18,360.3,360.3,360.3,360.3,1
BNALTD,2026-05-19,363.0,363.0,350.0,355.0,59
BNALTD,2026-05-20,350.3,364.8,350.3,364.8,150
BNALTD,2026-05-21,364.7,368.9,364.7,367.9,82
BNALTD,2026-05-22,374.0,374.0,354.0,354.0,29
BNALTD,2026-05-25,358.2,379.9,350.15,357.8,215
BNALTD,2026-05-26,370.3,396.5,354.2,371.5,2043
BNALTD,2026-05-27,352.0,367.65,352.0,359.3,189
BNALTD,2026-05-29,379.9,379.9,353.3,354.05,195
BNALTD,2026-06-01,341.0,341.0,310.4,340.05,80
BNALTD,2026-06-02,340.05,340.05,330.4,340.0,832
BNALTD,2026-06-04,345.3,345.3,345.3,345.3,1
BNALTD,2026-06-05,365.0,365.0,342.6,344.95,197
BNALTD,2026-06-08,344.5,345.0,337.05,337.05,347
BNALTD,2026-06-09,338.3,338.3,337.0,337.0,188
BNALTD,2026-06-11,341.0,341.0,340.0,340.0,10
BNALTD,2026-06-12,340.0,340.0,340.0,340.0,112
BNALTD,2026-06-16,340.0,340.0,337.0,337.0,224
BNALTD,2026-06-18,340.3,342.2,335.3,336.2,24
BNALTD,2026-06-19,335.8,335.8,335.8,335.8,48
BNALTD,2026-06-22,336.0,350.0,333.3,340.0,3261
BNALTD,2026-06-23,340.0,340.0,340.0,340.0,92
BNALTD,2026-06-25,341.2,341.2,340.0,340.05,100
BNALTD,2026-06-29,335.3,335.3,335.3,335.3,1
BNALTD,2026-06-30,335.0,335.05,335.0,335.05,25
BNALTD,2026-07-01,346.8,349.7,346.8,348.25,22
BNALTD,2026-07-02,348.2,390.0,348.2,374.6,198
BNALTD,2026-07-06,360.0,360.0,360.0,360.0,156
BNALTD,2026-07-07,360.0,360.0,360.0,360.0,9
BNALTD,2026-07-08,350.0,396.95,317.0,372.5,129
BNALTD,2026-07-09,374.5,376.25,369.0,370.0,264
BNALTD,2026-07-10,370.0,370.0,325.0,325.05,77
BNALTD,2026-07-13,325.05,355.0,325.05,340.0,263
BNALTD,2026-07-14,350.0,375.0,350.0,374.95,186
BNALTD,2026-07-15,378.7,449.9,358.1,449.65,10365
BNALTD,2026-07-16,508.7,539.55,461.85,539.55,36335
BNALTD,2026-07-17,550.0,589.0,519.55,527.25,50271
BNALTD,2026-07-20,515.1,535.0,493.0,527.0,4491
BNALTD,2026-07-21,525.0,534.45,519.55,519.55,879
BNALTD,2026-07-22,519.55,545.5,495.05,496.0,3194
BNALTD,2026-07-23,473.0,488.0,472.2,472.35,460
BNALTD,2026-07-24,472.3,473.0,458.0,461.1,243
BNALTD,2026-07-27,484.15,484.15,465.0,466.95,170
BNALTD,2026-07-28,458.0,458.0,444.0,444.0,326
BNALTD,2026-07-29,440.0,440.0,422.0,422.0,69
BNALTD,2026-07-30,405.3,421.5,400.9,410.9,224
BNALTD,2026-07-31,410.9,410.9,391.45,393.0,131
BNALTD,2026-08-03,391.05,411.0,383.0,411.0,106
BNALTD,2026-08-04,400.0,402.8,395.0,402.8,183
BNALTD,2026-08-05,394.75,394.75,390.0,390.0,35
BNALTD,2026-08-06,390.0,390.0,390.0,390.0,1
BNALTD,2026-08-10,408.3,408.45,406.0,408.4,328
BNALTD,2026-08-11,408.2,409.0,399.0,399.0,16
BNALTD,2026-08-12,390.3,414.8,388.0,391.0,242
BNALTD,2026-08-13,408.3,408.3,385.0,385.1,211
BNALTD,2026-08-14,385.1,385.1,380.0,380.0,223
BNALTD,2026-08-17,380.0,395.8,380.0,382.0,114
BNALTD,2026-08-18,401.1,401.1,385.3,401.0,469
BNALTD,2026-08-19,401.0,415.7,401.0,414.4,8
BNALTD,2026-08-20,413.9,413.9,394.0,395.0,129
BNALTD,2026-08-21,395.0,395.0,395.0,395.0,0
BNALTD,2026-08-24,387.0,387.0,387.0,387.0,201
BNALTD,2026-08-25,387.0,387.0,387.0,387.0,0
BNALTD,2026-08-26,398.95,406.35,398.95,406.35,1006
BNALTD,2026-08-27,387.3,387.3,386.05,386.1,656
BNALTD,2026-08-28,375.0,375.0,370.0,371.1,7756
BNALTD,2026-08-31,385.0,385.0,355.2,360.45,1878
BNALTD,2026-09-01,369.0,371.0,361.0,362.0,4108
BNALTD,2026-09-02,360.0,360.0,355.1,355.1,394
BNALTD,2026-09-03,360.0,360.0,360.0,360.0,18
BNALTD,2026-09-04,360.0,360.0,360.0,360.0,64
