symbol,date,open,high,low,close,volume
BOROLTD,2025-07-24,338.0,344.0,335.25,339.5,109787
BOROLTD,2025-07-25,339.3,340.2,328.0,330.0,89292
BOROLTD,2025-07-28,328.3,332.75,325.9,326.6,35823
BOROLTD,2025-07-29,327.15,334.15,323.15,332.35,39329
BOROLTD,2025-07-30,329.05,334.1,327.8,331.0,27508
BOROLTD,2025-07-31,327.0,336.4,326.1,330.3,36082
BOROLTD,2025-08-01,330.1,331.5,322.0,323.1,38706
BOROLTD,2025-08-04,323.2,329.55,320.1,321.65,40871
BOROLTD,2025-08-05,322.65,331.0,321.0,326.65,51095
BOROLTD,2025-08-06,326.6,333.75,322.55,332.65,170718
BOROLTD,2025-08-07,332.7,335.8,325.9,328.65,103234
BOROLTD,2025-08-08,328.65,331.3,322.2,323.8,44732
BOROLTD,2025-08-11,324.0,331.8,321.0,323.6,93437
BOROLTD,2025-08-12,327.9,340.0,323.65,333.9,91574
BOROLTD,2025-08-13,335.0,340.5,333.2,334.7,147860
BOROLTD,2025-08-14,335.4,341.0,326.1,332.05,57276
BOROLTD,2025-08-18,342.0,348.0,332.4,334.35,312181
BOROLTD,2025-08-19,334.95,345.0,324.8,341.05,270687
BOROLTD,2025-08-20,340.1,340.1,335.5,336.9,62006
BOROLTD,2025-08-21,337.9,339.85,335.7,337.25,41081
BOROLTD,2025-08-22,337.0,344.8,335.65,343.8,101973
BOROLTD,2025-08-25,341.1,344.85,331.6,334.3,59715
BOROLTD,2025-08-26,335.0,340.9,329.1,337.0,53205
BOROLTD,2025-08-28,330.0,341.0,328.55,331.6,70780
BOROLTD,2025-08-29,331.1,336.75,326.2,330.9,42144
BOROLTD,2025-09-01,331.0,341.55,329.2,339.25,72170
BOROLTD,2025-09-02,336.0,343.0,336.0,341.7,60850
BOROLTD,2025-09-03,340.05,346.0,337.95,345.25,69665
BOROLTD,2025-09-04,351.0,360.55,342.2,344.45,202782
BOROLTD,2025-09-05,344.95,348.05,341.2,343.55,29367
BOROLTD,2025-09-08,342.0,344.9,338.8,341.75,21046
BOROLTD,2025-09-09,342.75,345.4,339.0,344.35,32656
BOROLTD,2025-09-10,342.05,354.0,341.0,348.85,77490
BOROLTD,2025-09-11,349.1,353.65,344.3,351.2,88901
BOROLTD,2025-09-12,352.7,353.45,345.45,350.4,53477
BOROLTD,2025-09-15,351.4,351.55,345.9,348.75,35912
BOROLTD,2025-09-16,348.7,357.0,347.9,352.05,78902
BOROLTD,2025-09-17,353.5,355.0,342.95,347.05,141239
BOROLTD,2025-09-18,347.05,351.0,342.25,343.6,60593
BOROLTD,2025-09-19,342.1,344.9,340.1,341.75,52299
BOROLTD,2025-09-22,341.75,357.4,340.5,351.85,208104
BOROLTD,2025-09-23,352.95,375.95,352.95,373.6,1113635
BOROLTD,2025-09-24,380.0,397.95,367.2,371.45,1703477
BOROLTD,2025-09-25,368.85,376.0,363.35,367.15,167921
BOROLTD,2025-09-26,368.5,368.6,349.95,352.05,151003
BOROLTD,2025-09-29,352.6,356.3,332.55,340.55,435420
BOROLTD,2025-09-30,344.65,348.95,340.25,346.25,90191
BOROLTD,2025-10-01,349.0,357.9,343.95,349.85,237180
BOROLTD,2025-10-03,349.85,353.85,348.0,351.55,57923
BOROLTD,2025-10-06,351.55,354.35,344.5,345.95,64821
BOROLTD,2025-10-07,346.2,350.8,342.1,343.9,68169
BOROLTD,2025-10-08,343.1,350.0,337.9,348.75,77246
BOROLTD,2025-10-09,350.2,350.2,343.0,343.95,41651
BOROLTD,2025-10-10,346.1,351.15,342.1,343.95,54262
BOROLTD,2025-10-13,340.15,343.65,337.05,338.15,50572
BOROLTD,2025-10-14,339.15,342.7,335.05,336.1,87423
BOROLTD,2025-10-15,335.9,340.55,335.1,337.45,41122
BOROLTD,2025-10-16,336.8,348.5,336.8,342.45,105745
BOROLTD,2025-10-17,343.4,346.75,337.5,344.5,129819
BOROLTD,2025-10-20,348.0,348.95,342.5,344.25,36680
BOROLTD,2025-10-21,345.1,346.5,343.05,345.05,19961
BOROLTD,2025-10-23,345.7,349.0,342.2,344.55,65449
BOROLTD,2025-10-24,344.95,347.5,338.5,340.2,51174
BOROLTD,2025-10-27,339.7,342.75,338.0,338.95,34161
BOROLTD,2025-10-28,340.0,346.0,338.0,345.15,62509
BOROLTD,2025-10-29,345.95,347.0,337.7,345.25,78710
BOROLTD,2025-10-30,344.7,350.35,340.0,347.8,87307
BOROLTD,2025-10-31,348.0,348.0,342.0,342.5,46797
BOROLTD,2025-11-03,344.95,358.6,344.95,354.85,130084
BOROLTD,2025-11-04,352.9,363.4,349.1,352.6,139085
BOROLTD,2025-11-06,350.85,351.0,335.45,336.6,116487
BOROLTD,2025-11-07,336.0,356.6,333.0,339.2,430589
BOROLTD,2025-11-10,335.0,346.4,332.0,344.0,153597
BOROLTD,2025-11-11,342.2,349.8,337.35,338.8,122138
BOROLTD,2025-11-12,340.0,344.9,338.8,342.05,58619
BOROLTD,2025-11-13,341.15,342.3,335.05,337.1,42068
BOROLTD,2025-11-14,337.1,341.95,333.25,334.25,73036
BOROLTD,2025-11-17,335.35,338.45,332.0,333.0,51124
BOROLTD,2025-11-18,332.85,338.3,331.15,335.15,60573
BOROLTD,2025-11-19,334.1,335.1,327.1,328.95,53151
BOROLTD,2025-11-20,329.6,330.95,323.3,325.05,66598
BOROLTD,2025-11-21,325.05,331.0,318.9,329.2,97776
BOROLTD,2025-11-24,327.0,332.05,316.15,318.9,34002
BOROLTD,2025-11-25,320.5,326.0,318.1,323.85,49552
BOROLTD,2025-11-26,328.95,328.95,320.4,321.35,31312
BOROLTD,2025-11-27,322.95,326.0,317.5,320.7,41792
BOROLTD,2025-11-28,320.7,323.9,318.0,322.95,33936
BOROLTD,2025-12-01,321.5,327.95,314.6,316.9,73307
BOROLTD,2025-12-02,316.7,320.0,310.4,311.45,34951
BOROLTD,2025-12-03,311.45,313.95,306.0,307.4,28139
BOROLTD,2025-12-04,310.0,310.8,303.8,305.3,31832
BOROLTD,2025-12-05,304.7,313.5,303.05,310.4,39296
BOROLTD,2025-12-08,310.4,310.45,296.0,300.1,192301
BOROLTD,2025-12-09,299.8,310.0,292.25,307.0,55622
BOROLTD,2025-12-10,306.2,307.7,297.25,298.75,27380
BOROLTD,2025-12-11,296.6,302.85,295.0,299.4,29524
BOROLTD,2025-12-12,298.1,304.0,297.95,299.35,26133
BOROLTD,2025-12-15,299.35,300.1,295.6,297.0,29157
BOROLTD,2025-12-16,296.6,297.35,291.85,292.4,124708
BOROLTD,2025-12-17,295.3,303.0,288.0,299.75,100049
BOROLTD,2025-12-18,299.6,299.6,283.2,285.3,117961
BOROLTD,2025-12-19,287.9,288.0,283.1,286.4,60719
BOROLTD,2025-12-22,287.0,298.0,287.0,295.9,59496
BOROLTD,2025-12-23,294.7,297.95,289.55,293.5,72578
BOROLTD,2025-12-24,294.0,298.0,286.2,287.5,58225
BOROLTD,2025-12-26,288.2,288.4,282.75,283.55,52609
BOROLTD,2025-12-29,284.05,284.6,277.8,278.45,53862
BOROLTD,2025-12-30,278.6,283.0,276.05,277.9,68173
BOROLTD,2025-12-31,278.3,282.6,276.0,281.65,40456
BOROLTD,2026-01-01,282.25,283.35,273.35,276.6,71265
BOROLTD,2026-01-02,280.75,289.3,277.55,283.5,89615
BOROLTD,2026-01-05,283.5,284.8,278.8,280.85,44737
BOROLTD,2026-01-06,280.15,281.7,276.35,278.0,34606
BOROLTD,2026-01-07,277.9,295.85,276.0,286.95,333805
BOROLTD,2026-01-08,293.0,294.75,282.5,284.3,55887
BOROLTD,2026-01-09,283.6,283.9,276.5,280.5,53739
BOROLTD,2026-01-12,280.5,281.25,271.0,279.15,54249
BOROLTD,2026-01-13,278.8,281.2,276.6,277.85,26111
BOROLTD,2026-01-14,277.85,278.9,275.0,276.25,25013
BOROLTD,2026-01-15,276.25,276.25,276.25,276.25,0
BOROLTD,2026-01-16,276.25,281.0,268.0,270.2,45549
BOROLTD,2026-01-19,269.75,269.8,260.0,261.4,39034
BOROLTD,2026-01-20,260.0,265.0,254.5,256.55,56338
BOROLTD,2026-01-21,253.9,258.0,247.8,252.1,77690
BOROLTD,2026-01-22,252.2,259.0,251.1,253.5,36197
BOROLTD,2026-01-23,254.0,255.75,245.1,247.0,47845
BOROLTD,2026-01-27,247.6,251.85,240.1,245.35,48402
BOROLTD,2026-01-28,247.2,250.6,243.0,244.15,92526
BOROLTD,2026-01-29,245.35,247.85,240.1,244.15,55874
BOROLTD,2026-01-30,243.0,253.1,240.6,250.7,64937
BOROLTD,2026-02-02,249.0,256.0,243.05,252.25,49912
BOROLTD,2026-02-03,259.0,273.9,254.25,265.0,124352
BOROLTD,2026-02-04,265.05,267.85,258.0,263.9,50867
BOROLTD,2026-02-05,267.4,267.4,254.95,257.95,143359
BOROLTD,2026-02-06,255.35,255.45,246.1,252.6,55676
BOROLTD,2026-02-09,253.1,262.8,247.0,248.8,189671
BOROLTD,2026-02-10,250.7,253.85,246.6,248.3,157174
BOROLTD,2026-02-11,249.3,250.0,244.2,247.2,86136
BOROLTD,2026-02-12,249.0,257.8,246.45,252.45,137400
BOROLTD,2026-02-13,251.8,254.45,246.05,253.35,141347
BOROLTD,2026-02-16,252.0,259.0,247.7,253.0,101415
BOROLTD,2026-02-17,251.0,260.2,250.85,257.85,83918
BOROLTD,2026-02-18,259.1,266.6,258.05,264.3,133214
BOROLTD,2026-02-19,264.3,264.3,255.1,257.4,51316
BOROLTD,2026-02-20,258.0,261.7,250.25,256.25,68723
BOROLTD,2026-02-23,254.05,259.0,248.0,249.5,65984
