symbol,date,open,high,low,close,volume
BRNL,2025-07-23,21.2,21.89,20.5,21.78,247344
BRNL,2025-07-24,22.29,22.29,20.5,21.12,324630
BRNL,2025-07-25,21.1,21.67,20.51,20.69,748217
BRNL,2025-07-28,21.15,21.46,20.5,20.55,289937
BRNL,2025-07-29,20.84,20.91,20.5,20.7,83747
BRNL,2025-07-30,20.8,21.0,20.7,20.78,69494
BRNL,2025-07-31,20.78,20.88,20.3,20.6,58103
BRNL,2025-08-01,20.71,20.98,20.4,20.55,36080
BRNL,2025-08-04,20.6,21.11,19.0,19.46,785923
BRNL,2025-08-05,19.87,20.1,19.47,19.69,552540
BRNL,2025-08-06,19.98,20.25,19.5,19.86,200342
BRNL,2025-08-07,19.86,19.99,19.35,19.72,101074
BRNL,2025-08-08,19.72,20.19,18.46,18.98,185321
BRNL,2025-08-11,19.39,19.57,17.4,17.84,376165
BRNL,2025-08-12,17.66,19.98,17.66,19.61,263789
BRNL,2025-08-13,19.61,19.61,18.0,18.49,232926
BRNL,2025-08-14,18.93,19.32,18.61,19.1,155806
BRNL,2025-08-18,19.85,19.85,18.91,19.05,82289
BRNL,2025-08-19,19.44,20.0,19.15,19.91,131107
BRNL,2025-08-20,20.21,22.24,19.74,21.63,397033
BRNL,2025-08-21,21.95,21.95,20.8,21.36,131775
BRNL,2025-08-22,21.16,21.31,20.85,21.01,63917
BRNL,2025-08-25,20.77,20.96,20.1,20.33,61355
BRNL,2025-08-26,20.65,20.67,20.16,20.2,36513
BRNL,2025-08-28,20.64,21.0,19.5,19.78,139680
BRNL,2025-08-29,19.78,20.73,18.66,19.08,167274
BRNL,2025-09-01,19.7,20.65,19.3,20.2,144592
BRNL,2025-09-02,20.75,20.75,19.65,20.01,100570
BRNL,2025-09-03,20.3,20.42,19.87,20.1,70389
BRNL,2025-09-04,20.35,20.76,20.02,20.37,65245
BRNL,2025-09-05,20.52,20.7,20.25,20.57,50406
BRNL,2025-09-08,20.68,20.98,20.2,20.34,80366
BRNL,2025-09-09,20.65,20.65,20.07,20.27,35513
BRNL,2025-09-10,20.27,20.62,20.27,20.45,48223
BRNL,2025-09-11,20.05,20.85,20.0,20.6,62876
BRNL,2025-09-12,20.79,20.94,20.5,20.58,49266
BRNL,2025-09-15,20.98,23.9,20.51,22.7,1001843
BRNL,2025-09-16,22.95,23.05,21.9,22.04,273890
BRNL,2025-09-17,22.59,23.0,22.08,22.4,208692
BRNL,2025-09-18,22.4,22.6,21.59,21.94,151745
BRNL,2025-09-19,21.94,22.9,21.81,22.58,175891
BRNL,2025-09-22,22.7,23.69,21.5,21.6,555504
BRNL,2025-09-23,21.7,21.99,21.15,21.72,146790
