symbol,date,open,high,low,close,volume
BSOFT,2002-07-01,5.43,5.43,5.2963,5.346,247747
BSOFT,2002-07-02,5.3212,5.4548,5.1937,5.346,296944
BSOFT,2002-07-03,5.3305,5.5885,5.3305,5.5294,648016
BSOFT,2002-07-04,5.6289,5.806,5.4548,5.4828,1194752
BSOFT,2002-07-05,5.5325,5.5574,5.3771,5.4268,412958
BSOFT,2002-07-08,5.5512,5.5791,5.3616,5.3771,373008
BSOFT,2002-07-09,5.3833,5.4113,5.2248,5.2528,285809
BSOFT,2002-07-10,5.2777,5.3305,4.914,4.9668,449069
BSOFT,2002-07-11,4.9762,4.9762,4.7368,4.8425,687693
BSOFT,2002-07-12,4.9575,4.9699,4.6653,4.799,492703
BSOFT,2002-07-15,4.8176,4.8176,4.5068,4.569,245090
BSOFT,2002-07-16,4.5379,4.8021,4.454,4.5286,443436
BSOFT,2002-07-17,4.513,4.6001,4.3203,4.3856,475863
BSOFT,2002-07-18,4.4447,4.6933,4.4447,4.6094,384076
BSOFT,2002-07-19,4.5068,4.5068,4.3545,4.426,298697
BSOFT,2002-07-22,4.3514,4.3514,3.9878,4.1059,387911
BSOFT,2002-07-23,4.0717,4.2582,3.3351,3.5619,1146289
BSOFT,2002-07-24,3.5433,3.8541,3.3755,3.5464,1536288
BSOFT,2002-07-25,3.792,3.8479,3.419,3.5153,935547
BSOFT,2002-07-26,3.419,3.419,3.1113,3.1952,603736
BSOFT,2002-07-29,3.2636,3.2636,2.8005,2.8813,671275
BSOFT,2002-07-30,3.046,3.046,2.499,2.558,765028
BSOFT,2002-07-31,2.4865,2.5176,2.1477,2.415,1362877
BSOFT,2002-08-01,2.5363,2.7041,2.3871,2.4896,1531018
BSOFT,2002-08-02,2.2379,2.701,2.2379,2.5704,1181039
BSOFT,2002-08-05,2.6326,2.7911,2.5891,2.6854,1208110
BSOFT,2002-08-06,2.6575,2.7632,2.5829,2.7321,671332
BSOFT,2002-08-07,2.8719,3.2791,2.7694,3.2791,2057323
BSOFT,2002-08-08,3.3102,3.5899,3.0957,3.1703,6607199
BSOFT,2002-08-09,3.2636,3.8044,3.1392,3.6272,5373112
BSOFT,2002-08-12,3.6521,3.8728,3.5122,3.6832,4752654
BSOFT,2002-08-13,3.6987,3.9909,3.6832,3.9349,3701138
BSOFT,2002-08-14,3.8852,3.9007,3.6583,3.736,5013288
BSOFT,2002-08-15,3.736,3.736,3.736,3.736,0
BSOFT,2002-08-16,3.8106,3.9784,3.7702,3.8697,4470455
BSOFT,2002-08-19,3.938,3.938,3.792,3.8759,2447393
BSOFT,2002-08-20,3.9225,4.1836,3.8634,4.0779,5038756
BSOFT,2002-08-21,4.1028,4.2084,3.9971,4.0655,3168547
BSOFT,2002-08-22,4.137,4.137,3.9349,3.9691,1665332
BSOFT,2002-08-23,3.9909,4.0655,3.8883,3.9474,2271778
BSOFT,2002-08-26,3.9784,4.1214,3.9163,3.966,1864119
BSOFT,2002-08-27,3.9971,4.0561,3.7329,3.7857,1352964
BSOFT,2002-08-28,3.8199,3.8199,3.649,3.736,1755649
BSOFT,2002-08-29,3.7298,3.8541,3.6832,3.7609,1408949
BSOFT,2002-08-30,3.7857,3.9629,3.7453,3.8883,2068378
BSOFT,2002-09-02,3.9629,4.0561,3.8852,3.9101,1299785
BSOFT,2002-09-03,3.9007,3.9318,3.7111,3.7453,697145
BSOFT,2002-09-04,3.6987,3.8821,3.5837,3.851,1274432
BSOFT,2002-09-05,3.9132,3.9847,3.7951,3.8479,1385295
BSOFT,2002-09-06,3.7764,3.8479,3.593,3.6334,813886
BSOFT,2002-09-09,3.6365,3.7298,3.5309,3.6148,608684
BSOFT,2002-09-10,3.6148,3.6148,3.6148,3.6148,0
BSOFT,2002-09-11,3.621,3.7857,3.6024,3.6738,896498
BSOFT,2002-09-12,3.7174,3.8572,3.6925,3.7671,1325256
BSOFT,2002-09-13,3.7609,3.7609,3.5992,3.6303,371383
BSOFT,2002-09-16,3.6365,3.6925,3.5495,3.5868,311808
BSOFT,2002-09-17,3.6334,4.3048,3.6055,4.2644,5561316
BSOFT,2002-09-18,4.2582,4.367,3.8417,3.9132,8071577
BSOFT,2002-09-19,4.0095,4.0375,3.6272,3.7174,4653593
BSOFT,2002-09-20,3.6676,4.2893,3.5495,4.196,12138614
BSOFT,2002-09-23,4.1649,4.6747,4.0126,4.5566,14757376
BSOFT,2002-09-24,4.2737,4.4664,4.2084,4.2799,15013102
BSOFT,2002-09-25,4.109,4.4291,4.109,4.367,8493698
BSOFT,2002-09-26,4.482,4.5379,4.4167,4.4416,3648284
BSOFT,2002-09-27,4.4913,4.9078,4.4478,4.8021,16790759
BSOFT,2002-09-30,4.7244,4.7835,4.482,4.5535,11209466
BSOFT,2002-10-01,4.4416,4.5939,4.081,4.2489,11872742
BSOFT,2002-10-02,4.2489,4.2489,4.2489,4.2489,0
BSOFT,2002-10-03,4.3701,4.513,4.2737,4.3266,7839227
BSOFT,2002-10-04,4.3545,4.5814,4.2986,4.4043,6703034
BSOFT,2002-10-07,4.3918,4.6622,4.3203,4.5721,6799615
BSOFT,2002-10-08,4.5099,4.827,4.4789,4.7431,7331972
BSOFT,2002-10-09,4.7648,4.8922,4.4664,4.5193,5854911
BSOFT,2002-10-10,4.3949,4.6249,4.3017,4.5783,7143471
BSOFT,2002-10-11,4.6778,5.029,4.6778,4.9482,9376687
BSOFT,2002-10-14,5.057,5.1129,4.8518,4.9855,8353933
BSOFT,2002-10-15,4.9855,4.9855,4.9855,4.9855,0
BSOFT,2002-10-16,5.0072,5.1813,4.9171,4.9575,8871844
BSOFT,2002-10-17,5.001,5.1098,4.9264,5.0414,5460935
BSOFT,2002-10-18,5.1968,5.1968,4.8581,4.9171,8742334
BSOFT,2002-10-21,4.9762,4.9762,4.6374,4.6902,5850021
BSOFT,2002-10-22,4.7058,4.7182,4.4198,4.4851,3664599
BSOFT,2002-10-23,4.4695,4.6405,4.3452,4.4944,5925976
BSOFT,2002-10-24,4.6001,4.6467,4.4478,4.5193,4305547
BSOFT,2002-10-25,4.4757,4.4975,4.2644,4.3483,3901948
BSOFT,2002-10-28,4.3918,4.4136,4.1432,4.1867,2744778
BSOFT,2002-10-29,4.168,4.569,4.1183,4.5224,5070505
BSOFT,2002-10-30,4.6001,4.7089,4.4882,4.5783,4921169
BSOFT,2002-10-31,4.6001,4.7866,4.5503,4.712,3659619
BSOFT,2002-11-01,4.7648,4.7648,4.4913,4.541,2510128
BSOFT,2002-11-04,4.5845,4.6312,4.541,4.5659,678607
