symbol,date,open,high,low,close,volume
BVCL,2025-07-22,45.43,48.49,44.11,47.95,369003
BVCL,2025-07-23,48.2,49.99,44.38,46.3,380159
BVCL,2025-07-24,46.02,48.99,45.22,46.01,77708
BVCL,2025-07-25,46.9,46.9,43.22,43.73,70964
BVCL,2025-07-28,44.99,45.59,41.91,42.14,46520
BVCL,2025-07-29,42.14,44.0,41.2,43.79,36139
BVCL,2025-07-30,45.54,45.54,43.25,44.01,31808
BVCL,2025-07-31,44.0,44.76,41.51,42.45,38009
BVCL,2025-08-01,42.05,44.99,39.15,40.82,79430
BVCL,2025-08-04,41.01,48.98,41.01,44.96,313602
BVCL,2025-08-05,45.9,46.8,43.5,44.31,94998
BVCL,2025-08-06,44.0,45.2,42.5,43.07,36135
BVCL,2025-08-07,43.28,44.15,41.3,42.41,61264
BVCL,2025-08-08,43.1,43.45,42.0,42.16,24572
BVCL,2025-08-11,42.8,43.76,40.6,41.28,46390
BVCL,2025-08-12,42.77,42.77,40.4,40.75,61066
BVCL,2025-08-13,41.25,46.95,41.2,45.98,476577
BVCL,2025-08-14,46.79,46.79,43.2,43.55,68253
BVCL,2025-08-18,44.26,44.79,41.5,42.34,66722
BVCL,2025-08-19,42.28,44.24,42.13,43.57,48111
BVCL,2025-08-20,43.51,44.67,43.35,43.59,20817
BVCL,2025-08-21,43.95,44.61,42.61,43.48,32407
BVCL,2025-08-22,43.93,44.81,42.92,43.2,52554
BVCL,2025-08-25,44.4,44.4,41.5,42.66,25362
BVCL,2025-08-26,43.93,43.93,42.48,42.8,20111
BVCL,2025-08-28,42.06,43.79,40.4,40.69,60201
BVCL,2025-08-29,40.89,41.9,40.31,40.95,23968
BVCL,2025-09-01,40.27,46.0,40.27,43.57,134542
BVCL,2025-09-02,45.49,50.5,44.81,47.96,524973
BVCL,2025-09-03,48.47,49.36,47.12,47.39,137558
BVCL,2025-09-04,47.98,48.88,45.4,47.02,138261
BVCL,2025-09-05,46.99,56.42,46.0,56.42,762307
BVCL,2025-09-08,62.0,67.7,61.2,67.7,1822881
BVCL,2025-09-09,67.7,69.99,63.4,65.83,1100091
BVCL,2025-09-10,64.5,64.82,62.53,62.53,81556
BVCL,2025-09-11,59.4,59.4,59.4,59.4,20934
BVCL,2025-09-12,56.43,62.0,56.43,59.77,215125
BVCL,2025-09-15,58.0,59.0,56.78,56.78,50513
BVCL,2025-09-16,53.94,56.99,53.94,53.94,94823
BVCL,2025-09-17,52.1,54.4,51.5,53.62,58747
BVCL,2025-09-18,53.62,54.65,52.43,53.48,45065
BVCL,2025-09-19,52.5,53.7,51.53,52.01,42176
BVCL,2025-09-22,53.47,53.47,50.01,51.13,33303
BVCL,2025-09-23,50.95,53.59,49.31,52.33,49246
BVCL,2025-09-24,50.65,54.94,50.65,54.18,49483
BVCL,2025-09-25,55.99,56.51,53.6,54.26,62798
BVCL,2025-09-26,54.35,54.35,51.54,51.66,36871
BVCL,2025-09-29,51.63,51.63,49.6,49.91,22005
BVCL,2025-09-30,50.99,50.99,47.75,48.61,39111
BVCL,2025-10-01,47.8,49.25,47.0,48.3,30812
BVCL,2025-10-03,48.89,48.89,46.25,47.42,21057
BVCL,2025-10-06,46.2,47.5,45.75,46.15,22674
BVCL,2025-10-07,46.0,48.45,45.31,48.45,31508
BVCL,2025-10-08,50.78,50.78,48.6,49.05,29450
BVCL,2025-10-09,49.05,50.46,47.17,47.93,20312
BVCL,2025-10-10,46.73,50.32,46.55,50.32,35296
BVCL,2025-10-13,49.5,50.99,48.7,48.92,19357
BVCL,2025-10-14,48.0,49.0,46.65,47.28,10935
BVCL,2025-10-15,47.7,48.45,47.11,48.26,15547
BVCL,2025-10-16,48.26,49.25,47.9,48.1,16320
BVCL,2025-10-17,46.65,48.5,46.01,47.01,21646
BVCL,2025-10-20,47.0,47.01,46.1,46.38,6869
BVCL,2025-10-21,46.38,47.6,46.38,47.45,4435
BVCL,2025-10-23,48.6,48.6,46.41,46.83,7276
BVCL,2025-10-24,46.83,47.5,45.6,46.55,7387
BVCL,2025-10-27,46.55,47.9,46.0,46.5,8486
BVCL,2025-10-28,47.0,47.39,46.08,46.18,4738
BVCL,2025-10-29,46.99,46.99,45.75,46.31,32163
BVCL,2025-10-30,45.51,47.25,45.5,47.06,11443
BVCL,2025-10-31,47.49,47.69,46.5,47.15,9444
BVCL,2025-11-03,47.73,47.97,46.12,46.86,5820
BVCL,2025-11-04,46.86,47.8,46.26,46.73,3920
BVCL,2025-11-06,46.7,46.7,45.0,45.49,13913
BVCL,2025-11-07,46.4,47.0,45.0,46.31,13495
BVCL,2025-11-10,46.31,46.59,45.0,46.54,11829
BVCL,2025-11-11,46.6,46.8,45.26,45.93,18631
BVCL,2025-11-12,45.93,46.87,45.9,46.18,8704
BVCL,2025-11-13,47.39,47.39,45.4,45.67,8216
