symbol,date,open,high,low,close,volume
CEREBRAINT,2021-07-26,56.55,57.25,55.1,55.5,732565
CEREBRAINT,2021-07-27,56.1,57.65,55.25,56.4,1900033
CEREBRAINT,2021-07-28,56.6,57.4,55.25,55.55,464471
CEREBRAINT,2021-07-29,55.6,58.65,55.1,57.45,634806
CEREBRAINT,2021-07-30,58.5,61.7,58.3,60.95,1976810
CEREBRAINT,2021-08-02,62.0,63.9,60.55,60.8,2228656
CEREBRAINT,2021-08-03,61.1,61.65,60.0,60.1,364709
CEREBRAINT,2021-08-04,60.6,61.0,59.05,60.95,1178299
CEREBRAINT,2021-08-05,61.35,61.35,59.05,59.75,451888
CEREBRAINT,2021-08-06,59.55,62.45,59.15,60.4,813834
CEREBRAINT,2021-08-09,60.4,61.7,58.1,58.2,602853
CEREBRAINT,2021-08-10,58.55,59.0,55.75,56.3,389967
CEREBRAINT,2021-08-11,56.2,57.95,55.35,57.3,484996
CEREBRAINT,2021-08-12,57.5,59.8,56.2,56.7,765888
CEREBRAINT,2021-08-13,56.8,58.2,56.35,56.95,261492
CEREBRAINT,2021-08-16,57.75,58.15,55.5,55.95,305565
CEREBRAINT,2021-08-17,55.95,57.2,55.25,55.5,473914
CEREBRAINT,2021-08-18,55.8,56.05,54.45,55.2,340124
CEREBRAINT,2021-08-20,54.85,55.45,54.05,54.45,217266
CEREBRAINT,2021-08-23,55.7,55.7,52.75,52.9,451506
CEREBRAINT,2021-08-24,53.0,55.2,52.8,54.65,627138
CEREBRAINT,2021-08-25,54.75,55.0,54.05,54.75,380695
CEREBRAINT,2021-08-26,55.05,57.9,54.85,57.45,1135905
CEREBRAINT,2021-08-27,57.95,59.0,56.25,57.5,1973316
CEREBRAINT,2021-08-30,58.5,62.05,57.5,60.45,1308408
CEREBRAINT,2021-08-31,61.3,61.35,57.35,59.95,901015
CEREBRAINT,2021-09-01,59.9,60.6,57.6,57.95,232178
CEREBRAINT,2021-09-02,58.1,60.1,57.7,59.55,365646
CEREBRAINT,2021-09-03,59.85,60.6,58.5,59.8,376567
CEREBRAINT,2021-09-06,60.0,60.8,58.2,58.5,169648
CEREBRAINT,2021-09-07,58.95,59.75,57.3,57.95,266426
CEREBRAINT,2021-09-08,57.95,60.45,57.7,58.55,251537
CEREBRAINT,2021-09-09,58.8,58.95,57.6,58.15,177759
CEREBRAINT,2021-09-13,58.65,58.65,57.7,57.9,419068
CEREBRAINT,2021-09-14,58.6,58.6,56.8,57.2,202859
CEREBRAINT,2021-09-15,57.55,58.6,57.35,57.9,215920
CEREBRAINT,2021-09-16,58.55,59.1,57.7,58.1,323887
CEREBRAINT,2021-09-17,59.1,59.1,55.25,56.3,286610
CEREBRAINT,2021-09-20,56.25,57.8,56.0,56.5,226334
CEREBRAINT,2021-09-21,57.3,57.3,56.0,56.35,168127
CEREBRAINT,2021-09-22,57.0,57.0,56.3,56.55,64823
CEREBRAINT,2021-09-23,56.95,58.4,56.4,57.05,190634
CEREBRAINT,2021-09-24,57.6,57.6,56.15,56.4,222276
CEREBRAINT,2021-09-27,56.95,56.95,56.15,56.4,189631
CEREBRAINT,2021-09-28,57.0,57.35,56.1,56.2,214425
CEREBRAINT,2021-09-29,56.05,56.75,55.35,55.9,395478
CEREBRAINT,2021-09-30,56.4,56.4,54.2,54.55,292748
CEREBRAINT,2021-10-01,54.9,56.7,54.1,54.9,174552
CEREBRAINT,2021-10-04,55.9,56.4,54.95,55.6,119953
CEREBRAINT,2021-10-05,56.15,57.0,55.25,56.3,387041
CEREBRAINT,2021-10-06,57.15,57.15,54.65,55.05,190152
CEREBRAINT,2021-10-07,55.75,55.75,54.3,55.05,116208
CEREBRAINT,2021-10-08,55.2,55.8,55.0,55.3,71528
CEREBRAINT,2021-10-11,56.0,56.3,54.75,55.0,212244
CEREBRAINT,2021-10-12,55.1,55.25,54.25,54.85,122039
CEREBRAINT,2021-10-13,54.95,55.45,54.0,54.45,173520
CEREBRAINT,2021-10-14,54.9,54.9,53.95,54.6,199468
CEREBRAINT,2021-10-18,55.0,55.0,53.8,54.1,210925
CEREBRAINT,2021-10-19,54.25,54.7,53.0,53.55,286654
CEREBRAINT,2021-10-20,54.4,54.4,53.05,53.45,104494
CEREBRAINT,2021-10-21,53.3,56.4,53.25,55.0,267214
CEREBRAINT,2021-10-22,55.4,55.75,53.25,53.7,102244
CEREBRAINT,2021-10-25,54.5,54.5,51.0,52.3,264484
CEREBRAINT,2021-10-26,52.4,53.0,51.4,51.85,221962
CEREBRAINT,2021-10-27,53.0,54.35,52.0,52.5,171342
CEREBRAINT,2021-10-28,52.1,53.65,52.0,52.15,125402
CEREBRAINT,2021-10-29,52.3,54.9,52.0,54.05,119758
CEREBRAINT,2021-11-01,54.0,54.85,52.1,53.3,163221
CEREBRAINT,2021-11-02,53.0,55.0,52.85,53.9,235456
CEREBRAINT,2021-11-03,54.6,55.25,53.3,54.4,146955
CEREBRAINT,2021-11-04,55.0,58.4,53.75,57.35,286321
CEREBRAINT,2021-11-08,57.95,60.0,56.0,59.5,611231
CEREBRAINT,2021-11-09,60.35,67.25,59.55,66.55,2315439
CEREBRAINT,2021-11-10,67.55,69.8,66.5,66.95,1373211
CEREBRAINT,2021-11-11,67.05,70.45,63.3,69.5,1027904
