symbol,date,open,high,low,close,volume
CFEL,2026-08-19,31.63,31.63,30.05,30.5,10228
CFEL,2026-08-20,31.95,31.95,30.12,31.13,6062
CFEL,2026-08-21,30.35,31.65,30.21,30.24,10806
CFEL,2026-08-24,32.0,32.0,30.0,30.12,8461
CFEL,2026-08-25,31.0,31.6,30.01,30.06,6212
CFEL,2026-08-26,30.15,35.2,30.15,32.69,40133
CFEL,2026-08-27,32.8,33.12,31.52,31.63,13940
CFEL,2026-08-28,32.0,32.0,31.0,31.0,17757
CFEL,2026-08-31,30.8,32.0,28.16,29.41,20524
CFEL,2026-09-01,30.0,31.9,29.0,30.88,69410
CFEL,2026-09-02,31.9,32.75,31.0,31.8,18100
CFEL,2026-09-03,31.8,32.75,31.8,32.05,14389
CFEL,2026-09-04,32.1,32.67,31.41,32.48,14038
CFEL,2026-09-07,31.85,32.75,31.85,32.48,13840
CFEL,2026-09-08,31.56,32.75,31.5,32.21,6645
CFEL,2026-09-09,32.5,38.65,32.05,38.65,147540
CFEL,2026-09-10,43.0,46.38,40.32,44.92,1072863
CFEL,2026-09-11,42.66,49.41,42.0,49.3,493522
