symbol,date,open,high,low,close,volume
CHOICEIN,2025-07-23,766.5,768.95,745.15,761.3,1808094
CHOICEIN,2025-07-24,762.5,766.5,755.45,762.2,1400116
CHOICEIN,2025-07-25,761.85,761.85,749.0,752.1,431473
CHOICEIN,2025-07-28,751.9,753.75,731.05,736.8,505529
CHOICEIN,2025-07-29,735.5,742.35,719.95,739.8,813459
CHOICEIN,2025-07-30,741.65,745.45,735.4,744.15,338319
CHOICEIN,2025-07-31,740.5,784.5,737.45,762.2,1082664
CHOICEIN,2025-08-01,761.9,765.0,751.0,752.8,583249
CHOICEIN,2025-08-04,760.0,764.0,750.55,752.3,546712
CHOICEIN,2025-08-05,753.7,756.35,744.0,752.8,406365
CHOICEIN,2025-08-06,754.0,756.7,736.5,739.3,456810
CHOICEIN,2025-08-07,738.95,742.95,729.75,739.45,370292
CHOICEIN,2025-08-08,740.5,754.25,731.2,740.75,468063
CHOICEIN,2025-08-11,742.9,768.6,735.65,765.45,919601
CHOICEIN,2025-08-12,768.0,798.7,766.15,789.15,827808
CHOICEIN,2025-08-13,789.25,806.0,782.1,802.5,672418
CHOICEIN,2025-08-14,803.9,812.8,799.3,801.7,516766
CHOICEIN,2025-08-18,813.0,817.95,801.0,814.95,489311
CHOICEIN,2025-08-19,819.6,822.9,813.5,819.1,433765
CHOICEIN,2025-08-20,819.5,824.8,793.5,796.95,330073
CHOICEIN,2025-08-21,796.0,801.8,783.55,786.4,1322517
CHOICEIN,2025-08-22,787.8,809.4,784.1,803.25,461461
CHOICEIN,2025-08-25,807.7,814.55,799.0,804.35,219260
CHOICEIN,2025-08-26,804.5,810.15,792.5,802.75,396518
CHOICEIN,2025-08-28,804.8,806.0,792.15,796.75,268242
CHOICEIN,2025-08-29,800.0,804.4,789.2,796.0,900367
CHOICEIN,2025-09-01,799.95,806.7,790.15,792.3,370761
CHOICEIN,2025-09-02,794.6,799.7,784.15,786.3,325246
CHOICEIN,2025-09-03,786.7,795.45,780.15,783.6,380792
CHOICEIN,2025-09-04,783.95,790.0,776.5,780.75,527451
CHOICEIN,2025-09-05,782.8,791.45,781.6,786.6,940645
CHOICEIN,2025-09-08,789.4,795.8,780.25,783.1,242636
CHOICEIN,2025-09-09,784.95,790.0,771.0,781.3,436474
CHOICEIN,2025-09-10,784.0,793.0,782.0,786.65,778603
CHOICEIN,2025-09-11,788.4,819.4,786.65,816.1,625491
CHOICEIN,2025-09-12,819.7,826.45,813.05,817.45,496861
CHOICEIN,2025-09-15,817.9,829.75,815.9,822.1,428781
CHOICEIN,2025-09-16,824.45,830.0,820.7,825.0,562141
CHOICEIN,2025-09-17,826.4,827.85,819.0,823.7,276718
CHOICEIN,2025-09-18,825.7,828.0,818.15,820.25,279168
CHOICEIN,2025-09-19,820.0,825.8,808.0,809.65,400139
CHOICEIN,2025-09-22,810.9,818.45,803.15,805.85,290835
CHOICEIN,2025-09-23,807.8,818.0,803.45,815.85,299891
CHOICEIN,2025-09-24,815.85,832.0,810.05,826.3,420473
CHOICEIN,2025-09-25,827.9,836.8,807.9,820.2,433299
CHOICEIN,2025-09-26,819.9,821.8,795.45,804.45,365998
CHOICEIN,2025-09-29,806.9,813.7,778.6,788.6,1601130
CHOICEIN,2025-09-30,788.0,792.6,758.2,767.5,481476
CHOICEIN,2025-10-01,770.3,778.0,760.0,766.2,679077
CHOICEIN,2025-10-03,766.75,784.8,765.0,783.5,385106
CHOICEIN,2025-10-06,783.55,804.5,781.1,801.95,481131
CHOICEIN,2025-10-07,802.0,810.8,800.05,808.1,338295
CHOICEIN,2025-10-08,807.75,809.0,793.05,794.75,168626
CHOICEIN,2025-10-09,794.45,801.0,791.2,798.85,240379
CHOICEIN,2025-10-10,800.0,803.8,792.55,795.9,420582
CHOICEIN,2025-10-13,798.1,825.0,796.0,821.5,796265
CHOICEIN,2025-10-14,824.0,829.75,813.15,814.85,379597
CHOICEIN,2025-10-15,816.95,825.85,814.45,821.75,434247
CHOICEIN,2025-10-16,824.75,827.0,817.5,822.6,335647
CHOICEIN,2025-10-17,830.05,834.2,815.2,819.0,653629
CHOICEIN,2025-10-20,822.8,824.7,816.0,818.0,256716
CHOICEIN,2025-10-21,828.0,828.0,817.0,820.3,89444
CHOICEIN,2025-10-23,823.0,823.4,810.55,814.85,355384
CHOICEIN,2025-10-24,818.0,818.5,800.85,809.7,202020
CHOICEIN,2025-10-27,811.75,813.9,801.15,804.7,220429
CHOICEIN,2025-10-28,804.8,820.7,801.35,816.85,505028
CHOICEIN,2025-10-29,817.0,826.8,814.0,822.05,580376
CHOICEIN,2025-10-30,821.25,822.9,812.1,814.85,428418
CHOICEIN,2025-10-31,814.1,838.0,813.0,836.6,1302237
CHOICEIN,2025-11-03,837.8,841.0,825.15,830.55,411814
CHOICEIN,2025-11-04,832.8,834.9,805.0,809.0,322108
CHOICEIN,2025-11-06,811.0,811.0,793.2,798.85,346223
CHOICEIN,2025-11-07,801.15,806.45,790.2,802.3,257813
CHOICEIN,2025-11-10,802.9,805.85,791.8,794.6,203697
CHOICEIN,2025-11-11,794.05,804.9,782.6,794.0,243483
CHOICEIN,2025-11-12,796.0,797.15,785.15,787.6,225970
CHOICEIN,2025-11-13,790.0,794.95,783.0,784.5,293344
CHOICEIN,2025-11-14,784.5,788.0,777.2,784.85,255518
CHOICEIN,2025-11-17,784.85,796.0,783.7,789.55,294458
CHOICEIN,2025-11-18,788.9,795.0,781.0,783.9,221654
CHOICEIN,2025-11-19,800.0,806.0,790.1,799.75,630931
CHOICEIN,2025-11-20,804.0,804.85,791.25,795.0,285760
CHOICEIN,2025-11-21,793.7,793.7,777.65,779.65,216344
CHOICEIN,2025-11-24,780.0,785.0,775.05,782.95,434826
CHOICEIN,2025-11-25,782.85,785.85,778.0,780.25,194211
CHOICEIN,2025-11-26,780.05,814.9,780.05,811.05,628626
CHOICEIN,2025-11-27,813.85,820.0,807.0,813.3,713430
CHOICEIN,2025-11-28,812.5,824.0,798.7,806.45,1144687
