symbol,date,open,high,low,close,volume
CLEDUCATE,2025-07-22,95.9,96.85,92.51,93.35,40063
CLEDUCATE,2025-07-23,94.95,95.7,92.9,94.09,27844
CLEDUCATE,2025-07-24,94.99,94.99,90.22,92.16,29199
CLEDUCATE,2025-07-25,92.77,93.82,91.52,92.81,26124
CLEDUCATE,2025-07-28,91.54,92.57,88.0,89.13,40225
CLEDUCATE,2025-07-29,89.9,91.97,87.38,91.22,22916
CLEDUCATE,2025-07-30,90.08,92.4,90.08,90.98,15690
CLEDUCATE,2025-07-31,90.0,91.46,88.52,90.34,23718
CLEDUCATE,2025-08-01,90.34,92.6,88.0,89.16,34753
CLEDUCATE,2025-08-04,88.4,92.18,87.06,88.08,48027
CLEDUCATE,2025-08-05,88.08,88.68,85.12,85.61,25950
CLEDUCATE,2025-08-06,86.89,87.04,81.53,82.38,62156
CLEDUCATE,2025-08-07,82.12,82.8,80.04,81.48,32218
CLEDUCATE,2025-08-08,81.48,84.0,79.11,82.95,69269
CLEDUCATE,2025-08-11,84.5,99.54,84.5,99.54,543879
CLEDUCATE,2025-08-12,105.0,115.0,101.4,103.62,926847
CLEDUCATE,2025-08-13,103.05,105.41,99.62,103.91,169639
CLEDUCATE,2025-08-14,105.49,105.49,100.42,101.28,59775
CLEDUCATE,2025-08-18,102.99,107.9,102.5,105.98,150391
CLEDUCATE,2025-08-19,107.4,107.48,102.95,105.72,117851
CLEDUCATE,2025-08-20,105.72,117.9,105.55,108.84,521619
CLEDUCATE,2025-08-21,108.99,115.0,108.35,110.68,224449
CLEDUCATE,2025-08-22,110.89,120.8,110.82,116.26,462221
CLEDUCATE,2025-08-25,116.26,120.0,113.2,116.99,109431
CLEDUCATE,2025-08-26,118.49,119.0,112.54,115.45,65578
CLEDUCATE,2025-08-28,114.1,117.97,113.2,114.1,65545
CLEDUCATE,2025-08-29,113.32,116.59,109.11,109.95,96830
CLEDUCATE,2025-09-01,110.0,115.0,109.99,114.31,80589
CLEDUCATE,2025-09-02,114.54,116.09,111.22,113.07,79311
CLEDUCATE,2025-09-03,113.2,114.67,111.78,112.38,37981
CLEDUCATE,2025-09-04,113.11,114.12,110.12,111.04,46158
CLEDUCATE,2025-09-05,111.48,113.46,109.53,111.94,72762
CLEDUCATE,2025-09-08,112.74,112.74,107.0,108.17,76587
CLEDUCATE,2025-09-09,108.99,109.48,103.76,104.42,28359
CLEDUCATE,2025-09-10,105.0,108.0,104.0,104.9,46990
CLEDUCATE,2025-09-11,104.9,106.48,102.1,105.84,21941
CLEDUCATE,2025-09-12,109.7,109.7,101.55,105.67,36642
CLEDUCATE,2025-09-15,102.15,105.67,100.38,102.07,122324
CLEDUCATE,2025-09-16,101.0,104.1,98.11,99.97,74453
CLEDUCATE,2025-09-17,100.99,101.63,99.0,99.5,31155
CLEDUCATE,2025-09-18,99.0,102.75,99.0,100.87,36546
CLEDUCATE,2025-09-19,102.48,104.0,100.0,102.49,47229
CLEDUCATE,2025-09-22,100.01,102.49,99.0,100.33,28718
CLEDUCATE,2025-09-23,100.83,101.9,98.0,98.42,23829
