symbol,date,open,high,low,close,volume
COCHINSHIP,2017-08-11,220.075,264.075,217.5,264.075,55234074
COCHINSHIP,2017-08-14,286.0,287.5,264.825,271.15,19202718
COCHINSHIP,2017-08-16,268.775,274.0,264.5,268.1,6482066
COCHINSHIP,2017-08-17,267.4,273.475,266.1,268.775,4330378
COCHINSHIP,2017-08-18,267.5,268.7,259.0,267.225,4786128
COCHINSHIP,2017-08-21,268.325,269.85,260.425,262.125,2221058
COCHINSHIP,2017-08-22,264.0,265.0,250.0,256.25,3039678
COCHINSHIP,2017-08-23,256.775,258.95,252.525,254.3,1933098
COCHINSHIP,2017-08-24,255.0,263.75,253.75,256.6,3302236
COCHINSHIP,2017-08-28,257.5,260.5,254.45,255.05,1072778
COCHINSHIP,2017-08-29,254.0,258.5,251.5,252.125,1629020
COCHINSHIP,2017-08-30,253.25,258.45,253.25,257.425,1702072
COCHINSHIP,2017-08-31,258.25,260.45,254.1,256.725,1344092
COCHINSHIP,2017-09-01,257.5,269.425,256.0,265.8,4028642
COCHINSHIP,2017-09-04,264.5,272.75,262.5,268.3,3053174
COCHINSHIP,2017-09-05,269.5,271.9,266.75,269.6,1289926
COCHINSHIP,2017-09-06,268.45,272.5,265.5,266.4,1477104
COCHINSHIP,2017-09-07,267.0,268.725,265.0,266.45,798722
COCHINSHIP,2017-09-08,267.3,280.55,265.525,274.45,5207140
COCHINSHIP,2017-09-11,275.875,286.475,272.0,281.1,5035072
COCHINSHIP,2017-09-12,289.375,289.9,278.025,279.3,3695900
COCHINSHIP,2017-09-13,279.225,279.225,271.1,272.0,1347888
COCHINSHIP,2017-09-14,272.725,274.925,270.275,271.125,947250
COCHINSHIP,2017-09-15,270.0,279.5,268.5,273.7,1875724
COCHINSHIP,2017-09-18,275.95,280.475,274.5,277.05,1631174
COCHINSHIP,2017-09-19,277.45,278.0,272.175,272.625,592010
COCHINSHIP,2017-09-20,273.0,277.425,272.5,272.775,696186
COCHINSHIP,2017-09-21,273.475,275.0,267.0,270.175,788864
COCHINSHIP,2017-09-22,269.55,269.55,264.275,266.425,983660
COCHINSHIP,2017-09-25,266.425,266.75,255.5,262.575,947950
COCHINSHIP,2017-09-26,262.5,267.25,260.25,263.775,413424
COCHINSHIP,2017-09-27,265.0,265.775,260.5,263.0,1612514
COCHINSHIP,2017-09-28,264.0,264.0,258.7,260.3,588352
COCHINSHIP,2017-09-29,261.95,265.8,259.075,260.0,575670
COCHINSHIP,2017-10-03,263.0,264.0,259.625,260.05,492208
COCHINSHIP,2017-10-04,261.0,264.45,259.6,260.05,1546774
COCHINSHIP,2017-10-05,260.85,263.0,258.925,259.275,596762
COCHINSHIP,2017-10-06,260.3,262.325,259.0,259.35,534704
COCHINSHIP,2017-10-09,260.0,262.425,257.5,258.05,598072
COCHINSHIP,2017-10-10,258.975,293.1,258.5,286.125,13293500
COCHINSHIP,2017-10-11,290.0,296.0,276.85,281.725,9364768
COCHINSHIP,2017-10-12,283.45,287.35,281.7,283.925,1850750
COCHINSHIP,2017-10-13,285.45,291.4,281.025,286.525,2495866
COCHINSHIP,2017-10-16,288.4,288.85,282.5,284.725,994242
COCHINSHIP,2017-10-17,284.95,288.175,281.5,283.95,1163282
COCHINSHIP,2017-10-18,284.2,287.95,280.025,283.6,961200
COCHINSHIP,2017-10-19,284.0,286.175,283.0,284.15,451546
COCHINSHIP,2017-10-23,284.5,287.5,283.0,285.1,749578
COCHINSHIP,2017-10-24,286.5,291.95,285.35,289.3,2145486
COCHINSHIP,2017-10-25,291.45,293.0,284.65,285.475,663624
COCHINSHIP,2017-10-26,286.2,287.075,283.05,283.575,565870
COCHINSHIP,2017-10-27,284.9,291.5,282.625,285.65,1117394
COCHINSHIP,2017-10-30,286.0,290.0,285.2,287.65,734030
COCHINSHIP,2017-10-31,289.0,298.9,286.525,289.85,2396434
COCHINSHIP,2017-11-01,291.0,293.5,287.75,289.15,696288
COCHINSHIP,2017-11-02,289.75,292.0,287.0,288.025,548482
COCHINSHIP,2017-11-03,288.85,290.0,287.0,287.5,403792
COCHINSHIP,2017-11-06,287.225,289.9,285.5,286.4,425756
COCHINSHIP,2017-11-07,288.25,288.25,281.55,283.725,753542
COCHINSHIP,2017-11-08,282.5,286.0,281.45,282.875,812048
COCHINSHIP,2017-11-09,282.575,285.35,281.05,281.55,640544
COCHINSHIP,2017-11-10,281.6,284.7,280.7,281.725,513604
COCHINSHIP,2017-11-13,280.0,280.0,273.0,274.825,717244
COCHINSHIP,2017-11-14,274.85,277.5,272.825,275.7,360230
COCHINSHIP,2017-11-15,276.975,276.975,270.5,270.925,332442
COCHINSHIP,2017-11-16,272.925,274.4,271.0,272.175,234832
COCHINSHIP,2017-11-17,273.4,281.5,273.4,277.125,551712
