symbol,date,open,high,low,close,volume
COUNCODOS,2025-07-22,6.88,6.88,6.61,6.74,19171
COUNCODOS,2025-07-23,6.7,6.79,6.61,6.7,71873
COUNCODOS,2025-07-24,6.7,6.84,6.65,6.7,17228
COUNCODOS,2025-07-25,6.83,6.88,6.7,6.8,46678
COUNCODOS,2025-07-28,6.9,6.95,6.62,6.82,24563
COUNCODOS,2025-07-29,6.65,6.85,6.51,6.82,34488
COUNCODOS,2025-07-30,6.88,6.88,6.75,6.76,17751
COUNCODOS,2025-07-31,6.76,6.85,6.63,6.75,40598
COUNCODOS,2025-08-01,6.85,6.85,6.64,6.79,34174
COUNCODOS,2025-08-04,6.51,7.34,6.51,6.79,78883
COUNCODOS,2025-08-05,6.79,6.97,6.72,6.93,26142
COUNCODOS,2025-08-06,7.01,7.24,6.91,6.94,88358
COUNCODOS,2025-08-07,6.97,7.14,6.8,6.83,48161
COUNCODOS,2025-08-08,6.82,6.98,6.6,6.71,40841
COUNCODOS,2025-08-11,6.42,6.88,6.42,6.75,24111
COUNCODOS,2025-08-12,6.89,6.89,6.65,6.69,21702
COUNCODOS,2025-08-13,6.7,6.82,6.45,6.55,33260
COUNCODOS,2025-08-14,6.38,6.85,6.05,6.31,110025
COUNCODOS,2025-08-18,6.18,6.38,6.08,6.15,31479
COUNCODOS,2025-08-19,6.15,6.48,6.01,6.39,99743
COUNCODOS,2025-08-20,6.33,6.4,6.1,6.27,81446
COUNCODOS,2025-08-21,6.3,6.74,6.25,6.56,80361
COUNCODOS,2025-08-22,6.56,6.85,6.42,6.66,13638
COUNCODOS,2025-08-25,6.66,6.98,6.31,6.65,42162
COUNCODOS,2025-08-26,6.68,6.7,6.54,6.63,28970
COUNCODOS,2025-08-28,6.51,6.76,6.51,6.64,6515
COUNCODOS,2025-08-29,6.7,6.8,6.41,6.46,21246
COUNCODOS,2025-09-01,6.49,6.74,6.47,6.52,10165
COUNCODOS,2025-09-02,6.49,7.17,6.45,7.13,245513
COUNCODOS,2025-09-03,7.34,7.49,7.05,7.38,162674
COUNCODOS,2025-09-04,7.85,8.11,7.7,8.11,413028
COUNCODOS,2025-09-05,8.49,8.89,8.02,8.22,869315
COUNCODOS,2025-09-08,8.23,8.49,7.8,7.8,306704
