symbol,date,open,high,low,close,volume
DAMODARIND,2016-07-04,37.95,37.95,34.0,36.5,3678
DAMODARIND,2016-07-05,37.2,37.2,35.0,36.975,2108
DAMODARIND,2016-07-07,36.975,36.975,36.9,36.9,468
DAMODARIND,2016-07-08,36.9,37.925,36.85,37.475,6582
DAMODARIND,2016-07-11,38.75,40.0,38.05,38.725,19422
DAMODARIND,2016-07-12,40.225,40.95,39.25,39.525,14102
DAMODARIND,2016-07-13,40.0,40.0,37.275,38.05,2220
DAMODARIND,2016-07-14,38.05,38.95,37.0,37.325,9056
DAMODARIND,2016-07-15,38.5,40.0,37.675,39.125,25830
DAMODARIND,2016-07-18,39.5,41.475,39.125,40.1,6408
DAMODARIND,2016-07-19,39.6,42.425,39.6,41.1,15800
DAMODARIND,2016-07-20,39.65,40.0,39.65,40.0,136
DAMODARIND,2016-07-21,41.7,41.7,41.675,41.675,300
DAMODARIND,2016-07-22,40.0,42.5,40.0,41.15,10248
DAMODARIND,2016-07-25,42.5,43.25,40.2,41.95,10178
DAMODARIND,2016-07-26,41.7,46.95,38.15,44.8,106358
DAMODARIND,2016-07-27,46.5,47.5,44.125,45.075,40634
DAMODARIND,2016-07-28,46.5,46.5,44.025,44.825,25804
DAMODARIND,2016-07-29,43.5,47.0,43.25,45.25,30882
DAMODARIND,2016-08-01,44.5,47.475,44.05,45.4,17258
DAMODARIND,2016-08-02,45.575,45.6,44.0,44.975,5266
DAMODARIND,2016-08-03,45.475,45.475,41.0,42.95,7484
DAMODARIND,2016-08-04,42.65,43.5,41.55,41.725,2680
DAMODARIND,2016-08-05,43.4,43.4,41.55,42.375,2512
DAMODARIND,2016-08-08,41.5,41.75,37.75,39.575,23734
DAMODARIND,2016-08-09,41.15,43.125,38.15,39.725,7654
DAMODARIND,2016-08-10,39.05,39.975,37.85,38.2,4980
DAMODARIND,2016-08-11,39.75,41.5,36.7,37.025,10412
DAMODARIND,2016-08-12,37.5,39.4,37.05,37.4,1660
DAMODARIND,2016-08-16,41.5,41.5,38.05,38.375,8246
DAMODARIND,2016-08-17,37.0,40.0,37.0,38.0,5324
DAMODARIND,2016-08-18,39.5,39.75,37.0,37.7,7930
DAMODARIND,2016-08-19,37.5,38.75,37.5,37.8,2984
DAMODARIND,2016-08-22,39.3,40.0,36.525,39.475,13120
DAMODARIND,2016-08-23,39.7,39.7,37.75,38.275,2716
DAMODARIND,2016-08-24,37.575,38.625,37.5,38.4,7232
DAMODARIND,2016-08-25,38.4,40.725,37.775,40.025,17046
DAMODARIND,2016-08-26,40.425,40.475,39.125,39.325,5972
DAMODARIND,2016-08-29,40.25,40.25,39.0,39.075,7614
DAMODARIND,2016-08-30,39.55,40.375,39.0,39.275,16062
DAMODARIND,2016-08-31,39.55,39.85,39.5,39.85,1800
DAMODARIND,2016-09-01,39.85,39.85,39.85,39.85,0
DAMODARIND,2016-09-02,38.5,39.5,38.5,38.725,2680
DAMODARIND,2016-09-06,39.4,39.4,37.525,37.575,11686
DAMODARIND,2016-09-07,37.25,38.725,37.25,37.725,14356
DAMODARIND,2016-09-08,39.25,40.75,37.525,38.65,4814
DAMODARIND,2016-09-09,39.0,39.4,37.75,38.5,1616
DAMODARIND,2016-09-12,37.75,39.375,37.525,38.0,766
DAMODARIND,2016-09-14,37.5,38.975,37.5,37.75,6086
DAMODARIND,2016-09-15,37.825,38.875,37.8,38.875,4396
DAMODARIND,2016-09-16,40.125,40.125,38.25,38.85,4112
