symbol,date,open,high,low,close,volume
DBL,2025-07-22,490.4,493.0,485.05,486.0,62101
DBL,2025-07-23,487.0,491.3,477.75,478.65,121897
DBL,2025-07-24,479.6,484.4,471.4,474.25,73189
DBL,2025-07-25,472.95,474.0,461.05,464.55,102622
DBL,2025-07-28,465.2,471.4,460.5,462.3,78621
DBL,2025-07-29,462.2,481.2,456.25,474.1,111799
DBL,2025-07-30,484.35,505.0,479.4,481.25,957112
DBL,2025-07-31,480.0,489.0,466.6,481.1,157652
DBL,2025-08-01,477.0,490.5,454.8,458.75,291566
DBL,2025-08-04,474.0,490.0,468.3,483.4,518085
DBL,2025-08-05,485.0,486.4,471.05,473.3,193396
DBL,2025-08-06,472.9,473.45,461.75,467.4,115384
DBL,2025-08-07,462.5,476.05,458.0,471.95,177472
DBL,2025-08-08,472.0,475.35,461.55,465.15,108575
DBL,2025-08-11,463.4,476.3,459.0,473.7,100058
DBL,2025-08-12,475.5,481.75,472.0,478.6,98206
DBL,2025-08-13,479.6,483.4,473.25,474.3,78139
DBL,2025-08-14,474.3,481.75,468.6,479.15,72811
DBL,2025-08-18,483.1,497.9,475.6,489.2,746736
DBL,2025-08-19,492.2,499.5,488.5,491.75,396614
DBL,2025-08-20,492.85,498.0,481.85,484.2,168020
DBL,2025-08-21,485.1,491.4,483.65,484.9,166459
DBL,2025-08-22,482.5,484.75,465.1,469.0,183164
DBL,2025-08-25,467.95,479.05,461.15,475.0,160474
DBL,2025-08-26,470.25,476.25,465.4,471.25,117798
DBL,2025-08-28,470.0,470.4,461.75,465.4,96354
DBL,2025-08-29,465.05,470.0,460.0,465.55,100379
DBL,2025-09-01,466.95,474.95,466.15,470.55,91415
DBL,2025-09-02,471.5,474.8,467.0,472.3,72773
DBL,2025-09-03,474.0,477.95,467.6,474.05,86314
DBL,2025-09-04,474.95,484.0,463.35,467.35,102859
DBL,2025-09-05,468.8,472.8,460.0,465.3,71763
DBL,2025-09-08,464.0,468.25,459.25,460.6,58013
DBL,2025-09-09,462.0,465.0,456.4,459.45,88707
DBL,2025-09-10,460.45,503.0,457.9,490.05,2143391
DBL,2025-09-11,490.05,525.75,488.6,520.6,2156375
DBL,2025-09-12,521.0,559.9,515.5,547.9,2170884
DBL,2025-09-15,549.0,567.0,541.15,560.75,780326
DBL,2025-09-16,557.9,570.0,555.15,567.1,485397
DBL,2025-09-17,565.95,579.0,563.0,575.45,535308
DBL,2025-09-18,575.45,581.5,564.0,573.5,445771
DBL,2025-09-19,573.4,578.75,564.15,565.8,310447
DBL,2025-09-22,565.0,578.9,555.1,559.45,307759
DBL,2025-09-23,560.45,562.7,543.0,555.15,240166
DBL,2025-09-24,580.1,585.0,525.5,534.4,2847014
DBL,2025-09-25,530.05,551.95,521.6,531.0,1153064
DBL,2025-09-26,530.95,530.95,505.1,508.95,380239
DBL,2025-09-29,503.05,509.95,488.1,491.1,466522
DBL,2025-09-30,491.95,496.5,470.0,472.7,414791
DBL,2025-10-01,475.05,500.0,473.55,495.85,524203
DBL,2025-10-03,497.95,508.0,492.45,504.2,295657
DBL,2025-10-06,502.9,516.65,496.05,514.9,344690
DBL,2025-10-07,524.0,538.2,512.5,516.05,1048327
DBL,2025-10-08,516.05,527.95,510.0,525.0,312745
DBL,2025-10-09,523.0,525.8,514.1,516.65,197818
DBL,2025-10-10,523.7,531.65,518.1,524.4,256217
DBL,2025-10-13,526.45,526.45,514.75,515.65,168170
DBL,2025-10-14,516.8,521.2,498.7,501.4,181534
DBL,2025-10-15,500.0,500.75,484.95,491.15,219159
DBL,2025-10-16,491.15,500.0,491.05,495.2,143476
DBL,2025-10-17,495.4,497.9,484.45,488.7,86145
DBL,2025-10-20,489.5,492.6,482.2,488.15,83642
DBL,2025-10-21,489.15,494.6,485.55,492.15,33902
DBL,2025-10-23,494.9,495.35,480.15,483.7,98233
DBL,2025-10-24,480.95,486.55,475.3,477.6,520327
DBL,2025-10-27,482.4,488.25,471.0,480.3,289220
DBL,2025-10-28,489.9,492.5,478.8,481.35,463651
DBL,2025-10-29,487.4,487.4,479.4,482.65,129294
DBL,2025-10-30,485.0,511.95,484.15,495.6,1271195
DBL,2025-10-31,496.4,501.15,490.25,495.15,194031
DBL,2025-11-03,495.0,501.1,487.1,499.1,224913
DBL,2025-11-04,502.2,528.25,499.2,511.7,897165
DBL,2025-11-06,509.95,511.8,472.5,476.45,347132
DBL,2025-11-07,472.55,483.0,466.3,479.85,344132
DBL,2025-11-10,482.0,482.9,475.0,477.35,127538
DBL,2025-11-11,479.95,479.95,465.0,471.75,174067
DBL,2025-11-12,472.7,481.1,472.1,475.5,102817
DBL,2025-11-13,475.5,480.0,471.55,475.1,197191
DBL,2025-11-14,470.0,474.2,462.15,465.95,348407
DBL,2025-11-17,467.2,468.75,451.0,456.2,417837
DBL,2025-11-18,458.5,458.5,445.0,450.0,180960
DBL,2025-11-19,450.0,450.0,428.55,431.9,308586
DBL,2025-11-20,431.95,439.9,430.05,437.15,208662
DBL,2025-11-21,437.35,438.0,427.0,430.0,166253
DBL,2025-11-24,430.0,449.2,425.15,442.8,796093
DBL,2025-11-25,446.0,485.9,446.0,468.4,6575156
DBL,2025-11-26,469.85,475.0,465.0,467.4,272086
DBL,2025-11-27,468.2,475.0,461.85,470.5,186281
