symbol,date,open,high,low,close,volume
DBSTOCKBRO,2025-07-22,28.92,29.19,28.0,28.76,9730
DBSTOCKBRO,2025-07-23,28.84,31.26,28.36,28.82,104657
DBSTOCKBRO,2025-07-24,28.5,29.58,28.3,29.0,40068
DBSTOCKBRO,2025-07-25,28.5,29.05,28.1,28.44,8035
DBSTOCKBRO,2025-07-28,29.01,29.48,27.9,27.96,10438
DBSTOCKBRO,2025-07-29,28.07,29.8,27.16,27.7,25133
DBSTOCKBRO,2025-07-30,27.5,28.98,27.5,27.85,12301
DBSTOCKBRO,2025-07-31,27.5,27.98,27.0,27.4,7673
DBSTOCKBRO,2025-08-01,27.97,30.88,26.6,28.09,1493703
DBSTOCKBRO,2025-08-04,27.9,28.45,25.55,27.08,307224
DBSTOCKBRO,2025-08-05,27.08,27.59,26.0,26.12,42724
DBSTOCKBRO,2025-08-06,26.57,27.99,25.52,26.05,33743
DBSTOCKBRO,2025-08-07,26.55,26.59,25.05,25.63,20846
DBSTOCKBRO,2025-08-08,25.63,26.4,24.95,25.17,23002
DBSTOCKBRO,2025-08-11,25.3,25.9,25.11,25.57,14294
DBSTOCKBRO,2025-08-12,25.2,26.9,25.2,26.15,16345
DBSTOCKBRO,2025-08-13,25.1,26.09,25.1,25.83,5883
DBSTOCKBRO,2025-08-14,25.7,25.7,24.95,25.29,7348
DBSTOCKBRO,2025-08-18,26.45,26.45,25.29,26.01,7390
DBSTOCKBRO,2025-08-19,26.65,26.65,25.8,25.91,8369
DBSTOCKBRO,2025-08-20,25.4,26.78,25.3,25.85,9686
DBSTOCKBRO,2025-08-21,26.3,26.5,25.55,26.04,11122
DBSTOCKBRO,2025-08-22,26.6,26.6,25.41,25.5,11067
DBSTOCKBRO,2025-08-25,26.5,26.5,25.23,25.66,5081
DBSTOCKBRO,2025-08-26,26.49,26.49,25.25,25.51,5292
DBSTOCKBRO,2025-08-28,26.0,26.5,25.21,26.23,4668
DBSTOCKBRO,2025-08-29,26.23,26.4,25.22,25.32,5481
DBSTOCKBRO,2025-09-01,25.33,26.74,25.32,25.81,4413
DBSTOCKBRO,2025-09-02,26.5,26.7,25.2,25.73,16997
DBSTOCKBRO,2025-09-03,25.31,26.41,25.31,26.11,21847
DBSTOCKBRO,2025-09-04,25.52,26.85,25.52,25.73,6385
DBSTOCKBRO,2025-09-05,26.7,26.7,25.41,25.66,4274
DBSTOCKBRO,2025-09-08,25.66,26.44,25.16,25.41,4252
DBSTOCKBRO,2025-09-09,25.51,29.78,25.51,26.08,195394
DBSTOCKBRO,2025-09-10,26.37,28.9,25.8,26.46,197494
DBSTOCKBRO,2025-09-11,26.78,26.99,25.58,25.75,30282
DBSTOCKBRO,2025-09-12,25.75,28.25,25.55,27.26,238385
DBSTOCKBRO,2025-09-15,29.79,30.77,26.55,26.88,962073
DBSTOCKBRO,2025-09-16,26.88,28.9,26.8,27.16,91771
DBSTOCKBRO,2025-09-17,27.51,28.39,27.11,27.36,69743
