symbol,date,open,high,low,close,volume
DCI,2020-01-10,22.6,22.675,22.6,22.65,54000
DCI,2020-01-13,22.65,22.65,22.625,22.625,60000
DCI,2020-01-14,22.625,22.75,22.6,22.725,210000
DCI,2020-01-15,22.725,22.725,22.725,22.725,0
DCI,2020-01-16,22.625,22.625,22.6,22.6,12000
DCI,2020-01-17,22.6,22.6,22.6,22.6,6000
DCI,2020-01-20,22.7,22.75,22.7,22.75,126000
DCI,2020-01-21,22.6,22.725,22.6,22.725,78000
DCI,2020-01-22,22.725,22.75,22.725,22.75,60000
DCI,2020-01-23,22.725,22.725,22.625,22.625,54000
DCI,2020-01-24,22.725,22.725,22.725,22.725,36000
DCI,2020-01-27,22.725,22.725,22.725,22.725,0
DCI,2020-01-28,22.625,22.65,22.6,22.6,24000
DCI,2020-01-29,22.6,22.6,22.6,22.6,0
DCI,2020-01-30,22.6,22.6,22.6,22.6,12000
DCI,2020-01-31,22.65,22.725,22.6,22.725,42000
DCI,2020-02-03,22.625,22.625,22.625,22.625,48000
DCI,2020-02-04,22.625,22.625,22.625,22.625,0
DCI,2020-02-05,22.6,22.6,22.6,22.6,30000
DCI,2020-02-06,22.625,22.625,22.625,22.625,12000
DCI,2020-02-07,22.625,22.625,22.6,22.6,12000
DCI,2020-02-10,22.6,22.6,22.6,22.6,0
DCI,2020-02-11,22.7,22.7,22.6,22.6,30000
DCI,2020-02-12,22.6,22.6,22.6,22.6,0
DCI,2020-02-13,22.7,22.7,22.6,22.6,24000
DCI,2020-02-14,22.6,22.6,22.6,22.6,0
DCI,2020-02-17,22.625,22.625,22.6,22.6,12000
DCI,2020-02-18,22.6,22.6,22.6,22.6,12000
DCI,2020-02-19,22.6,22.6,22.6,22.6,12000
DCI,2020-02-20,22.6,22.6,22.6,22.6,6000
DCI,2020-02-24,22.6,22.6,22.6,22.6,12000
DCI,2020-02-25,22.6,22.6,22.6,22.6,6000
DCI,2020-02-26,22.6,22.6,22.6,22.6,0
DCI,2020-02-27,22.6,22.6,22.6,22.6,0
DCI,2020-02-28,22.6,22.6,22.6,22.6,12000
DCI,2020-03-02,22.6,22.6,22.6,22.6,6000
DCI,2020-03-03,22.6,22.6,22.6,22.6,12000
DCI,2020-03-04,22.6,22.75,22.6,22.75,66000
DCI,2020-03-05,22.65,22.65,22.65,22.65,60000
DCI,2020-03-06,22.65,22.65,22.65,22.65,0
DCI,2020-03-09,22.6,22.6,22.6,22.6,6000
DCI,2020-03-11,22.6,22.6,22.6,22.6,6000
DCI,2020-03-12,22.6,22.6,22.6,22.6,0
DCI,2020-03-13,22.55,22.6,22.5,22.5,36000
DCI,2020-03-16,22.5,22.5,22.5,22.5,0
DCI,2020-03-17,22.6,22.65,22.6,22.65,66000
DCI,2020-03-18,22.65,22.65,22.65,22.65,0
DCI,2020-03-19,22.65,22.65,22.65,22.65,0
DCI,2020-03-20,22.65,22.65,22.65,22.65,0
DCI,2020-03-23,22.65,22.65,22.65,22.65,0
DCI,2020-03-24,22.65,22.65,22.65,22.65,0
DCI,2020-03-25,22.65,22.65,22.65,22.65,0
DCI,2020-03-26,22.65,22.65,22.65,22.65,0
DCI,2020-03-27,22.45,22.45,19.5,19.5,18000
DCI,2020-03-30,19.5,19.5,19.5,19.5,0
DCI,2020-03-31,19.5,19.5,19.5,19.5,0
DCI,2020-04-01,19.5,19.5,19.5,19.5,0
DCI,2020-04-03,19.5,19.5,19.5,19.5,0
DCI,2020-04-07,19.5,19.5,19.5,19.5,0
DCI,2020-04-08,19.5,19.5,19.5,19.5,0
DCI,2020-04-09,19.5,19.5,19.5,19.5,0
DCI,2020-04-13,19.5,19.5,19.5,19.5,0
DCI,2020-04-15,19.5,19.5,19.5,19.5,0
DCI,2020-04-16,19.5,19.5,19.5,19.5,0
DCI,2020-04-17,19.5,19.5,19.5,19.5,0
DCI,2020-04-20,19.5,19.5,19.5,19.5,0
DCI,2020-04-21,19.5,19.5,19.5,19.5,0
DCI,2020-04-22,19.5,19.5,19.5,19.5,0
DCI,2020-04-23,19.5,19.5,19.5,19.5,0
DCI,2020-04-24,19.5,19.5,19.5,19.5,0
DCI,2020-04-27,19.5,19.5,19.5,19.5,0
DCI,2020-04-28,19.5,19.5,19.5,19.5,0
DCI,2020-04-29,21.45,21.45,21.45,21.45,18000
DCI,2020-04-30,21.45,21.45,21.45,21.45,0
DCI,2020-05-04,21.45,21.45,21.45,21.45,0
DCI,2020-05-05,21.0,21.0,21.0,21.0,6000
DCI,2020-05-06,21.0,21.0,21.0,21.0,0
DCI,2020-05-07,21.0,21.0,21.0,21.0,0
DCI,2020-05-08,21.0,21.0,21.0,21.0,0
DCI,2020-05-11,21.0,21.0,21.0,21.0,0
DCI,2020-05-12,21.0,21.0,21.0,21.0,0
DCI,2020-05-13,21.0,21.0,21.0,21.0,0
DCI,2020-05-14,21.0,21.0,21.0,21.0,0
DCI,2020-05-15,21.0,21.0,21.0,21.0,0
DCI,2020-05-18,21.0,21.0,21.0,21.0,0
DCI,2020-05-19,21.0,21.0,21.0,21.0,0
DCI,2020-05-20,21.0,21.0,21.0,21.0,0
DCI,2020-05-21,21.0,21.0,21.0,21.0,0
DCI,2020-05-22,21.0,21.0,21.0,21.0,0
DCI,2020-05-26,21.0,21.0,21.0,21.0,0
DCI,2020-05-27,21.0,21.0,21.0,21.0,12000
DCI,2020-05-28,21.0,21.0,21.0,21.0,0
DCI,2020-05-29,21.0,21.0,21.0,21.0,0
DCI,2020-06-01,21.0,21.0,21.0,21.0,0
DCI,2020-06-02,21.5,21.5,21.5,21.5,12000
DCI,2020-06-03,21.5,21.5,21.5,21.5,0
DCI,2020-06-04,21.5,21.5,21.5,21.5,0
DCI,2020-06-05,21.95,21.95,21.95,21.95,12000
DCI,2020-06-08,21.95,21.95,21.95,21.95,0
DCI,2020-06-09,22.25,22.25,22.25,22.25,12000
DCI,2020-06-10,22.25,22.25,22.25,22.25,0
DCI,2020-06-11,22.25,22.25,22.25,22.25,0
DCI,2020-06-12,22.25,22.25,22.25,22.25,0
DCI,2020-06-15,22.25,22.25,22.25,22.25,0
DCI,2020-06-16,22.25,22.25,22.25,22.25,0
DCI,2020-06-17,22.25,22.25,22.25,22.25,0
DCI,2020-06-18,22.25,22.25,22.25,22.25,0
DCI,2020-06-19,22.25,22.25,22.25,22.25,0
DCI,2020-06-22,22.25,22.25,22.25,22.25,0
DCI,2020-06-23,22.25,22.25,22.25,22.25,0
DCI,2020-06-24,22.25,22.25,22.25,22.25,0
DCI,2020-06-25,22.25,22.25,22.25,22.25,0
DCI,2020-06-26,22.25,22.25,22.25,22.25,0
DCI,2020-06-29,20.75,20.75,20.75,20.75,6000
DCI,2020-06-30,20.75,20.75,20.75,20.75,0
DCI,2020-07-01,20.75,20.75,20.75,20.75,0
DCI,2020-07-02,20.75,20.75,20.75,20.75,0
DCI,2020-07-03,20.75,20.75,20.75,20.75,0
DCI,2020-07-06,20.75,20.75,20.75,20.75,0
DCI,2020-07-07,20.75,20.75,20.75,20.75,0
DCI,2020-07-08,20.75,20.75,20.75,20.75,0
DCI,2020-07-09,20.5,20.5,20.5,20.5,6000
DCI,2020-07-10,20.5,20.5,20.5,20.5,0
DCI,2020-07-13,20.5,20.5,20.5,20.5,0
DCI,2020-07-14,20.5,20.5,20.5,20.5,0
DCI,2020-07-15,20.5,20.5,20.5,20.5,0
DCI,2020-07-16,20.5,20.5,20.5,20.5,0
DCI,2020-07-17,20.5,20.5,20.5,20.5,0
DCI,2020-07-20,20.95,20.95,20.95,20.95,6000
DCI,2020-07-21,21.25,21.25,21.25,21.25,12000
DCI,2020-07-22,21.25,21.25,21.25,21.25,0
DCI,2020-07-23,21.8,21.8,21.8,21.8,12000
DCI,2020-07-24,21.8,21.8,21.8,21.8,0
DCI,2020-07-27,21.8,21.8,21.8,21.8,0
