symbol,date,open,high,low,close,volume
DEVIT,2025-07-23,47.888,48.108,46.248,46.428,145427
DEVIT,2025-07-24,46.8,47.64,45.96,46.108,114175
DEVIT,2025-07-25,46.8,47.16,44.496,45.764,136482
DEVIT,2025-07-28,47.6,47.636,45.636,45.816,140455
DEVIT,2025-07-29,45.816,45.816,44.792,45.076,99885
DEVIT,2025-07-30,45.34,46.0,44.804,45.128,69445
DEVIT,2025-07-31,44.22,45.128,44.004,44.684,61960
DEVIT,2025-08-01,44.72,45.592,43.8,44.008,107972
DEVIT,2025-08-04,44.24,45.196,43.92,44.756,59350
DEVIT,2025-08-05,44.4,45.36,44.4,44.712,58740
DEVIT,2025-08-06,46.268,46.268,44.0,44.368,56170
DEVIT,2025-08-07,44.4,44.8,43.212,43.524,107467
DEVIT,2025-08-08,45.196,45.196,43.26,43.724,83145
DEVIT,2025-08-11,44.68,44.68,43.604,43.852,99447
DEVIT,2025-08-12,43.86,44.768,43.612,43.704,100712
DEVIT,2025-08-13,44.396,45.956,43.972,44.528,270765
DEVIT,2025-08-14,44.86,44.896,43.94,44.08,78775
DEVIT,2025-08-18,45.58,45.992,44.676,45.28,104265
DEVIT,2025-08-19,45.956,46.076,44.8,45.72,129145
DEVIT,2025-08-20,46.2,47.48,45.8,47.12,296960
DEVIT,2025-08-21,47.12,50.89,47.12,48.41,372038
DEVIT,2025-08-22,47.8,48.18,44.5,44.75,231956
DEVIT,2025-08-25,44.85,45.99,43.06,43.17,90032
DEVIT,2025-08-26,43.5,43.5,41.15,41.58,52832
DEVIT,2025-08-28,41.58,47.99,41.5,44.9,994791
DEVIT,2025-08-29,44.85,46.95,43.61,43.93,177190
DEVIT,2025-09-01,43.93,44.65,43.0,43.32,74852
DEVIT,2025-09-02,43.0,45.38,43.0,43.51,125681
DEVIT,2025-09-03,43.68,47.3,43.15,45.27,381823
DEVIT,2025-09-04,45.85,46.74,44.91,45.22,117326
DEVIT,2025-09-05,45.4,45.43,43.38,43.76,100585
DEVIT,2025-09-08,44.45,44.71,42.7,42.92,107092
DEVIT,2025-09-09,43.7,45.49,42.96,44.28,126027
DEVIT,2025-09-10,45.0,45.51,42.15,43.48,148065
DEVIT,2025-09-11,44.0,44.56,42.65,43.31,57838
DEVIT,2025-09-12,44.49,44.49,42.55,43.0,82209
DEVIT,2025-09-15,44.0,44.0,42.62,42.85,52837
DEVIT,2025-09-16,43.5,45.0,42.91,43.94,80770
DEVIT,2025-09-17,43.65,44.75,43.13,43.36,76250
DEVIT,2025-09-18,43.49,44.75,42.9,43.17,60796
DEVIT,2025-09-19,43.17,44.3,42.8,43.1,70565
DEVIT,2025-09-22,43.09,43.9,42.3,42.48,92907
DEVIT,2025-09-23,42.48,42.8,41.4,41.71,47484
DEVIT,2025-09-24,42.0,42.19,40.4,40.78,87008
DEVIT,2025-09-25,40.5,42.51,40.5,41.43,87771
DEVIT,2025-09-26,41.0,41.0,40.0,40.43,84506
DEVIT,2025-09-29,41.2,42.5,40.11,40.5,34005
DEVIT,2025-09-30,41.26,41.32,40.0,40.11,70647
DEVIT,2025-10-01,40.02,42.24,40.02,40.56,47698
DEVIT,2025-10-03,40.56,40.99,40.21,40.48,57597
DEVIT,2025-10-06,40.4,40.6,40.1,40.18,40847
DEVIT,2025-10-07,40.02,42.4,40.02,40.93,60284
DEVIT,2025-10-08,41.94,41.94,40.0,40.11,49434
DEVIT,2025-10-09,40.57,41.78,39.82,40.92,97368
DEVIT,2025-10-10,40.92,41.25,40.31,40.54,24955
DEVIT,2025-10-13,39.61,40.5,39.6,40.03,30937
DEVIT,2025-10-14,39.67,40.05,39.12,39.45,32716
DEVIT,2025-10-15,39.87,40.38,38.45,38.73,139838
DEVIT,2025-10-16,38.55,39.64,38.1,38.26,90578
