symbol,date,open,high,low,close,volume
DHAMPURSUG,2025-07-24,146.98,148.87,144.66,147.28,105683
DHAMPURSUG,2025-07-25,146.0,147.0,144.5,145.44,76453
DHAMPURSUG,2025-07-28,144.0,145.03,139.1,139.95,111990
DHAMPURSUG,2025-07-29,138.71,142.59,138.7,141.89,76585
DHAMPURSUG,2025-07-30,141.98,144.81,141.02,141.62,113280
DHAMPURSUG,2025-07-31,139.3,141.22,139.3,139.62,56430
DHAMPURSUG,2025-08-01,139.01,140.91,137.1,138.14,71131
DHAMPURSUG,2025-08-04,137.45,140.9,137.0,139.56,53166
DHAMPURSUG,2025-08-05,138.3,142.0,138.3,141.05,52308
DHAMPURSUG,2025-08-06,140.8,141.39,136.1,137.3,79915
DHAMPURSUG,2025-08-07,137.21,137.89,135.06,137.14,52452
DHAMPURSUG,2025-08-08,136.35,137.83,135.12,135.82,87665
DHAMPURSUG,2025-08-11,134.1,135.0,132.35,133.72,121125
DHAMPURSUG,2025-08-12,133.01,135.62,130.6,130.96,117753
DHAMPURSUG,2025-08-13,131.0,131.91,130.31,131.14,66301
DHAMPURSUG,2025-08-14,131.78,131.8,128.91,129.75,103754
DHAMPURSUG,2025-08-18,130.29,131.58,128.25,129.95,123312
DHAMPURSUG,2025-08-19,129.5,132.5,129.5,131.93,114854
DHAMPURSUG,2025-08-20,131.1,134.0,131.1,132.95,123172
DHAMPURSUG,2025-08-21,133.0,135.48,132.1,132.89,110625
DHAMPURSUG,2025-08-22,132.0,133.39,130.0,130.3,102727
DHAMPURSUG,2025-08-25,130.0,130.79,128.5,128.98,107349
DHAMPURSUG,2025-08-26,128.1,129.66,127.25,127.79,105122
DHAMPURSUG,2025-08-28,127.0,127.34,121.68,124.22,179495
DHAMPURSUG,2025-08-29,124.1,125.99,123.26,123.99,67334
DHAMPURSUG,2025-09-01,123.3,126.0,123.3,125.82,92053
DHAMPURSUG,2025-09-02,134.99,144.0,133.0,138.95,4096168
DHAMPURSUG,2025-09-03,138.65,140.0,136.05,138.98,337626
DHAMPURSUG,2025-09-04,139.07,139.5,135.23,136.91,181590
DHAMPURSUG,2025-09-05,136.16,141.8,134.3,137.44,240899
DHAMPURSUG,2025-09-08,137.2,137.95,133.8,135.01,99085
DHAMPURSUG,2025-09-09,134.9,136.01,133.4,134.39,74950
DHAMPURSUG,2025-09-10,135.1,135.65,133.23,134.39,94269
DHAMPURSUG,2025-09-11,134.1,136.4,134.1,135.21,106137
DHAMPURSUG,2025-09-12,134.85,137.0,134.55,135.05,131400
DHAMPURSUG,2025-09-15,135.99,137.98,135.5,136.83,182176
DHAMPURSUG,2025-09-16,137.0,137.6,135.8,136.65,80626
DHAMPURSUG,2025-09-17,136.51,137.8,136.51,137.47,90401
DHAMPURSUG,2025-09-18,137.47,143.33,137.0,140.16,302869
DHAMPURSUG,2025-09-19,140.9,141.48,138.4,141.13,93686
DHAMPURSUG,2025-09-22,140.0,141.82,139.26,140.88,68964
DHAMPURSUG,2025-09-23,140.9,141.03,138.55,140.77,74142
DHAMPURSUG,2025-09-24,139.5,141.9,138.68,139.23,147371
DHAMPURSUG,2025-09-25,140.0,140.0,136.1,136.8,68975
DHAMPURSUG,2025-09-26,137.0,137.0,131.9,133.36,122118
DHAMPURSUG,2025-09-29,134.0,135.5,133.0,134.45,78970
DHAMPURSUG,2025-09-30,134.45,135.19,132.04,133.13,68405
DHAMPURSUG,2025-10-01,133.2,135.0,132.03,134.37,71536
DHAMPURSUG,2025-10-03,135.0,136.25,134.31,135.87,96154
DHAMPURSUG,2025-10-06,137.5,139.02,135.77,137.29,131597
DHAMPURSUG,2025-10-07,137.5,140.99,135.69,139.02,156318
DHAMPURSUG,2025-10-08,139.02,145.9,138.82,143.26,479090
DHAMPURSUG,2025-10-09,143.31,144.4,140.5,142.39,98897
DHAMPURSUG,2025-10-10,141.68,144.38,140.34,141.63,103810
DHAMPURSUG,2025-10-13,140.01,141.42,139.1,140.51,69568
DHAMPURSUG,2025-10-14,141.0,142.19,137.1,137.46,170798
DHAMPURSUG,2025-10-15,138.8,138.8,134.59,136.18,167077
DHAMPURSUG,2025-10-16,136.18,138.0,135.2,135.89,102419
DHAMPURSUG,2025-10-17,134.9,138.99,133.9,137.79,173059
DHAMPURSUG,2025-10-20,137.79,138.49,136.5,137.15,77058
DHAMPURSUG,2025-10-21,138.25,140.0,137.15,138.69,26051
DHAMPURSUG,2025-10-23,140.0,144.9,138.69,143.06,361132
DHAMPURSUG,2025-10-24,142.99,142.99,137.0,138.07,196326
DHAMPURSUG,2025-10-27,138.8,139.49,135.0,135.78,190325
DHAMPURSUG,2025-10-28,136.0,137.53,135.2,135.88,159738
DHAMPURSUG,2025-10-29,136.0,140.45,135.25,138.89,339780
DHAMPURSUG,2025-10-30,139.8,139.99,137.05,138.7,145232
DHAMPURSUG,2025-10-31,138.15,139.5,136.28,136.75,98930
DHAMPURSUG,2025-11-03,135.0,136.85,134.81,136.06,92748
DHAMPURSUG,2025-11-04,135.17,136.78,134.15,135.16,118764
DHAMPURSUG,2025-11-06,135.5,135.92,132.5,133.11,123683
DHAMPURSUG,2025-11-07,133.2,133.2,130.92,132.34,79271
DHAMPURSUG,2025-11-10,138.0,142.0,133.45,134.24,495247
DHAMPURSUG,2025-11-11,135.0,135.05,131.82,132.67,127056
DHAMPURSUG,2025-11-12,133.25,134.2,131.5,131.99,145597
DHAMPURSUG,2025-11-13,132.12,132.25,130.5,131.09,127119
DHAMPURSUG,2025-11-14,131.44,132.28,130.0,131.28,128872
DHAMPURSUG,2025-11-17,131.88,132.99,130.0,131.59,89838
DHAMPURSUG,2025-11-18,131.59,131.6,130.0,130.72,67738
DHAMPURSUG,2025-11-19,131.18,132.0,130.1,130.8,103122
DHAMPURSUG,2025-11-20,130.93,131.99,130.0,130.92,54959
DHAMPURSUG,2025-11-21,130.9,131.4,129.0,129.73,91620
DHAMPURSUG,2025-11-24,129.73,130.55,127.6,128.67,107180
DHAMPURSUG,2025-11-25,128.6,128.6,125.51,125.85,127577
DHAMPURSUG,2025-11-26,126.0,129.0,126.0,128.07,99968
DHAMPURSUG,2025-11-27,129.0,129.39,126.61,127.65,84213
DHAMPURSUG,2025-11-28,127.65,128.28,125.95,126.37,69596
DHAMPURSUG,2025-12-01,126.37,126.99,125.0,125.42,77179
DHAMPURSUG,2025-12-02,126.75,126.75,123.9,124.55,77657
DHAMPURSUG,2025-12-03,124.55,125.55,121.0,122.34,98707
DHAMPURSUG,2025-12-04,122.0,122.98,120.33,121.03,177027
DHAMPURSUG,2025-12-05,122.25,122.25,120.07,120.44,111814
DHAMPURSUG,2025-12-08,119.85,121.08,115.91,116.77,155554
DHAMPURSUG,2025-12-09,116.0,117.12,113.8,116.02,335806
DHAMPURSUG,2025-12-10,117.1,124.68,116.1,122.4,890721
DHAMPURSUG,2025-12-11,123.15,129.7,119.67,127.08,468191
DHAMPURSUG,2025-12-12,127.5,132.9,127.46,131.01,449750
DHAMPURSUG,2025-12-15,130.0,132.3,128.12,131.34,123807
DHAMPURSUG,2025-12-16,130.8,136.57,128.78,131.98,315149
