symbol,date,open,high,low,close,volume
DTL,2025-07-23,154.5,154.5,154.5,154.5,0
DTL,2025-07-24,155.0,155.0,153.0,153.8,6000
DTL,2025-07-25,145.05,146.0,144.1,145.95,19200
DTL,2025-07-28,156.2,156.2,145.0,145.0,2400
DTL,2025-07-29,140.1,144.5,130.0,137.9,4800
DTL,2025-07-30,141.45,145.0,138.0,144.1,19200
DTL,2025-07-31,144.1,144.1,144.1,144.1,0
DTL,2025-08-01,140.0,140.0,140.0,140.0,1200
DTL,2025-08-04,140.0,140.0,140.0,140.0,0
DTL,2025-08-05,144.0,144.0,144.0,144.0,1200
DTL,2025-08-06,144.0,144.0,144.0,144.0,0
DTL,2025-08-07,140.0,140.0,140.0,140.0,1200
DTL,2025-08-08,140.0,140.0,140.0,140.0,0
DTL,2025-08-11,154.5,154.5,140.0,140.0,2400
DTL,2025-08-12,138.0,138.0,138.0,138.0,1200
DTL,2025-08-13,139.0,140.0,135.0,135.0,15600
DTL,2025-08-14,135.0,135.0,135.0,135.0,1200
DTL,2025-08-18,144.95,145.0,144.95,145.0,4800
DTL,2025-08-19,147.5,147.5,147.5,147.5,1200
DTL,2025-08-20,151.5,151.5,138.0,138.0,4800
DTL,2025-08-21,138.0,138.0,138.0,138.0,0
DTL,2025-08-22,144.9,145.0,144.9,145.0,2400
DTL,2025-08-25,145.0,148.0,145.0,148.0,4800
DTL,2025-08-26,148.0,148.0,139.05,139.05,2400
DTL,2025-08-28,139.05,139.05,139.05,139.05,0
DTL,2025-08-29,149.5,149.5,148.45,148.5,6000
DTL,2025-09-01,133.0,148.5,133.0,148.5,6000
DTL,2025-09-02,148.45,148.45,148.45,148.45,1200
DTL,2025-09-03,139.5,139.5,130.0,132.6,42000
DTL,2025-09-04,133.0,136.95,132.7,135.0,16800
DTL,2025-09-05,135.0,135.0,135.0,135.0,0
DTL,2025-09-08,135.0,135.0,135.0,135.0,1200
DTL,2025-09-09,135.0,135.0,135.0,135.0,1200
DTL,2025-09-10,135.0,135.0,135.0,135.0,0
DTL,2025-09-11,135.0,135.0,135.0,135.0,0
DTL,2025-09-12,133.0,135.0,132.0,132.0,19200
DTL,2025-09-15,132.0,132.0,132.0,132.0,0
DTL,2025-09-16,128.0,130.0,128.0,130.0,3600
DTL,2025-09-17,132.0,132.0,129.5,129.5,4800
DTL,2025-09-18,130.0,133.0,130.0,132.9,9600
DTL,2025-09-19,132.0,135.0,132.0,135.0,9600
DTL,2025-09-22,135.0,135.0,135.0,135.0,6000
DTL,2025-09-23,132.0,132.0,128.0,128.65,12000
DTL,2025-09-24,130.0,133.0,128.1,128.1,13200
DTL,2025-09-25,130.0,130.0,128.0,130.0,6000
DTL,2025-09-26,130.8,131.5,125.0,125.0,14400
DTL,2025-09-29,144.5,144.5,130.0,131.0,3600
DTL,2025-09-30,131.0,131.0,131.0,131.0,0
DTL,2025-10-01,131.0,131.0,131.0,131.0,0
DTL,2025-10-03,134.0,143.5,132.65,140.0,13200
DTL,2025-10-06,140.0,140.0,134.0,135.75,6000
DTL,2025-10-07,140.0,155.0,138.0,151.75,62400
DTL,2025-10-08,149.9,154.0,149.0,153.15,18000
DTL,2025-10-09,154.9,159.0,154.7,156.4,16800
DTL,2025-10-10,160.0,160.0,155.3,155.3,4800
DTL,2025-10-13,153.75,160.0,153.75,159.95,13200
DTL,2025-10-14,155.1,159.95,155.1,159.95,2400
DTL,2025-10-15,160.0,166.0,160.0,165.75,9600
DTL,2025-10-16,163.0,165.75,161.0,165.75,6000
DTL,2025-10-17,174.0,176.0,165.75,167.0,14400
DTL,2025-10-20,170.0,170.0,164.0,167.95,10800
DTL,2025-10-21,169.0,169.0,169.0,169.0,1200
DTL,2025-10-23,170.0,175.8,167.0,167.0,26400
DTL,2025-10-24,165.0,165.0,164.0,164.0,3600
DTL,2025-10-27,166.0,166.0,163.0,165.0,10800
DTL,2025-10-28,163.0,163.0,163.0,163.0,1200
DTL,2025-10-29,163.0,163.0,163.0,163.0,0
DTL,2025-10-30,162.1,162.95,162.0,162.95,3600
DTL,2025-10-31,157.0,157.0,156.0,156.5,2400
DTL,2025-11-03,170.0,178.0,156.25,158.25,14400
DTL,2025-11-04,154.6,154.6,152.0,153.5,7200
DTL,2025-11-06,156.65,156.65,156.65,156.65,1200
DTL,2025-11-07,156.65,156.65,156.65,156.65,1200
DTL,2025-11-10,169.8,169.9,163.0,169.1,63600
DTL,2025-11-11,162.0,162.0,162.0,162.0,1200
DTL,2025-11-12,162.0,162.0,162.0,162.0,0
DTL,2025-11-13,163.95,164.0,160.4,160.4,4800
DTL,2025-11-14,160.0,162.4,160.0,161.9,9600
DTL,2025-11-17,159.5,159.5,157.4,157.4,7200
DTL,2025-11-18,165.95,167.4,165.95,167.4,3600
DTL,2025-11-19,157.6,160.0,155.0,160.0,8400
DTL,2025-11-20,160.0,160.0,160.0,160.0,3600
DTL,2025-11-21,154.4,155.3,154.4,154.4,6000
DTL,2025-11-24,150.4,150.4,150.4,150.4,1200
DTL,2025-11-25,150.0,150.0,150.0,150.0,10800
DTL,2025-11-26,151.0,151.0,150.0,150.0,2400
DTL,2025-11-27,153.0,153.0,153.0,153.0,1200
DTL,2025-11-28,153.0,153.0,153.0,153.0,9600
DTL,2025-12-01,153.0,153.0,153.0,153.0,0
DTL,2025-12-02,153.0,153.0,153.0,153.0,0
DTL,2025-12-03,153.0,153.0,153.0,153.0,0
DTL,2025-12-04,153.0,153.0,153.0,153.0,3600
DTL,2025-12-05,156.7,156.7,152.0,153.0,6000
DTL,2025-12-08,153.0,153.0,153.0,153.0,0
DTL,2025-12-09,153.0,153.0,153.0,153.0,0
DTL,2025-12-10,153.0,153.0,153.0,153.0,0
DTL,2025-12-11,153.0,153.0,153.0,153.0,0
DTL,2025-12-12,153.0,153.0,153.0,153.0,0
DTL,2025-12-15,153.0,153.0,153.0,153.0,0
DTL,2025-12-16,153.0,153.0,153.0,153.0,0
DTL,2025-12-17,153.0,153.0,153.0,153.0,0
DTL,2025-12-18,152.0,152.0,149.0,149.0,4800
DTL,2025-12-19,148.0,148.0,146.0,146.0,3600
DTL,2025-12-22,146.0,146.0,146.0,146.0,2400
DTL,2025-12-23,146.0,146.0,146.0,146.0,0
DTL,2025-12-24,146.0,146.0,146.0,146.0,0
DTL,2025-12-26,146.0,146.0,146.0,146.0,0
DTL,2025-12-29,146.0,146.0,146.0,146.0,1200
DTL,2025-12-30,146.0,146.0,146.0,146.0,0
DTL,2025-12-31,146.0,148.0,146.0,146.0,6000
DTL,2026-01-01,146.0,146.0,146.0,146.0,0
DTL,2026-01-02,146.0,146.0,146.0,146.0,0
DTL,2026-01-05,146.0,146.0,146.0,146.0,0
DTL,2026-01-06,146.0,146.0,146.0,146.0,0
DTL,2026-01-07,146.0,146.0,146.0,146.0,0
DTL,2026-01-08,146.0,146.0,146.0,146.0,0
DTL,2026-01-09,130.2,131.25,130.2,131.25,2400
DTL,2026-01-12,131.0,131.0,131.0,131.0,2400
DTL,2026-01-13,131.0,131.0,131.0,131.0,0
DTL,2026-01-14,132.0,132.0,132.0,132.0,2400
DTL,2026-01-16,130.0,130.0,130.0,130.0,1200
DTL,2026-01-19,130.0,130.0,130.0,130.0,0
DTL,2026-01-20,130.0,130.0,130.0,130.0,0
DTL,2026-01-21,130.0,130.0,130.0,130.0,0
DTL,2026-01-22,123.0,123.0,123.0,123.0,1200
DTL,2026-01-23,123.0,123.0,123.0,123.0,0
DTL,2026-01-27,128.0,128.5,128.0,128.5,3600
DTL,2026-01-28,125.5,125.5,125.5,125.5,1200
DTL,2026-01-29,125.5,125.5,125.5,125.5,0
DTL,2026-01-30,126.0,126.0,126.0,126.0,1200
DTL,2026-02-02,121.0,121.0,121.0,121.0,0
DTL,2026-02-03,121.0,121.0,121.0,121.0,0
DTL,2026-02-04,121.0,121.0,121.0,121.0,0
DTL,2026-02-05,125.0,128.0,125.0,128.0,3600
DTL,2026-02-06,128.0,128.0,128.0,128.0,1200
DTL,2026-02-09,128.0,128.0,128.0,128.0,0
DTL,2026-02-10,128.0,128.0,128.0,128.0,0
DTL,2026-02-11,128.0,128.0,128.0,128.0,0
DTL,2026-02-12,128.0,128.0,128.0,128.0,0
DTL,2026-02-13,118.4,118.4,118.4,118.4,1200
DTL,2026-02-16,120.0,120.5,120.0,120.15,3600
DTL,2026-02-17,120.15,120.15,120.15,120.15,0
DTL,2026-02-18,120.1,120.1,120.0,120.0,6000
DTL,2026-02-19,120.0,120.0,120.0,120.0,9600
DTL,2026-02-20,120.0,120.0,120.0,120.0,1200
DTL,2026-02-23,120.0,120.0,120.0,120.0,0
DTL,2026-02-24,115.0,115.0,108.4,108.4,10800
DTL,2026-02-25,108.4,108.4,108.4,108.4,0
DTL,2026-02-26,126.95,126.95,125.5,125.5,2400
DTL,2026-02-27,113.05,113.05,113.0,113.0,2400
DTL,2026-03-02,113.0,113.0,113.0,113.0,0
DTL,2026-03-04,110.0,110.0,110.0,110.0,32400
DTL,2026-03-05,110.0,110.0,110.0,110.0,0
DTL,2026-03-06,110.0,110.0,110.0,110.0,0
DTL,2026-03-09,100.0,102.0,96.2,100.0,9600
DTL,2026-03-10,93.5,100.0,93.5,100.0,4800
DTL,2026-03-11,93.1,93.1,93.1,93.1,1200
DTL,2026-03-12,97.0,98.0,96.0,97.0,7200
DTL,2026-03-13,92.0,98.0,92.0,98.0,12000
DTL,2026-03-16,98.05,113.65,98.05,107.0,4800
DTL,2026-03-17,107.0,107.0,107.0,107.0,0
DTL,2026-03-18,107.0,107.0,96.5,99.0,4800
DTL,2026-03-19,99.6,99.6,96.0,99.6,16800
DTL,2026-03-20,97.05,109.5,97.05,104.75,4800
DTL,2026-03-23,95.0,100.0,92.0,93.0,18000
DTL,2026-03-24,106.95,108.0,95.0,105.25,8400
DTL,2026-03-25,100.0,106.0,100.0,106.0,9600
DTL,2026-03-27,95.0,96.0,92.0,93.3,30000
DTL,2026-03-30,93.0,93.0,93.0,93.0,2400
DTL,2026-04-01,93.0,93.0,93.0,93.0,0
DTL,2026-04-02,93.0,93.0,93.0,93.0,0
DTL,2026-04-06,93.0,93.0,93.0,93.0,0
DTL,2026-04-07,82.05,111.5,82.05,111.5,3600
DTL,2026-04-08,111.5,111.5,111.5,111.5,0
DTL,2026-04-09,111.5,111.5,111.5,111.5,0
DTL,2026-04-10,111.5,111.5,111.5,111.5,0
DTL,2026-04-13,95.0,108.0,95.0,108.0,3600
DTL,2026-04-15,108.0,108.0,108.0,108.0,0
DTL,2026-04-16,108.0,108.0,108.0,108.0,0
DTL,2026-04-17,108.0,108.0,108.0,108.0,0
DTL,2026-04-20,108.0,108.0,108.0,108.0,0
DTL,2026-04-21,108.0,108.0,108.0,108.0,0
DTL,2026-04-22,108.0,108.0,108.0,108.0,0
DTL,2026-04-23,108.0,108.0,108.0,108.0,0
DTL,2026-04-24,108.0,108.0,108.0,108.0,0
DTL,2026-04-27,108.0,108.0,108.0,108.0,0
DTL,2026-04-28,115.0,115.0,115.0,115.0,1200
DTL,2026-04-29,115.0,115.0,115.0,115.0,0
DTL,2026-04-30,115.0,115.0,115.0,115.0,0
DTL,2026-05-01,115.0,115.0,115.0,115.0,0
DTL,2026-05-04,115.0,115.0,115.0,115.0,0
DTL,2026-05-05,115.0,115.0,115.0,115.0,0
DTL,2026-05-06,125.85,126.4,125.85,126.05,3600
DTL,2026-05-07,126.05,126.05,126.05,126.05,0
DTL,2026-05-08,124.0,124.0,124.0,124.0,1200
DTL,2026-05-11,124.0,124.0,124.0,124.0,0
DTL,2026-05-12,126.0,126.0,126.0,126.0,2400
DTL,2026-05-13,126.0,126.0,126.0,126.0,1200
DTL,2026-05-14,116.1,135.95,116.1,135.95,3600
DTL,2026-05-15,126.05,126.05,126.0,126.0,12000
DTL,2026-05-18,125.95,129.95,113.05,129.95,6000
DTL,2026-05-19,116.55,130.0,116.55,130.0,3600
DTL,2026-05-20,130.0,130.0,130.0,130.0,3600
DTL,2026-05-21,122.05,139.5,122.05,139.5,3600
DTL,2026-05-22,130.0,130.0,130.0,130.0,18000
DTL,2026-05-25,127.05,139.95,127.05,130.0,6000
DTL,2026-05-26,135.0,139.95,135.0,135.0,9600
DTL,2026-05-27,135.0,135.0,135.0,135.0,0
DTL,2026-05-28,135.0,135.0,135.0,135.0,0
DTL,2026-05-29,135.0,135.0,135.0,135.0,0
DTL,2026-06-01,135.0,135.0,135.0,135.0,0
DTL,2026-06-02,130.0,130.0,129.9,130.0,8400
DTL,2026-06-03,130.0,130.0,130.0,130.0,1200
