symbol,date,open,high,low,close,volume
E2E,2021-07-26,4.99,4.99,4.99,4.99,0
E2E,2021-07-27,4.95,4.95,4.745,4.745,100000
E2E,2021-07-28,4.745,4.745,4.745,4.745,0
E2E,2021-07-29,4.745,4.745,4.745,4.745,0
E2E,2021-07-30,4.9,4.98,4.9,4.98,80000
E2E,2021-08-02,4.905,4.905,4.9,4.9,40000
E2E,2021-08-03,4.7,4.7,4.7,4.7,20000
E2E,2021-08-04,4.7,4.7,4.7,4.7,0
E2E,2021-08-05,4.7,4.7,4.7,4.7,0
E2E,2021-08-06,4.7,4.7,4.7,4.7,0
E2E,2021-08-09,4.5,4.75,4.465,4.75,120000
E2E,2021-08-10,4.6,4.7,4.6,4.6,120000
E2E,2021-08-11,4.6,4.65,4.6,4.6,100000
E2E,2021-08-12,4.69,4.7,4.69,4.7,40000
E2E,2021-08-13,4.8,4.8,4.5,4.6,160000
E2E,2021-08-16,4.6,4.6,4.6,4.6,0
E2E,2021-08-17,4.6,4.6,4.6,4.6,60000
E2E,2021-08-18,4.695,4.7,4.695,4.7,60000
E2E,2021-08-20,4.505,4.675,4.5,4.6,120000
E2E,2021-08-23,4.5,4.6,4.375,4.6,140000
E2E,2021-08-24,4.6,4.6,4.6,4.6,40000
E2E,2021-08-25,4.6,4.6,4.6,4.6,40000
E2E,2021-08-26,4.8,4.83,4.79,4.805,220000
E2E,2021-08-27,4.8,4.8,4.61,4.635,100000
E2E,2021-08-30,4.85,4.865,4.85,4.86,60000
E2E,2021-08-31,4.995,5.1,4.8,5.005,520000
E2E,2021-09-01,5.2,5.245,4.96,4.96,80000
E2E,2021-09-02,4.96,4.96,4.96,4.96,0
E2E,2021-09-03,4.905,4.95,4.905,4.95,40000
E2E,2021-09-06,4.905,4.905,4.9,4.9,60000
E2E,2021-09-07,4.7,4.7,4.7,4.7,20000
E2E,2021-09-08,4.7,4.7,4.7,4.7,0
E2E,2021-09-09,4.8,4.8,4.6,4.6,120000
E2E,2021-09-13,4.5,4.5,4.375,4.375,80000
E2E,2021-09-14,4.495,4.55,4.495,4.55,120000
E2E,2021-09-15,4.52,4.52,4.5,4.51,40000
E2E,2021-09-16,4.51,4.51,4.51,4.51,0
E2E,2021-09-17,4.51,4.51,4.51,4.51,0
E2E,2021-09-20,4.59,4.6,4.59,4.6,40000
E2E,2021-09-21,4.6,4.6,4.6,4.6,0
E2E,2021-09-22,4.6,4.6,4.6,4.6,0
E2E,2021-09-23,4.6,4.6,4.6,4.6,0
E2E,2021-09-24,4.55,4.83,4.55,4.55,220000
E2E,2021-09-27,4.55,4.55,4.55,4.55,0
E2E,2021-09-28,4.51,4.51,4.4,4.4,60000
E2E,2021-09-29,4.4,4.4,4.25,4.25,40000
E2E,2021-09-30,4.25,4.25,4.25,4.25,0
E2E,2021-10-01,4.35,4.46,4.35,4.46,60000
E2E,2021-10-04,4.68,4.68,4.68,4.68,80000
E2E,2021-10-05,4.91,4.91,4.65,4.75,80000
E2E,2021-10-06,4.75,4.75,4.75,4.75,0
E2E,2021-10-07,4.7,4.7,4.52,4.53,60000
E2E,2021-10-08,4.755,4.755,4.755,4.755,100000
E2E,2021-10-11,4.94,4.99,4.94,4.99,180000
E2E,2021-10-12,5.23,5.235,5.2,5.235,240000
E2E,2021-10-13,5.495,5.495,5.2,5.2,280000
E2E,2021-10-14,5.21,5.46,5.2,5.215,200000
E2E,2021-10-18,5.45,5.475,5.2,5.475,300000
E2E,2021-10-19,5.53,5.535,5.21,5.4,180000
E2E,2021-10-20,5.25,5.3,5.13,5.13,120000
E2E,2021-10-21,5.195,5.195,4.875,4.925,180000
E2E,2021-10-22,5.095,5.1,5.095,5.1,60000
E2E,2021-10-25,5.1,5.1,5.1,5.1,0
E2E,2021-10-26,5.0,5.0,5.0,5.0,40000
E2E,2021-10-27,5.0,5.0,5.0,5.0,20000
E2E,2021-10-28,5.0,5.0,5.0,5.0,0
E2E,2021-10-29,5.0,5.0,5.0,5.0,0
E2E,2021-11-01,5.0,5.0,5.0,5.0,0
E2E,2021-11-02,4.8,4.8,4.8,4.8,40000
E2E,2021-11-03,4.8,4.8,4.8,4.8,0
E2E,2021-11-04,4.8,4.8,4.8,4.8,0
E2E,2021-11-08,4.995,5.04,4.805,4.95,380000
E2E,2021-11-09,4.95,4.95,4.95,4.95,40000
E2E,2021-11-10,4.95,5.195,4.95,5.08,60000
E2E,2021-11-11,5.08,5.08,5.08,5.08,0
E2E,2021-11-12,5.4,5.4,5.15,5.15,100000
E2E,2021-11-15,5.1,5.1,5.1,5.1,20000
E2E,2021-11-16,5.005,5.1,5.005,5.01,60000
E2E,2021-11-17,5.01,5.01,5.01,5.01,0
