symbol,date,open,high,low,close,volume
EICHERMOT,1996-01-01,3.6,3.6,3.6,3.6,22000
EICHERMOT,1996-01-02,3.6,3.64,3.6,3.61,31000
EICHERMOT,1996-01-03,3.65,3.65,3.65,3.65,11000
EICHERMOT,1996-01-04,3.6,3.65,3.6,3.65,16000
EICHERMOT,1996-01-05,3.65,3.65,3.54,3.6,6000
EICHERMOT,1996-01-08,3.65,3.65,3.45,3.47,17000
EICHERMOT,1996-01-09,3.2,3.29,3.2,3.29,3000
EICHERMOT,1996-01-10,3.05,3.4,3.05,3.35,21000
EICHERMOT,1996-01-11,3.395,3.4,3.33,3.35,14000
EICHERMOT,1996-01-12,3.35,3.35,3.33,3.34,24000
EICHERMOT,1996-01-15,3.25,3.3,3.245,3.3,9000
EICHERMOT,1996-01-16,3.26,3.3,3.26,3.3,5000
EICHERMOT,1996-01-17,3.375,3.425,3.255,3.255,14000
EICHERMOT,1996-01-18,3.3,3.3,3.025,3.05,13000
EICHERMOT,1996-01-19,2.75,3.04,2.75,2.8,167000
EICHERMOT,1996-01-22,2.835,3.0,2.83,2.83,30000
EICHERMOT,1996-01-23,2.63,3.0,2.63,2.925,33000
EICHERMOT,1996-01-24,3.0,3.0,2.91,2.91,9000
EICHERMOT,1996-01-25,3.2,3.2,2.995,3.02,13000
EICHERMOT,1996-01-26,3.02,3.02,3.02,3.02,0
EICHERMOT,1996-01-29,3.0,3.01,3.0,3.0,10000
EICHERMOT,1996-01-30,3.0,3.1,3.0,3.005,27000
EICHERMOT,1996-01-31,3.005,3.265,3.005,3.265,10000
EICHERMOT,1996-02-01,3.265,3.245,3.11,3.11,19000
EICHERMOT,1996-02-02,3.25,3.295,3.24,3.295,29000
EICHERMOT,1996-02-05,3.295,3.615,3.5,3.55,41000
EICHERMOT,1996-02-06,3.55,3.75,3.45,3.62,53000
EICHERMOT,1996-02-07,3.62,3.625,3.55,3.605,30000
EICHERMOT,1996-02-08,3.65,3.75,3.6,3.745,45000
EICHERMOT,1996-02-09,3.745,4.1,3.9,4.025,45000
EICHERMOT,1996-02-12,4.025,4.4,4.005,4.17,52000
EICHERMOT,1996-02-13,4.17,4.225,4.11,4.125,61000
EICHERMOT,1996-02-14,4.125,4.5,4.2,4.3,46000
EICHERMOT,1996-02-15,4.3,4.6,4.4,4.475,123000
EICHERMOT,1996-02-16,4.475,4.5,4.3,4.475,89000
EICHERMOT,1996-02-19,4.475,4.55,4.4,4.495,91000
EICHERMOT,1996-02-20,4.495,4.68,4.3,4.61,118000
EICHERMOT,1996-02-21,4.61,4.61,4.61,4.61,0
EICHERMOT,1996-02-22,4.61,5.07,4.255,5.0,110000
EICHERMOT,1996-02-23,5.0,5.0,4.71,4.825,127000
EICHERMOT,1996-02-26,4.795,4.965,4.75,4.9,208000
EICHERMOT,1996-02-27,4.9,5.3,4.725,4.995,238000
EICHERMOT,1996-02-28,5.25,5.25,4.86,4.98,169000
EICHERMOT,1996-02-29,4.98,4.9,4.725,4.86,213000
EICHERMOT,1996-03-01,4.86,4.9,4.7,4.77,112000
EICHERMOT,1996-03-04,4.77,4.795,4.655,4.715,106000
EICHERMOT,1996-03-05,4.715,4.715,4.715,4.715,0
EICHERMOT,1996-03-06,4.7,4.7,4.405,4.6,51000
EICHERMOT,1996-03-07,4.6,4.645,4.5,4.6,45000
EICHERMOT,1996-03-08,4.6,4.6,4.5,4.55,54000
EICHERMOT,1996-03-11,4.55,4.525,4.425,4.51,90000
EICHERMOT,1996-03-12,4.51,4.675,4.495,4.555,121000
EICHERMOT,1996-03-13,4.5,4.6,4.5,4.6,38000
EICHERMOT,1996-03-14,4.6,4.675,4.55,4.675,39000
