symbol,date,open,high,low,close,volume
EIEL,2025-07-24,278.79,284.18,274.91,276.01,4357365
EIEL,2025-07-25,282.0,286.25,263.5,264.86,8896171
EIEL,2025-07-28,264.99,271.33,257.75,260.76,3870908
EIEL,2025-07-29,259.3,261.35,256.0,257.65,2453972
EIEL,2025-07-30,258.8,262.7,253.25,256.0,2523257
EIEL,2025-07-31,252.0,258.9,248.11,252.89,2566164
EIEL,2025-08-01,253.45,257.7,245.0,245.8,2153649
EIEL,2025-08-04,245.8,254.0,243.95,253.15,2028800
EIEL,2025-08-05,255.1,259.0,250.55,252.05,2011920
EIEL,2025-08-06,251.2,252.7,243.05,246.15,1576345
EIEL,2025-08-07,247.75,262.0,247.05,260.05,7187975
EIEL,2025-08-08,261.3,261.8,255.35,257.55,2058097
EIEL,2025-08-11,259.95,265.0,233.3,244.75,6110420
EIEL,2025-08-12,245.0,251.6,240.9,242.2,3853393
EIEL,2025-08-13,244.95,255.0,241.45,251.05,3221600
EIEL,2025-08-14,252.8,254.5,248.3,251.05,1936786
EIEL,2025-08-18,256.05,259.8,253.1,256.85,1591181
EIEL,2025-08-19,257.85,262.4,257.0,259.15,1619270
EIEL,2025-08-20,259.8,260.5,254.6,255.55,1118831
EIEL,2025-08-21,256.0,263.35,254.0,259.75,1710361
EIEL,2025-08-22,261.0,274.0,260.95,268.25,8150505
EIEL,2025-08-25,270.35,271.0,263.35,265.4,1407922
EIEL,2025-08-26,264.9,264.9,254.3,255.75,1360340
EIEL,2025-08-28,253.15,254.0,248.55,251.2,1065355
EIEL,2025-08-29,251.0,254.7,248.65,249.6,1037265
EIEL,2025-09-01,251.4,253.69,247.68,249.92,1092584
EIEL,2025-09-02,252.0,258.48,251.2,252.07,1242943
EIEL,2025-09-03,253.0,255.59,251.5,252.0,801435
EIEL,2025-09-04,253.19,254.95,245.95,247.21,871519
EIEL,2025-09-05,247.21,249.39,243.02,244.91,1087989
EIEL,2025-09-08,245.89,248.8,242.0,242.58,1200435
EIEL,2025-09-09,244.06,245.51,238.0,238.88,1053254
EIEL,2025-09-10,240.55,254.65,240.55,248.68,2714613
EIEL,2025-09-11,248.7,249.62,245.5,246.49,651909
EIEL,2025-09-12,247.89,255.0,244.8,253.7,1771102
EIEL,2025-09-15,254.65,262.66,254.3,257.28,2103666
EIEL,2025-09-16,257.54,272.0,255.7,263.1,4284933
EIEL,2025-09-17,265.0,266.19,260.11,261.31,1350046
EIEL,2025-09-18,262.2,265.5,258.1,260.21,1641890
EIEL,2025-09-19,260.5,266.59,258.5,264.39,2056844
EIEL,2025-09-22,264.9,276.1,261.63,271.52,5939551
EIEL,2025-09-23,272.0,272.25,263.5,266.99,1969365
EIEL,2025-09-24,265.0,266.17,253.22,254.5,2007727
EIEL,2025-09-25,254.0,258.02,251.2,253.16,1066455
EIEL,2025-09-26,253.0,253.0,243.3,247.13,1069615
EIEL,2025-09-29,249.4,250.0,241.41,243.67,904739
EIEL,2025-09-30,243.8,245.98,241.0,243.12,685967
EIEL,2025-10-01,244.12,246.9,242.01,245.5,854748
EIEL,2025-10-03,246.34,255.21,244.78,254.04,1431852
EIEL,2025-10-06,254.04,254.3,248.17,248.89,673500
EIEL,2025-10-07,250.0,251.86,246.4,247.54,689466
EIEL,2025-10-08,246.1,249.43,243.73,246.0,639299
EIEL,2025-10-09,245.9,245.9,242.61,243.62,577709
EIEL,2025-10-10,243.89,249.48,243.7,248.82,704847
EIEL,2025-10-13,246.89,247.95,244.55,246.53,868213
EIEL,2025-10-14,247.0,247.82,238.51,241.26,1018420
EIEL,2025-10-15,242.0,246.25,242.0,244.63,770652
EIEL,2025-10-16,245.37,246.66,242.65,244.28,586894
EIEL,2025-10-17,243.0,243.69,239.41,241.48,684412
EIEL,2025-10-20,242.49,243.32,239.5,242.54,562920
EIEL,2025-10-21,245.0,246.73,244.0,245.41,241840
EIEL,2025-10-23,245.46,246.79,242.0,242.57,468258
EIEL,2025-10-24,242.5,247.4,241.35,244.98,808684
EIEL,2025-10-27,245.0,245.69,241.85,242.32,500461
EIEL,2025-10-28,242.25,244.0,239.54,239.96,528520
EIEL,2025-10-29,240.9,248.7,239.5,247.58,1590314
EIEL,2025-10-30,248.61,257.66,248.61,250.19,1796837
EIEL,2025-10-31,250.19,256.7,249.0,253.23,1227939
EIEL,2025-11-03,254.15,254.5,250.0,251.75,646888
EIEL,2025-11-04,252.85,254.45,247.5,251.7,1022131
EIEL,2025-11-06,247.0,250.45,237.0,238.9,1930543
EIEL,2025-11-07,237.65,237.65,227.15,228.9,2045009
EIEL,2025-11-10,229.45,232.35,226.4,229.5,898403
EIEL,2025-11-11,229.5,230.85,225.05,225.9,779960
EIEL,2025-11-12,226.5,231.65,226.3,228.7,722947
EIEL,2025-11-13,229.15,230.9,227.0,227.25,609331
EIEL,2025-11-14,226.0,228.45,225.2,225.75,558407
EIEL,2025-11-17,225.9,229.2,225.3,227.35,615610
EIEL,2025-11-18,229.1,229.1,222.2,223.35,590861
EIEL,2025-11-19,223.9,223.9,218.15,219.2,574102
EIEL,2025-11-20,219.0,221.5,217.5,218.2,470559
EIEL,2025-11-21,217.5,217.65,212.0,212.8,608830
EIEL,2025-11-24,213.0,214.5,207.5,208.95,548461
EIEL,2025-11-25,208.0,214.25,207.8,212.95,643265
EIEL,2025-11-26,213.8,217.15,212.55,216.35,502060
EIEL,2025-11-27,216.9,219.15,216.05,217.25,480460
EIEL,2025-11-28,215.8,218.45,214.1,217.15,351237
EIEL,2025-12-01,220.0,226.4,218.04,219.64,720144
EIEL,2025-12-02,218.99,218.99,213.3,214.1,459942
EIEL,2025-12-03,214.22,214.9,209.1,210.13,463713
EIEL,2025-12-04,209.0,210.0,207.15,208.52,348920
EIEL,2025-12-05,208.5,208.5,202.25,202.73,574631
EIEL,2025-12-08,202.6,205.0,193.02,195.43,972211
EIEL,2025-12-09,194.3,203.9,191.12,201.59,887571
EIEL,2025-12-10,203.4,203.4,197.05,197.95,475510
EIEL,2025-12-11,197.95,199.8,196.15,199.12,448708
EIEL,2025-12-12,200.0,203.22,198.61,200.71,446572
EIEL,2025-12-15,199.0,207.97,198.72,205.96,748281
EIEL,2025-12-16,205.0,205.1,200.28,201.3,310665
EIEL,2025-12-17,201.5,202.6,198.12,198.9,363594
EIEL,2025-12-18,198.25,200.8,195.78,198.84,376504
EIEL,2025-12-19,199.34,202.56,197.94,201.62,431301
EIEL,2025-12-22,201.65,209.7,201.65,205.35,518018
EIEL,2025-12-23,208.0,210.59,205.52,207.83,613394
EIEL,2025-12-24,208.0,211.39,204.55,205.38,371894
EIEL,2025-12-26,205.54,213.8,204.55,207.02,909227
EIEL,2025-12-29,207.02,208.98,203.0,203.44,436965
EIEL,2025-12-30,203.44,205.3,201.46,203.36,276188
EIEL,2025-12-31,203.5,206.6,203.5,205.91,316792
EIEL,2026-01-01,206.0,206.99,202.83,203.48,288522
EIEL,2026-01-02,203.48,207.71,202.31,206.75,414384
EIEL,2026-01-05,206.0,207.95,201.61,202.71,466052
EIEL,2026-01-06,202.71,203.85,200.1,200.86,303015
EIEL,2026-01-07,200.1,201.69,198.91,199.81,261947
EIEL,2026-01-08,199.99,200.0,193.21,193.89,567757
EIEL,2026-01-09,193.0,194.46,188.31,189.19,616609
EIEL,2026-01-12,188.0,188.0,181.11,185.04,818699
EIEL,2026-01-13,186.0,193.34,186.0,189.32,944633
EIEL,2026-01-14,190.5,190.5,186.54,187.16,318702
EIEL,2026-01-15,187.16,187.16,187.16,187.16,0
EIEL,2026-01-16,187.79,189.14,186.34,186.97,290869
EIEL,2026-01-19,186.21,186.51,182.0,182.67,383903
EIEL,2026-01-20,183.95,183.96,172.01,173.84,857662
EIEL,2026-01-21,172.01,175.37,166.28,167.79,967228
EIEL,2026-01-22,172.0,178.99,168.64,175.86,829760
EIEL,2026-01-23,177.6,177.66,169.0,170.75,423745
