symbol,date,open,high,low,close,volume
ELECON,2021-07-26,70.0,73.2,69.775,70.825,2020184
ELECON,2021-07-27,71.2,72.4,67.5,68.875,2719486
ELECON,2021-07-28,69.325,70.35,66.35,69.35,1803526
ELECON,2021-07-29,69.9,71.7,69.1,69.975,1538676
ELECON,2021-07-30,69.9,70.525,68.525,68.95,1173816
ELECON,2021-08-02,69.375,73.4,69.075,72.75,2796414
ELECON,2021-08-03,73.0,77.35,71.975,75.475,7111244
ELECON,2021-08-04,76.0,76.95,71.85,72.175,2996522
ELECON,2021-08-05,72.95,77.0,71.1,76.425,4109936
ELECON,2021-08-06,76.775,77.4,71.65,72.575,3628720
ELECON,2021-08-09,72.675,76.3,72.0,74.975,3003614
ELECON,2021-08-10,74.95,76.7,71.75,73.675,2622228
ELECON,2021-08-11,73.625,74.225,68.3,72.25,2568108
ELECON,2021-08-12,73.25,76.475,73.0,75.65,1688610
ELECON,2021-08-13,75.875,82.0,75.75,80.95,9201298
ELECON,2021-08-16,81.7,91.1,79.725,89.375,13531064
ELECON,2021-08-17,90.225,91.8,84.0,88.3,6199156
ELECON,2021-08-18,87.925,88.45,85.05,85.675,1808472
ELECON,2021-08-20,85.35,85.35,79.525,81.5,2544680
ELECON,2021-08-23,83.4,83.4,72.6,75.35,3904452
ELECON,2021-08-24,75.9,81.775,74.0,80.3,2620296
ELECON,2021-08-25,80.3,81.65,79.0,80.2,1577550
ELECON,2021-08-26,80.0,84.1,79.55,82.3,2441204
ELECON,2021-08-27,82.2,83.5,80.875,81.6,1135070
ELECON,2021-08-30,81.45,83.25,81.0,81.5,1094496
ELECON,2021-08-31,82.0,84.35,80.2,82.25,2173020
ELECON,2021-09-01,82.9,87.7,81.3,85.375,3110848
ELECON,2021-09-02,85.5,86.925,84.2,85.35,1772464
ELECON,2021-09-03,85.7,87.375,84.2,84.825,1396836
ELECON,2021-09-06,85.2,86.0,83.55,84.125,922194
ELECON,2021-09-07,84.5,87.35,82.4,84.875,1930768
ELECON,2021-09-08,85.35,93.0,84.15,90.2,5845508
ELECON,2021-09-09,90.15,91.475,87.775,88.85,1936646
ELECON,2021-09-13,88.85,90.75,87.5,88.275,1908852
ELECON,2021-09-14,88.775,89.525,87.0,88.025,1124198
ELECON,2021-09-15,88.725,89.475,85.85,86.6,911752
ELECON,2021-09-16,87.275,90.975,85.5,88.95,2538394
