symbol,date,open,high,low,close,volume
EMMBI,2025-07-22,108.94,110.79,108.83,109.51,23495
EMMBI,2025-07-23,109.96,117.0,108.75,112.44,80280
EMMBI,2025-07-24,112.0,116.3,111.78,114.74,50734
EMMBI,2025-07-25,116.24,116.24,112.15,113.13,17117
EMMBI,2025-07-28,113.12,113.51,109.3,109.73,21067
EMMBI,2025-07-29,110.11,110.98,108.99,110.26,16848
EMMBI,2025-07-30,110.83,111.99,109.51,110.2,12049
EMMBI,2025-07-31,108.8,110.69,108.8,109.14,12933
EMMBI,2025-08-01,109.03,111.38,108.0,109.68,20856
EMMBI,2025-08-04,109.1,110.3,108.05,108.33,9351
EMMBI,2025-08-05,109.02,109.71,108.0,108.48,7487
EMMBI,2025-08-06,108.77,108.99,103.2,104.31,28187
EMMBI,2025-08-07,102.6,103.99,101.1,101.84,27468
EMMBI,2025-08-08,102.62,107.6,102.62,103.54,22704
EMMBI,2025-08-11,102.79,104.38,101.78,103.52,12209
EMMBI,2025-08-12,103.52,105.55,102.05,103.61,4297
EMMBI,2025-08-13,101.6,103.32,100.72,101.89,30259
EMMBI,2025-08-14,101.2,102.95,100.0,100.77,8914
EMMBI,2025-08-18,101.0,102.9,100.83,101.52,7917
EMMBI,2025-08-19,102.38,106.5,101.84,105.19,17796
EMMBI,2025-08-20,106.5,108.0,105.0,105.83,8343
EMMBI,2025-08-21,106.5,106.5,104.62,105.65,10124
EMMBI,2025-08-22,104.64,105.58,101.37,102.7,9919
EMMBI,2025-08-25,103.41,103.51,99.82,101.08,14282
EMMBI,2025-08-26,101.74,101.74,99.1,99.77,7681
EMMBI,2025-08-28,99.2,111.16,97.3,100.65,143991
EMMBI,2025-08-29,102.65,104.98,100.4,101.49,20696
EMMBI,2025-09-01,101.49,105.0,101.49,104.4,23699
EMMBI,2025-09-02,106.5,106.5,102.15,103.6,15372
EMMBI,2025-09-03,104.0,105.79,103.67,103.97,15644
EMMBI,2025-09-04,104.81,105.89,102.25,103.03,10306
EMMBI,2025-09-05,103.63,104.25,103.54,103.54,5002
EMMBI,2025-09-08,103.5,104.4,103.5,103.54,18118
EMMBI,2025-09-09,103.93,104.76,102.38,104.14,13515
EMMBI,2025-09-10,104.01,108.73,103.7,104.59,33399
EMMBI,2025-09-11,105.49,105.59,104.25,104.83,8471
EMMBI,2025-09-12,104.89,105.58,104.5,105.06,7958
EMMBI,2025-09-15,105.0,106.98,104.99,105.62,21605
EMMBI,2025-09-16,106.99,107.0,105.28,106.62,11626
