symbol,date,open,high,low,close,volume
EQUITASBNK,2025-07-24,62.69,63.24,61.75,62.11,2749067
EQUITASBNK,2025-07-25,62.01,62.48,61.0,61.22,2161379
EQUITASBNK,2025-07-28,61.29,61.66,59.57,59.73,2537628
EQUITASBNK,2025-07-29,60.09,60.54,59.26,59.57,4109178
EQUITASBNK,2025-07-30,59.82,61.01,59.6,60.14,2733288
EQUITASBNK,2025-07-31,60.0,60.1,58.9,59.26,1827719
EQUITASBNK,2025-08-01,59.1,59.48,56.85,57.05,3337107
EQUITASBNK,2025-08-04,56.97,57.69,56.58,57.29,2580368
EQUITASBNK,2025-08-05,57.31,58.78,57.16,57.96,1155959
EQUITASBNK,2025-08-06,57.96,58.17,56.48,57.32,1852042
EQUITASBNK,2025-08-07,57.09,57.19,55.85,56.92,2085360
EQUITASBNK,2025-08-08,56.92,57.85,55.59,56.49,3604446
EQUITASBNK,2025-08-11,55.4,55.8,52.75,53.69,9247217
EQUITASBNK,2025-08-12,53.67,55.29,53.53,54.91,3845246
EQUITASBNK,2025-08-13,55.27,55.4,54.26,54.42,2423674
EQUITASBNK,2025-08-14,54.42,54.62,52.55,52.94,2768399
EQUITASBNK,2025-08-18,53.75,55.99,53.22,54.94,4686040
EQUITASBNK,2025-08-19,54.94,55.65,54.27,54.61,4280376
EQUITASBNK,2025-08-20,54.61,55.69,54.61,54.93,4011471
EQUITASBNK,2025-08-21,55.0,55.54,54.75,54.92,1586737
EQUITASBNK,2025-08-22,54.74,55.35,54.25,54.88,1786281
EQUITASBNK,2025-08-25,55.2,55.24,52.92,53.31,4766892
EQUITASBNK,2025-08-26,53.62,53.62,51.75,52.24,4444013
EQUITASBNK,2025-08-28,52.05,52.49,50.7,50.87,6275849
EQUITASBNK,2025-08-29,51.17,52.19,50.2,50.27,4205779
EQUITASBNK,2025-09-01,50.45,51.19,50.0,50.84,3623971
EQUITASBNK,2025-09-02,51.37,51.87,50.89,51.32,2972492
EQUITASBNK,2025-09-03,51.74,51.8,50.85,51.42,6446213
EQUITASBNK,2025-09-04,51.5,53.37,51.49,52.63,4407476
EQUITASBNK,2025-09-05,52.94,53.05,51.95,52.53,1585091
EQUITASBNK,2025-09-08,52.55,52.87,52.0,52.1,1209596
EQUITASBNK,2025-09-09,52.37,53.75,52.01,52.76,3015143
EQUITASBNK,2025-09-10,53.0,55.09,52.99,54.25,3726009
EQUITASBNK,2025-09-11,54.35,54.75,53.75,54.23,1819654
EQUITASBNK,2025-09-12,54.31,55.35,54.09,54.97,3040558
EQUITASBNK,2025-09-15,55.2,57.0,55.11,56.87,2882847
EQUITASBNK,2025-09-16,57.0,57.28,55.91,56.11,2017325
