symbol,date,open,high,low,close,volume
FEDFINA,2025-07-24,122.0,125.34,122.0,123.72,321658
FEDFINA,2025-07-25,129.5,132.01,124.58,126.18,3965943
FEDFINA,2025-07-28,127.0,127.5,122.01,123.36,868206
FEDFINA,2025-07-29,129.2,133.39,126.73,132.22,4857664
FEDFINA,2025-07-30,132.48,134.15,128.75,130.27,1597596
FEDFINA,2025-07-31,125.0,137.4,125.0,135.51,2395897
FEDFINA,2025-08-01,135.51,135.51,130.1,131.06,1109334
FEDFINA,2025-08-04,131.0,131.77,126.62,128.95,767675
FEDFINA,2025-08-05,128.89,130.57,125.2,126.86,839689
FEDFINA,2025-08-06,126.98,128.52,123.87,126.28,679568
FEDFINA,2025-08-07,126.3,128.87,125.68,127.42,492676
FEDFINA,2025-08-08,128.19,129.32,125.1,126.09,464830
FEDFINA,2025-08-11,126.0,130.1,122.7,129.32,656733
FEDFINA,2025-08-12,130.77,132.09,128.85,130.03,594566
FEDFINA,2025-08-13,130.0,131.34,127.69,128.65,461988
FEDFINA,2025-08-14,128.9,137.0,128.0,135.17,2301959
FEDFINA,2025-08-18,135.17,138.89,132.05,134.72,1718563
FEDFINA,2025-08-19,135.0,138.45,133.78,137.43,1243431
FEDFINA,2025-08-20,137.0,137.61,133.1,134.34,743133
FEDFINA,2025-08-21,135.8,138.8,134.29,137.29,669977
FEDFINA,2025-08-22,137.29,143.2,136.01,142.03,2322404
FEDFINA,2025-08-25,143.0,144.62,139.0,140.79,1360079
FEDFINA,2025-08-26,141.5,141.5,137.0,137.3,527502
FEDFINA,2025-08-28,138.4,138.4,133.31,134.92,966004
FEDFINA,2025-08-29,135.01,137.01,132.98,135.66,550923
FEDFINA,2025-09-01,136.99,138.5,135.66,138.0,430871
FEDFINA,2025-09-02,138.0,138.5,134.54,135.87,421419
FEDFINA,2025-09-03,135.0,141.2,135.0,140.02,1021275
FEDFINA,2025-09-04,142.2,142.2,137.4,138.51,403726
FEDFINA,2025-09-05,138.73,140.39,130.77,136.39,1042077
FEDFINA,2025-09-08,138.54,143.39,135.62,142.33,762287
FEDFINA,2025-09-09,143.2,144.5,138.45,143.04,1009675
FEDFINA,2025-09-10,145.0,145.0,139.99,141.16,735098
FEDFINA,2025-09-11,143.9,153.19,143.15,151.75,6073141
FEDFINA,2025-09-12,152.5,157.8,145.6,150.08,3396362
FEDFINA,2025-09-15,151.8,151.8,147.56,149.8,1480057
FEDFINA,2025-09-16,151.65,151.65,146.9,149.31,880579
FEDFINA,2025-09-17,149.26,150.22,147.2,147.75,753390
FEDFINA,2025-09-18,147.1,149.5,145.91,148.59,1007371
FEDFINA,2025-09-19,150.0,150.0,147.05,148.0,790036
FEDFINA,2025-09-22,151.69,155.5,148.51,152.38,3296394
FEDFINA,2025-09-23,153.0,156.14,151.06,154.21,1438222
FEDFINA,2025-09-24,152.0,154.1,149.38,151.18,762075
FEDFINA,2025-09-25,150.99,151.5,148.0,149.28,647756
FEDFINA,2025-09-26,148.0,150.94,146.44,148.64,1144730
FEDFINA,2025-09-29,147.35,154.0,144.05,152.68,1869936
FEDFINA,2025-09-30,153.17,157.25,151.1,154.42,1763628
FEDFINA,2025-10-01,155.2,155.89,150.47,153.17,1532847
FEDFINA,2025-10-03,155.79,155.79,152.93,154.99,802906
FEDFINA,2025-10-06,156.6,163.98,154.65,162.55,2989367
FEDFINA,2025-10-07,163.35,166.8,161.0,161.57,1187325
FEDFINA,2025-10-08,161.57,162.85,159.0,159.88,534464
FEDFINA,2025-10-09,160.0,161.0,157.87,158.38,439636
FEDFINA,2025-10-10,158.38,161.06,152.0,155.92,1436839
FEDFINA,2025-10-13,156.0,161.69,154.79,160.45,1420725
FEDFINA,2025-10-14,160.46,161.91,154.57,156.02,1549116
FEDFINA,2025-10-15,156.03,157.99,153.54,157.0,906147
FEDFINA,2025-10-16,158.9,158.9,147.5,150.65,2035289
FEDFINA,2025-10-17,151.99,154.38,148.02,149.94,1897768
FEDFINA,2025-10-20,154.0,154.0,144.01,146.42,3435878
FEDFINA,2025-10-21,151.0,154.0,149.35,151.85,612252
FEDFINA,2025-10-23,151.85,154.0,141.61,142.32,2771833
FEDFINA,2025-10-24,142.99,143.38,139.21,141.4,1059566
FEDFINA,2025-10-27,142.62,145.95,141.92,144.72,1066778
FEDFINA,2025-10-28,144.72,144.72,142.36,142.94,807862
FEDFINA,2025-10-29,142.25,144.97,142.12,142.92,629459
FEDFINA,2025-10-30,143.0,148.0,142.5,144.16,1179099
FEDFINA,2025-10-31,145.18,145.18,141.28,141.67,872814
FEDFINA,2025-11-03,144.5,147.0,141.7,145.76,1021442
FEDFINA,2025-11-04,146.3,146.94,142.25,143.09,489456
FEDFINA,2025-11-06,144.49,144.49,136.0,136.68,1388222
FEDFINA,2025-11-07,136.59,139.1,132.6,137.89,1011383
FEDFINA,2025-11-10,139.0,140.89,136.0,137.57,808748
FEDFINA,2025-11-11,139.4,139.4,134.5,137.19,499318
FEDFINA,2025-11-12,138.01,138.04,134.69,135.8,539153
FEDFINA,2025-11-13,135.32,138.46,135.32,137.42,408219
FEDFINA,2025-11-14,137.42,146.5,136.49,145.35,2142217
FEDFINA,2025-11-17,145.45,149.45,144.0,148.58,1272508
FEDFINA,2025-11-18,148.9,148.9,144.1,144.98,1658541
FEDFINA,2025-11-19,144.98,145.04,140.16,140.79,1592960
FEDFINA,2025-11-20,141.95,142.0,140.0,140.66,1492969
FEDFINA,2025-11-21,142.96,144.9,140.6,143.14,823888
FEDFINA,2025-11-24,143.86,143.9,141.63,143.34,880960
FEDFINA,2025-11-25,144.39,146.5,142.72,144.95,2879182
FEDFINA,2025-11-26,147.99,152.0,146.16,147.0,3027512
FEDFINA,2025-11-27,148.39,149.01,146.67,147.41,797830
FEDFINA,2025-11-28,148.29,148.78,144.41,146.76,959134
FEDFINA,2025-12-01,147.99,152.2,147.37,151.22,2808717
FEDFINA,2025-12-02,151.83,151.83,147.46,147.99,825487
FEDFINA,2025-12-03,146.5,147.17,142.5,143.49,1055222
FEDFINA,2025-12-04,144.26,144.26,141.63,142.28,391938
FEDFINA,2025-12-05,143.7,147.09,141.7,144.53,1079821
