symbol,date,open,high,low,close,volume
FINPIPE,2002-07-01,6.0,6.44,6.0,6.36,379205
FINPIPE,2002-07-02,6.38,6.52,6.31,6.33,335390
FINPIPE,2002-07-03,6.39,6.4,6.27,6.35,222225
FINPIPE,2002-07-04,6.22,6.75,6.22,6.51,549690
FINPIPE,2002-07-05,6.78,7.55,6.7,6.89,1128435
FINPIPE,2002-07-08,7.14,7.14,6.9,7.03,786105
FINPIPE,2002-07-09,6.8,6.9,6.55,6.62,434660
FINPIPE,2002-07-10,6.51,6.7,6.4,6.51,199800
FINPIPE,2002-07-11,6.5,6.5,6.2,6.22,171365
FINPIPE,2002-07-12,6.15,6.38,6.15,6.2,90610
FINPIPE,2002-07-15,6.2,6.2,6.01,6.1,109840
FINPIPE,2002-07-16,6.01,6.17,6.0,6.11,96400
FINPIPE,2002-07-17,6.12,6.15,5.9,5.94,118400
FINPIPE,2002-07-18,5.8,6.04,5.7,5.96,82365
FINPIPE,2002-07-19,5.8,6.05,5.8,6.0,56120
FINPIPE,2002-07-22,6.01,6.38,5.87,6.11,189285
FINPIPE,2002-07-23,6.03,6.2,6.03,6.07,96345
FINPIPE,2002-07-24,5.98,6.05,5.9,5.94,89435
FINPIPE,2002-07-25,6.05,6.36,5.85,6.21,220595
FINPIPE,2002-07-26,6.0,6.18,5.86,5.89,214105
FINPIPE,2002-07-29,6.38,6.4,6.06,6.26,504545
FINPIPE,2002-07-30,6.3,6.56,6.09,6.17,360690
FINPIPE,2002-07-31,6.04,6.24,6.04,6.18,159085
FINPIPE,2002-08-01,6.2,6.28,6.15,6.22,87155
FINPIPE,2002-08-02,6.11,6.24,6.11,6.2,134190
FINPIPE,2002-08-05,6.12,6.4,6.12,6.35,162155
FINPIPE,2002-08-06,6.29,6.4,6.22,6.37,97970
FINPIPE,2002-08-07,6.4,6.4,6.27,6.31,63290
FINPIPE,2002-08-08,6.24,6.35,6.16,6.23,101585
FINPIPE,2002-08-09,6.23,6.3,6.2,6.27,92500
FINPIPE,2002-08-12,6.8,6.8,6.23,6.3,82015
FINPIPE,2002-08-13,6.3,6.34,6.29,6.33,53520
FINPIPE,2002-08-14,6.29,6.43,6.27,6.39,127345
FINPIPE,2002-08-15,6.39,6.39,6.39,6.39,0
FINPIPE,2002-08-16,6.4,6.68,6.3,6.56,458780
FINPIPE,2002-08-19,6.8,6.8,6.5,6.53,147510
FINPIPE,2002-08-20,6.48,6.5,6.4,6.4,99475
FINPIPE,2002-08-21,6.4,6.4,6.31,6.34,69060
FINPIPE,2002-08-22,6.22,6.36,6.22,6.29,57810
FINPIPE,2002-08-23,6.26,6.35,6.24,6.25,68135
FINPIPE,2002-08-26,6.23,6.28,6.22,6.26,111880
FINPIPE,2002-08-27,6.29,6.3,6.24,6.24,84110
FINPIPE,2002-08-28,6.24,6.24,6.15,6.19,68065
FINPIPE,2002-08-29,6.13,6.18,6.06,6.07,79570
FINPIPE,2002-08-30,6.1,6.19,6.1,6.13,62575
FINPIPE,2002-09-02,6.2,6.24,6.12,6.15,103200
FINPIPE,2002-09-03,6.12,6.16,6.1,6.14,43255
FINPIPE,2002-09-04,6.08,6.16,6.08,6.14,52450
FINPIPE,2002-09-05,6.1,6.17,6.1,6.14,44400
