symbol,date,open,high,low,close,volume
GEOJITFSL,2021-07-26,93.0,93.9,91.9,92.4,606794
GEOJITFSL,2021-07-27,93.5,96.65,92.0,94.7,1625450
GEOJITFSL,2021-07-28,95.45,96.3,91.9,92.9,2214898
GEOJITFSL,2021-07-29,93.0,93.7,86.45,87.6,1453173
GEOJITFSL,2021-07-30,88.45,90.45,86.6,87.25,1163807
GEOJITFSL,2021-08-02,88.3,94.6,87.95,93.0,1872639
GEOJITFSL,2021-08-03,93.0,93.85,91.65,92.15,647729
GEOJITFSL,2021-08-04,92.35,94.0,90.0,90.2,507282
GEOJITFSL,2021-08-05,90.4,90.75,87.2,88.15,665874
GEOJITFSL,2021-08-06,88.15,89.7,87.0,88.0,426716
GEOJITFSL,2021-08-09,88.0,88.7,85.5,85.9,398609
GEOJITFSL,2021-08-10,85.0,85.8,76.3,79.7,1030447
GEOJITFSL,2021-08-11,80.65,82.85,73.55,80.5,1000755
GEOJITFSL,2021-08-12,84.95,85.9,82.0,84.95,649981
GEOJITFSL,2021-08-13,85.0,86.45,81.85,82.5,572683
GEOJITFSL,2021-08-16,82.75,83.45,80.1,80.65,404187
GEOJITFSL,2021-08-17,80.6,80.6,78.6,79.45,317681
GEOJITFSL,2021-08-18,78.8,81.35,78.0,78.3,397610
GEOJITFSL,2021-08-20,76.55,77.85,75.0,75.85,454549
GEOJITFSL,2021-08-23,76.8,77.6,71.55,72.05,519081
GEOJITFSL,2021-08-24,72.5,79.0,71.25,77.2,508591
GEOJITFSL,2021-08-25,76.5,82.45,76.5,81.5,1055030
GEOJITFSL,2021-08-26,80.8,81.6,78.65,79.7,296695
GEOJITFSL,2021-08-27,78.6,79.9,78.0,78.5,203388
GEOJITFSL,2021-08-30,78.25,81.1,77.85,79.5,725593
GEOJITFSL,2021-08-31,79.5,80.25,78.2,78.45,251278
GEOJITFSL,2021-09-01,78.5,79.9,77.55,78.35,215765
GEOJITFSL,2021-09-02,78.45,79.9,78.05,78.8,230930
GEOJITFSL,2021-09-03,78.8,80.6,77.4,78.0,336400
GEOJITFSL,2021-09-06,78.1,79.55,78.1,78.65,206097
GEOJITFSL,2021-09-07,79.25,79.25,77.3,77.45,159811
GEOJITFSL,2021-09-08,77.9,78.6,76.7,77.35,238836
GEOJITFSL,2021-09-09,77.35,79.2,77.05,78.45,208337
GEOJITFSL,2021-09-13,79.0,81.5,78.6,79.25,344671
GEOJITFSL,2021-09-14,79.55,80.45,78.95,79.15,256190
GEOJITFSL,2021-09-15,79.2,81.0,79.2,79.75,266839
GEOJITFSL,2021-09-16,79.75,80.6,79.05,79.45,286008
GEOJITFSL,2021-09-17,79.5,81.25,77.1,80.05,514433
GEOJITFSL,2021-09-20,79.5,80.0,77.2,77.4,193489
GEOJITFSL,2021-09-21,77.8,78.5,73.6,76.85,376422
GEOJITFSL,2021-09-22,78.9,78.9,76.4,76.7,219572
GEOJITFSL,2021-09-23,77.95,79.15,77.1,77.4,271078
GEOJITFSL,2021-09-24,77.1,79.8,76.3,76.55,184631
GEOJITFSL,2021-09-27,77.0,77.95,75.0,76.4,244141
GEOJITFSL,2021-09-28,76.55,79.25,76.35,76.8,346470
GEOJITFSL,2021-09-29,76.9,77.95,76.25,77.1,264377
GEOJITFSL,2021-09-30,77.4,78.7,75.5,76.4,209899
GEOJITFSL,2021-10-01,76.45,80.5,76.4,79.75,504566
GEOJITFSL,2021-10-04,80.8,82.35,80.8,81.85,795530
GEOJITFSL,2021-10-05,82.2,82.3,80.35,80.8,314716
GEOJITFSL,2021-10-06,81.3,82.1,78.8,79.1,286845
GEOJITFSL,2021-10-07,79.95,80.8,79.25,79.7,234886
GEOJITFSL,2021-10-08,80.5,81.75,79.7,80.4,355734
GEOJITFSL,2021-10-11,80.8,85.35,80.4,83.25,818717
GEOJITFSL,2021-10-12,83.0,88.75,83.0,87.85,1673638
GEOJITFSL,2021-10-13,88.7,89.5,86.0,86.55,1045237
GEOJITFSL,2021-10-14,87.1,87.45,86.0,86.55,444438
GEOJITFSL,2021-10-18,87.0,88.5,85.7,86.1,523196
GEOJITFSL,2021-10-19,86.65,86.9,81.75,82.4,443230
GEOJITFSL,2021-10-20,83.0,84.0,80.5,81.45,435751
GEOJITFSL,2021-10-21,83.3,90.3,82.1,89.0,1277238
GEOJITFSL,2021-10-22,89.5,89.7,86.0,87.5,642728
GEOJITFSL,2021-10-25,87.55,88.4,82.0,83.85,530441
GEOJITFSL,2021-10-26,84.05,86.25,83.3,85.6,253472
GEOJITFSL,2021-10-27,85.5,88.8,82.8,83.75,549893
GEOJITFSL,2021-10-28,84.7,85.0,81.4,81.85,226882
GEOJITFSL,2021-10-29,82.0,83.2,79.0,80.85,332258
GEOJITFSL,2021-11-01,81.2,83.55,79.85,81.1,258995
GEOJITFSL,2021-11-02,81.25,82.65,80.85,81.4,168271
GEOJITFSL,2021-11-03,81.9,83.1,80.5,80.75,144028
GEOJITFSL,2021-11-04,80.75,80.75,80.75,80.75,0
GEOJITFSL,2021-11-08,82.6,82.6,80.25,81.1,190316
GEOJITFSL,2021-11-09,81.0,82.5,80.9,81.5,205717
GEOJITFSL,2021-11-10,81.3,82.2,80.5,80.7,187257
GEOJITFSL,2021-11-11,80.6,80.9,79.75,79.95,202951
GEOJITFSL,2021-11-12,80.0,81.55,79.7,79.9,164614
GEOJITFSL,2021-11-15,80.4,80.4,77.0,78.05,216932
GEOJITFSL,2021-11-16,78.35,79.0,77.05,78.4,138055
GEOJITFSL,2021-11-17,78.15,78.75,77.5,78.0,132803
GEOJITFSL,2021-11-18,78.4,78.4,76.1,76.8,176612
GEOJITFSL,2021-11-22,76.8,76.8,72.6,73.25,316198
GEOJITFSL,2021-11-23,72.0,76.7,72.0,75.6,157064
GEOJITFSL,2021-11-24,76.3,77.9,74.55,75.75,235846
GEOJITFSL,2021-11-25,75.45,76.05,74.2,74.65,122544
GEOJITFSL,2021-11-26,74.25,74.65,72.4,72.7,204689
GEOJITFSL,2021-11-29,71.2,72.35,65.65,68.65,519130
GEOJITFSL,2021-11-30,67.4,73.95,67.4,71.3,298075
GEOJITFSL,2021-12-01,72.8,75.0,72.1,74.35,284801
GEOJITFSL,2021-12-02,75.0,76.1,73.1,74.05,266163
GEOJITFSL,2021-12-03,74.7,75.3,73.4,73.8,138003
GEOJITFSL,2021-12-06,74.6,74.6,72.05,72.25,120636
GEOJITFSL,2021-12-07,74.0,74.0,72.45,72.85,101550
GEOJITFSL,2021-12-08,73.55,73.95,73.1,73.3,121408
GEOJITFSL,2021-12-09,74.0,74.9,72.6,73.6,253207
GEOJITFSL,2021-12-10,74.25,74.5,73.25,74.1,154490
GEOJITFSL,2021-12-13,75.0,75.5,74.05,74.3,119794
GEOJITFSL,2021-12-14,73.9,75.25,73.4,74.65,171116
GEOJITFSL,2021-12-15,75.1,77.2,74.25,75.3,254421
GEOJITFSL,2021-12-16,75.1,76.25,72.95,73.4,228708
GEOJITFSL,2021-12-17,74.9,74.9,72.25,72.4,120498
GEOJITFSL,2021-12-20,71.0,72.0,68.0,69.05,254819
GEOJITFSL,2021-12-21,70.45,71.35,69.45,70.0,130581
GEOJITFSL,2021-12-22,70.8,72.5,70.5,71.1,127813
GEOJITFSL,2021-12-23,72.45,72.85,71.45,72.15,109845
GEOJITFSL,2021-12-24,73.5,73.5,71.25,71.5,72784
GEOJITFSL,2021-12-27,70.35,71.55,70.35,71.2,79277
GEOJITFSL,2021-12-28,71.2,73.0,71.2,72.2,136873
GEOJITFSL,2021-12-29,72.1,73.0,69.7,71.65,189888
GEOJITFSL,2021-12-30,72.3,79.45,72.0,77.25,1401924
GEOJITFSL,2021-12-31,77.25,77.4,74.6,75.25,294109
GEOJITFSL,2022-01-03,76.5,76.95,75.5,76.0,217240
GEOJITFSL,2022-01-04,76.4,76.95,75.8,76.05,177165
GEOJITFSL,2022-01-05,76.45,79.0,75.8,76.55,394971
GEOJITFSL,2022-01-06,76.2,78.0,75.3,77.05,246347
GEOJITFSL,2022-01-07,78.0,79.0,77.2,78.5,344437
GEOJITFSL,2022-01-10,79.15,81.75,78.8,81.2,636914
GEOJITFSL,2022-01-11,81.6,81.6,79.4,80.85,294891
GEOJITFSL,2022-01-12,81.0,81.3,78.7,79.1,197653
GEOJITFSL,2022-01-13,79.7,85.0,78.85,82.5,781489
