symbol,date,open,high,low,close,volume
GFLLIMITED,2002-07-01,0.5384,0.5502,0.5384,0.5398,27609
GFLLIMITED,2002-07-02,0.5525,0.5672,0.5455,0.5615,152646
GFLLIMITED,2002-07-03,0.5672,0.6126,0.5672,0.5809,176341
GFLLIMITED,2002-07-04,0.5899,0.605,0.588,0.5979,172300
GFLLIMITED,2002-07-05,0.5908,0.6078,0.5908,0.5974,105085
GFLLIMITED,2002-07-08,0.605,0.6211,0.6031,0.6093,196969
GFLLIMITED,2002-07-09,0.6173,0.6986,0.6154,0.6631,436294
GFLLIMITED,2002-07-10,0.6901,0.7799,0.683,0.7633,1352107
GFLLIMITED,2002-07-11,0.7648,0.8546,0.7468,0.7927,4462172
GFLLIMITED,2002-07-12,0.813,0.8319,0.7657,0.7771,948584
GFLLIMITED,2002-07-15,0.7846,0.8035,0.7062,0.7189,575611
GFLLIMITED,2002-07-16,0.709,0.7279,0.6806,0.6891,299770
GFLLIMITED,2002-07-17,0.675,0.717,0.6731,0.709,296617
GFLLIMITED,2002-07-18,0.7095,0.7322,0.709,0.7161,120445
GFLLIMITED,2002-07-19,0.7232,0.734,0.7033,0.7085,249015
GFLLIMITED,2002-07-22,0.709,0.709,0.6617,0.6702,159627
GFLLIMITED,2002-07-23,0.6759,0.6887,0.6674,0.6783,82426
GFLLIMITED,2002-07-24,0.6854,0.6854,0.6617,0.6665,76143
GFLLIMITED,2002-07-25,0.6995,0.6995,0.6579,0.665,115664
GFLLIMITED,2002-07-26,0.6702,0.6712,0.6145,0.639,103710
GFLLIMITED,2002-07-29,0.5866,0.6329,0.5866,0.6201,114986
GFLLIMITED,2002-07-30,0.6806,0.6806,0.6102,0.6154,107412
GFLLIMITED,2002-07-31,0.5691,0.614,0.5686,0.6078,48681
GFLLIMITED,2002-08-01,0.5861,0.6873,0.5861,0.6121,61143
GFLLIMITED,2002-08-02,0.6216,0.6216,0.6121,0.6178,15550
GFLLIMITED,2002-08-05,0.5724,0.631,0.5724,0.6291,72271
GFLLIMITED,2002-08-06,0.6324,0.6423,0.6291,0.6376,58286
GFLLIMITED,2002-08-07,0.6334,0.6594,0.6334,0.6442,48448
GFLLIMITED,2002-08-08,0.6428,0.6428,0.6253,0.6301,40832
