symbol,date,open,high,low,close,volume
GFSTEELS,2025-07-24,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-07-25,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-07-28,9.73,9.73,9.73,9.73,12602
GFSTEELS,2025-07-29,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-07-30,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-07-31,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-01,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-04,9.73,9.73,9.73,9.73,8435
GFSTEELS,2025-08-05,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-06,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-07,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-08,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-11,9.73,9.73,9.73,9.73,5012
GFSTEELS,2025-08-12,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-13,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-14,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-18,9.73,9.73,9.73,9.73,490
GFSTEELS,2025-08-19,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-20,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-21,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-22,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-25,9.73,9.73,9.73,9.73,27521
GFSTEELS,2025-08-26,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-28,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-08-29,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-01,9.73,9.73,9.73,9.73,880
GFSTEELS,2025-09-02,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-03,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-04,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-05,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-08,9.73,9.73,9.73,9.73,320
GFSTEELS,2025-09-09,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-10,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-11,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-12,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-15,9.73,9.73,9.73,9.73,2638
GFSTEELS,2025-09-16,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-17,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-18,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-19,9.73,9.73,9.73,9.73,0
GFSTEELS,2025-09-22,10.21,10.21,10.21,10.21,2040
GFSTEELS,2025-09-23,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-09-24,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-09-25,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-09-26,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-09-29,10.21,10.21,10.21,10.21,10800
GFSTEELS,2025-09-30,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-01,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-03,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-06,10.21,10.21,10.21,10.21,4060
GFSTEELS,2025-10-07,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-08,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-09,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-10,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-13,10.21,10.21,10.21,10.21,292
GFSTEELS,2025-10-14,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-15,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-16,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-17,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-20,10.21,10.21,10.21,10.21,31856
GFSTEELS,2025-10-21,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-23,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-24,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-27,10.21,10.21,10.21,10.21,2206
GFSTEELS,2025-10-28,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-29,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-30,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-10-31,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-11-03,10.21,10.21,10.21,10.21,5445
GFSTEELS,2025-11-04,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-11-06,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-11-07,10.21,10.21,10.21,10.21,0
GFSTEELS,2025-11-10,10.7,10.72,10.7,10.72,8351
GFSTEELS,2025-11-11,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-12,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-13,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-14,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-17,10.72,10.72,10.72,10.72,4805
GFSTEELS,2025-11-18,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-19,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-20,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-21,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-24,10.72,10.72,10.72,10.72,36390
GFSTEELS,2025-11-25,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-26,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-27,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-11-28,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-01,10.72,10.72,10.72,10.72,4187
GFSTEELS,2025-12-02,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-03,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-04,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-05,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-08,10.72,10.72,10.72,10.72,2916
GFSTEELS,2025-12-09,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-10,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-11,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-12,10.72,10.72,10.72,10.72,0
GFSTEELS,2025-12-15,11.25,11.25,11.25,11.25,10481
GFSTEELS,2025-12-16,11.25,11.25,11.25,11.25,0
GFSTEELS,2025-12-17,11.25,11.25,11.25,11.25,0
GFSTEELS,2025-12-18,11.25,11.25,11.25,11.25,0
GFSTEELS,2025-12-19,11.25,11.25,11.25,11.25,0
GFSTEELS,2025-12-22,11.25,11.25,11.25,11.25,2024
GFSTEELS,2025-12-23,11.25,11.25,11.25,11.25,0
GFSTEELS,2025-12-24,11.25,11.25,11.25,11.25,0
GFSTEELS,2025-12-26,11.25,11.25,11.25,11.25,0
GFSTEELS,2025-12-29,11.25,11.25,11.25,11.25,1365
GFSTEELS,2025-12-30,11.25,11.25,11.25,11.25,0
GFSTEELS,2025-12-31,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-01,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-02,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-05,11.25,11.25,11.25,11.25,4552
GFSTEELS,2026-01-06,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-07,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-08,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-09,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-12,11.25,11.25,11.25,11.25,3305
GFSTEELS,2026-01-13,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-14,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-15,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-16,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-19,11.25,11.25,11.25,11.25,4609
GFSTEELS,2026-01-20,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-21,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-22,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-23,11.25,11.25,11.25,11.25,0
GFSTEELS,2026-01-27,11.25,11.25,10.7,11.22,15482
GFSTEELS,2026-01-28,11.22,11.22,11.22,11.22,0
GFSTEELS,2026-01-29,11.22,11.22,11.22,11.22,0
GFSTEELS,2026-01-30,11.22,11.22,11.22,11.22,0
GFSTEELS,2026-02-02,11.22,11.22,11.22,11.22,2580
GFSTEELS,2026-02-03,11.22,11.22,11.22,11.22,0
GFSTEELS,2026-02-04,11.22,11.22,11.22,11.22,0
GFSTEELS,2026-02-05,11.22,11.22,11.22,11.22,0
GFSTEELS,2026-02-06,11.22,11.22,11.22,11.22,0
GFSTEELS,2026-02-09,11.78,11.78,11.78,11.78,5916
GFSTEELS,2026-02-10,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-11,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-12,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-13,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-16,11.78,11.78,11.78,11.78,4541
GFSTEELS,2026-02-17,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-18,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-19,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-20,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-23,11.78,11.78,11.78,11.78,11970
GFSTEELS,2026-02-24,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-25,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-26,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-02-27,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-03-02,11.78,11.78,11.78,11.78,3100
GFSTEELS,2026-03-04,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-03-05,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-03-06,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-03-09,11.78,11.78,11.78,11.78,1866
GFSTEELS,2026-03-10,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-03-11,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-03-12,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-03-13,11.78,11.78,11.78,11.78,0
GFSTEELS,2026-03-16,12.36,12.36,12.36,12.36,14594
GFSTEELS,2026-03-17,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-03-18,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-03-19,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-03-20,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-03-23,12.36,12.36,12.36,12.36,5610
GFSTEELS,2026-03-24,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-03-25,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-03-27,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-03-30,12.36,12.36,12.36,12.36,4058
GFSTEELS,2026-04-01,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-02,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-06,12.36,12.36,12.36,12.36,1054
GFSTEELS,2026-04-07,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-08,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-09,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-10,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-13,12.36,12.36,12.36,12.36,2900
GFSTEELS,2026-04-15,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-16,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-17,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-20,12.36,12.36,12.36,12.36,3750
GFSTEELS,2026-04-21,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-22,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-23,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-24,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-27,12.36,12.36,12.36,12.36,2090
GFSTEELS,2026-04-28,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-29,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-04-30,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-05-01,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-05-04,12.36,12.36,12.36,12.36,741
GFSTEELS,2026-05-05,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-05-06,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-05-07,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-05-08,12.36,12.36,12.36,12.36,0
GFSTEELS,2026-05-11,12.97,12.97,12.97,12.97,1807
GFSTEELS,2026-05-12,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-13,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-14,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-15,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-18,12.97,12.97,12.97,12.97,689
GFSTEELS,2026-05-19,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-20,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-21,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-22,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-25,12.97,12.97,12.97,12.97,740
GFSTEELS,2026-05-26,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-27,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-28,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-05-29,12.97,12.97,12.97,12.97,0
GFSTEELS,2026-06-01,12.97,12.97,12.97,12.97,3176
