symbol,date,open,high,low,close,volume
GILLANDERS,2025-07-23,130.96,132.56,127.58,129.28,15464
GILLANDERS,2025-07-24,130.7,131.14,123.51,125.87,23323
GILLANDERS,2025-07-25,129.35,136.25,126.98,131.62,65968
GILLANDERS,2025-07-28,135.0,142.0,126.2,130.75,164993
GILLANDERS,2025-07-29,133.96,139.9,132.01,137.65,65318
GILLANDERS,2025-07-30,144.0,151.0,139.3,143.34,743138
GILLANDERS,2025-07-31,140.55,149.7,140.55,146.1,158681
GILLANDERS,2025-08-01,148.2,151.9,143.5,145.31,226322
GILLANDERS,2025-08-04,145.0,148.99,141.0,143.1,43825
GILLANDERS,2025-08-05,144.99,145.43,136.41,139.97,41978
GILLANDERS,2025-08-06,142.81,142.81,137.0,139.24,31794
GILLANDERS,2025-08-07,139.94,140.65,129.27,132.66,40236
GILLANDERS,2025-08-08,127.12,129.38,117.0,119.24,91645
GILLANDERS,2025-08-11,119.24,122.9,116.46,119.02,30921
GILLANDERS,2025-08-12,118.0,123.5,118.0,119.73,37926
GILLANDERS,2025-08-13,118.6,124.0,118.6,122.39,29365
GILLANDERS,2025-08-14,128.0,128.0,119.35,120.32,27024
GILLANDERS,2025-08-18,117.99,123.79,117.99,119.21,41418
GILLANDERS,2025-08-19,119.21,121.95,117.99,120.57,11817
GILLANDERS,2025-08-20,123.4,125.97,120.51,123.5,17962
GILLANDERS,2025-08-21,122.5,125.05,121.55,123.39,8520
GILLANDERS,2025-08-22,123.39,124.75,118.0,120.69,12219
GILLANDERS,2025-08-25,121.01,127.03,121.0,125.12,38721
GILLANDERS,2025-08-26,124.99,127.72,121.21,123.06,7162
GILLANDERS,2025-08-28,121.26,122.95,118.0,118.64,11785
GILLANDERS,2025-08-29,119.49,121.0,111.1,114.16,43916
GILLANDERS,2025-09-01,115.98,121.2,113.19,119.6,18611
GILLANDERS,2025-09-02,120.0,123.0,117.0,118.27,17288
GILLANDERS,2025-09-03,119.32,121.5,118.31,120.57,7775
GILLANDERS,2025-09-04,119.99,131.89,119.99,126.8,48706
GILLANDERS,2025-09-05,123.61,128.79,120.1,121.5,24939
GILLANDERS,2025-09-08,121.2,126.0,121.2,124.77,12437
