symbol,date,open,high,low,close,volume
GOYALALUM,2025-07-22,8.1,8.15,7.88,7.97,83230
GOYALALUM,2025-07-23,7.94,8.09,7.76,7.83,119611
GOYALALUM,2025-07-24,7.71,7.99,7.71,7.81,89493
GOYALALUM,2025-07-25,7.94,7.94,7.63,7.71,95029
GOYALALUM,2025-07-28,7.72,7.9,7.65,7.66,62679
GOYALALUM,2025-07-29,7.51,7.72,7.5,7.65,86812
GOYALALUM,2025-07-30,7.65,7.65,7.5,7.54,50456
GOYALALUM,2025-07-31,7.31,7.64,7.31,7.48,75356
GOYALALUM,2025-08-01,7.48,7.52,7.3,7.45,51662
GOYALALUM,2025-08-04,7.42,7.59,7.4,7.48,60103
GOYALALUM,2025-08-05,7.51,7.55,7.3,7.33,78431
GOYALALUM,2025-08-06,7.12,7.4,7.12,7.28,64201
GOYALALUM,2025-08-07,7.42,7.42,7.16,7.27,61833
GOYALALUM,2025-08-08,7.05,7.38,7.02,7.28,45810
GOYALALUM,2025-08-11,7.21,7.39,7.2,7.25,74796
GOYALALUM,2025-08-12,7.34,7.35,7.14,7.19,59613
GOYALALUM,2025-08-13,7.19,7.39,7.16,7.26,29971
GOYALALUM,2025-08-14,7.38,7.49,7.2,7.31,63473
GOYALALUM,2025-08-18,7.22,7.39,7.05,7.17,59802
GOYALALUM,2025-08-19,7.17,7.3,7.17,7.26,125400
GOYALALUM,2025-08-20,7.26,8.19,7.22,7.73,271393
GOYALALUM,2025-08-21,7.6,8.0,7.34,7.41,115287
GOYALALUM,2025-08-22,7.44,7.6,7.44,7.49,36051
GOYALALUM,2025-08-25,7.54,7.9,7.48,7.74,81712
GOYALALUM,2025-08-26,7.86,7.92,7.43,7.69,55765
GOYALALUM,2025-08-28,7.5,7.65,7.35,7.4,61344
GOYALALUM,2025-08-29,7.35,7.58,7.3,7.38,39211
GOYALALUM,2025-09-01,7.32,7.97,7.32,7.42,65737
GOYALALUM,2025-09-02,7.35,7.74,7.35,7.47,78301
GOYALALUM,2025-09-03,7.45,7.55,7.42,7.5,30080
GOYALALUM,2025-09-04,7.67,7.67,7.45,7.49,54451
GOYALALUM,2025-09-05,7.4,7.59,7.4,7.42,261373
GOYALALUM,2025-09-08,7.5,7.55,7.32,7.45,188052
GOYALALUM,2025-09-09,7.55,7.55,7.4,7.46,33417
GOYALALUM,2025-09-10,7.55,7.65,7.31,7.47,205056
GOYALALUM,2025-09-11,7.49,7.65,7.43,7.56,105837
GOYALALUM,2025-09-12,7.56,7.7,7.31,7.52,61726
GOYALALUM,2025-09-15,7.52,8.57,7.5,7.56,118418
