symbol,date,open,high,low,close,volume
GOYALSALT,2025-07-22,154.5,169.7,152.0,165.25,48000
GOYALSALT,2025-07-23,165.0,171.45,165.0,167.0,42000
GOYALSALT,2025-07-24,173.8,175.0,166.0,167.0,33600
GOYALSALT,2025-07-25,170.0,171.0,164.0,166.0,6000
GOYALSALT,2025-07-28,166.0,166.0,166.0,166.0,0
GOYALSALT,2025-07-29,165.0,177.0,162.0,164.5,25800
GOYALSALT,2025-07-30,165.0,165.0,163.2,163.2,1800
GOYALSALT,2025-07-31,160.1,167.0,160.1,161.6,5400
GOYALSALT,2025-08-01,151.0,168.0,151.0,166.05,4800
GOYALSALT,2025-08-04,162.5,165.5,162.5,165.5,1800
GOYALSALT,2025-08-05,162.5,162.5,162.5,162.5,1200
GOYALSALT,2025-08-06,162.0,165.5,162.0,165.0,5400
GOYALSALT,2025-08-07,166.0,168.0,163.0,165.0,20400
GOYALSALT,2025-08-08,167.0,167.0,162.0,162.0,12000
GOYALSALT,2025-08-11,162.5,162.5,162.0,162.0,5400
GOYALSALT,2025-08-12,163.0,163.0,155.25,155.25,14400
GOYALSALT,2025-08-13,156.3,156.75,155.0,155.0,17400
GOYALSALT,2025-08-14,156.05,156.05,156.05,156.05,600
GOYALSALT,2025-08-18,156.1,161.5,152.0,152.9,7200
GOYALSALT,2025-08-19,153.0,154.5,153.0,153.5,3000
GOYALSALT,2025-08-20,158.95,158.95,155.0,155.25,6600
GOYALSALT,2025-08-21,156.0,165.8,156.0,165.45,15600
GOYALSALT,2025-08-22,158.1,165.0,158.1,164.9,1800
GOYALSALT,2025-08-25,160.0,162.0,158.0,158.2,10800
GOYALSALT,2025-08-26,156.0,156.0,156.0,156.0,600
GOYALSALT,2025-08-28,159.8,160.05,159.8,160.0,6000
GOYALSALT,2025-08-29,160.0,160.0,158.0,159.0,5400
GOYALSALT,2025-09-01,161.0,174.9,161.0,170.8,53400
GOYALSALT,2025-09-02,171.0,173.0,168.05,168.5,12600
GOYALSALT,2025-09-03,170.0,176.5,170.0,175.05,48000
GOYALSALT,2025-09-04,175.0,175.0,172.0,173.0,19800
GOYALSALT,2025-09-05,169.95,172.55,169.95,171.55,21600
GOYALSALT,2025-09-08,176.95,180.1,175.8,178.55,25200
GOYALSALT,2025-09-09,176.0,176.0,175.0,175.0,1800
GOYALSALT,2025-09-10,172.5,176.2,172.5,175.95,4800
GOYALSALT,2025-09-11,179.0,179.85,174.5,174.5,6600
GOYALSALT,2025-09-12,174.8,175.0,173.35,175.0,3600
GOYALSALT,2025-09-15,175.0,175.0,173.5,174.8,19200
GOYALSALT,2025-09-16,175.85,175.85,175.0,175.5,6000
GOYALSALT,2025-09-17,175.0,175.25,174.0,174.55,11400
GOYALSALT,2025-09-18,180.0,180.0,174.5,175.0,12600
GOYALSALT,2025-09-19,174.0,175.0,174.0,175.0,3600
GOYALSALT,2025-09-22,182.5,182.5,174.0,177.0,31800
GOYALSALT,2025-09-23,173.5,176.5,173.5,176.5,15600
GOYALSALT,2025-09-24,170.5,175.0,170.5,172.0,12600
GOYALSALT,2025-09-25,174.9,175.0,170.5,170.5,2400
GOYALSALT,2025-09-26,168.5,170.0,168.5,170.0,1200
GOYALSALT,2025-09-29,170.0,170.0,170.0,170.0,1200
GOYALSALT,2025-09-30,170.0,176.7,170.0,174.8,22800
GOYALSALT,2025-10-01,174.8,174.8,174.8,174.8,0
GOYALSALT,2025-10-03,174.5,176.45,173.0,175.0,40200
GOYALSALT,2025-10-06,172.0,182.0,172.0,181.0,43200
GOYALSALT,2025-10-07,179.0,182.0,178.0,180.6,6000
GOYALSALT,2025-10-08,181.5,185.0,180.0,180.0,18000
GOYALSALT,2025-10-09,180.0,181.0,180.0,180.0,8400
GOYALSALT,2025-10-10,180.0,180.0,180.0,180.0,6600
GOYALSALT,2025-10-13,180.0,180.0,180.0,180.0,8400
GOYALSALT,2025-10-14,176.0,180.0,176.0,180.0,6000
GOYALSALT,2025-10-15,176.0,179.9,176.0,179.25,3600
GOYALSALT,2025-10-16,180.0,187.0,180.0,186.0,46200
GOYALSALT,2025-10-17,183.0,184.0,180.95,181.45,6000
GOYALSALT,2025-10-20,186.0,189.8,184.2,184.95,11400
GOYALSALT,2025-10-21,184.95,184.95,184.95,184.95,0
GOYALSALT,2025-10-23,184.0,184.05,183.0,183.0,8400
GOYALSALT,2025-10-24,183.0,183.0,183.0,183.0,0
GOYALSALT,2025-10-27,180.0,180.0,180.0,180.0,8400
GOYALSALT,2025-10-28,175.05,177.0,175.0,177.0,10200
GOYALSALT,2025-10-29,179.0,200.0,176.15,198.5,176400
GOYALSALT,2025-10-30,198.5,199.95,190.1,194.9,18000
GOYALSALT,2025-10-31,192.5,197.95,191.0,195.95,12600
GOYALSALT,2025-11-03,194.0,194.0,185.0,186.5,13200
GOYALSALT,2025-11-04,187.0,194.85,187.0,193.8,15600
GOYALSALT,2025-11-06,195.5,195.5,186.0,190.5,12600
GOYALSALT,2025-11-07,190.5,190.5,190.5,190.5,0
GOYALSALT,2025-11-10,185.65,185.65,180.0,181.15,12600
GOYALSALT,2025-11-11,185.9,185.9,180.0,183.0,7800
GOYALSALT,2025-11-12,178.0,182.0,176.8,180.0,11400
GOYALSALT,2025-11-13,182.5,182.5,182.5,182.5,600
GOYALSALT,2025-11-14,182.0,183.5,176.0,178.5,9600
GOYALSALT,2025-11-17,178.0,180.0,178.0,178.05,8400
GOYALSALT,2025-11-18,178.0,178.0,175.1,175.1,2400
GOYALSALT,2025-11-19,176.0,176.0,174.0,174.65,10800
GOYALSALT,2025-11-20,175.0,175.0,175.0,175.0,600
GOYALSALT,2025-11-21,175.0,175.0,170.0,171.7,4800
GOYALSALT,2025-11-24,171.0,171.0,165.05,165.05,1800
GOYALSALT,2025-11-25,167.0,170.0,165.05,170.0,8400
GOYALSALT,2025-11-26,170.0,170.0,167.0,167.0,1800
GOYALSALT,2025-11-27,169.5,170.0,168.5,168.5,4800
GOYALSALT,2025-11-28,170.0,183.0,165.0,181.4,42000
GOYALSALT,2025-12-01,181.0,181.0,173.0,173.0,1800
GOYALSALT,2025-12-02,174.0,174.0,170.0,170.1,6000
GOYALSALT,2025-12-03,170.1,170.1,170.1,170.1,0
