symbol,date,open,high,low,close,volume
GRASIM,2002-07-01,49.3693,50.8429,49.3693,50.6654,509315
GRASIM,2002-07-02,51.6915,51.9924,50.8429,51.6992,1062700
GRASIM,2002-07-03,50.92,51.923,50.92,51.7687,618898
GRASIM,2002-07-04,53.6975,53.6975,50.9586,51.7147,747626
GRASIM,2002-07-05,50.1485,52.1236,50.1485,51.0975,671490
GRASIM,2002-07-08,50.9586,52.1544,50.9586,52.0156,437288
GRASIM,2002-07-09,51.6915,53.9907,51.6915,52.409,1015268
GRASIM,2002-07-10,52.3087,53.3734,51.869,53.2114,660997
GRASIM,2002-07-11,52.7717,52.926,52.1622,52.5016,454022
GRASIM,2002-07-12,53.2346,53.2346,52.4708,52.7717,570558
GRASIM,2002-07-15,52.4785,52.7717,51.3135,52.4785,480949
GRASIM,2002-07-16,51.3829,52.0773,50.6268,51.1592,696298
GRASIM,2002-07-17,50.2257,51.4601,50.1485,51.3444,324795
GRASIM,2002-07-18,51.3984,52.139,50.6963,51.2672,119044
GRASIM,2002-07-19,51.0743,52.0001,49.6933,50.9123,161500
GRASIM,2002-07-22,50.0096,50.92,49.0684,49.3153,245691
GRASIM,2002-07-23,48.5438,50.4571,48.4666,50.3182,713187
GRASIM,2002-07-24,49.107,50.8892,49.0684,49.3461,197578
GRASIM,2002-07-25,49.8399,50.5806,49.4541,50.1948,586255
GRASIM,2002-07-26,49.107,49.9942,48.2969,48.7135,395850
GRASIM,2002-07-29,49.377,49.377,46.5224,48.6286,1892748
GRASIM,2002-07-30,48.1426,49.215,47.9883,48.3586,737645
GRASIM,2002-07-31,46.3681,48.1889,46.3681,47.9034,239593
GRASIM,2002-08-01,47.834,48.7598,46.8464,47.8262,375442
GRASIM,2002-08-02,46.7538,49.3384,46.7538,48.5746,459880
GRASIM,2002-08-05,48.0808,48.6055,47.6951,47.9651,228433
GRASIM,2002-08-06,48.4203,48.4203,47.6719,47.7954,130658
GRASIM,2002-08-07,48.1426,48.2969,47.6797,47.8802,533456
GRASIM,2002-08-08,47.9883,48.1426,47.5253,47.6256,658975
GRASIM,2002-08-09,47.0933,47.6797,47.0624,47.5794,777074
GRASIM,2002-08-12,47.2167,47.8185,47.1396,47.6951,86284
GRASIM,2002-08-13,46.6844,48.2969,46.6844,47.9728,92493
GRASIM,2002-08-14,46.7693,48.1426,46.7693,48.0191,259716
GRASIM,2002-08-15,48.0191,48.0191,48.0191,48.0191,0
GRASIM,2002-08-16,47.834,48.1426,47.5331,47.996,198492
GRASIM,2002-08-19,47.9883,48.4357,47.9265,48.0268,190456
GRASIM,2002-08-20,48.1811,48.2737,47.9111,48.0654,481707
GRASIM,2002-08-21,47.6797,50.0328,47.6797,48.8061,316902
GRASIM,2002-08-22,48.7675,49.1918,47.9883,48.536,211525
GRASIM,2002-08-23,47.9883,48.7443,47.9883,48.5438,298885
GRASIM,2002-08-26,48.4357,48.8986,48.2969,48.7598,204908
GRASIM,2002-08-27,48.6826,48.9141,48.1426,48.7135,271225
GRASIM,2002-08-28,47.371,49.6702,47.371,48.59,214830
GRASIM,2002-08-29,48.6749,49.6856,48.0731,49.1918,266456
GRASIM,2002-08-30,49.377,49.377,48.0731,48.5669,545627
GRASIM,2002-09-02,49.0684,49.1455,48.0654,48.3432,151377
GRASIM,2002-09-03,48.6826,48.6826,47.8648,47.996,100821
