symbol,date,open,high,low,close,volume
GRINFRA,2025-07-24,1265.5,1314.8,1255.0,1278.7,143130
GRINFRA,2025-07-25,1300.0,1310.3,1220.6,1241.6,63840
GRINFRA,2025-07-28,1245.6,1247.0,1215.2,1227.5,16166
GRINFRA,2025-07-29,1226.1,1279.0,1210.6,1247.5,16062
GRINFRA,2025-07-30,1238.0,1257.0,1236.6,1245.2,6531
GRINFRA,2025-07-31,1231.3,1246.8,1210.3,1218.2,10145
GRINFRA,2025-08-01,1219.0,1238.9,1208.0,1215.0,11962
GRINFRA,2025-08-04,1235.0,1267.0,1220.9,1231.1,47668
GRINFRA,2025-08-05,1231.1,1255.3,1214.1,1250.4,21691
GRINFRA,2025-08-06,1252.4,1255.5,1233.6,1236.9,11981
GRINFRA,2025-08-07,1230.0,1233.4,1202.2,1223.6,14082
GRINFRA,2025-08-08,1220.2,1237.4,1200.5,1215.2,15620
GRINFRA,2025-08-11,1210.8,1250.0,1207.1,1244.8,27128
GRINFRA,2025-08-12,1226.2,1250.0,1226.2,1237.4,7877
GRINFRA,2025-08-13,1243.2,1258.9,1230.0,1237.0,13814
GRINFRA,2025-08-14,1233.8,1272.0,1232.1,1264.6,36090
GRINFRA,2025-08-18,1271.4,1279.3,1260.0,1262.8,11450
GRINFRA,2025-08-19,1259.0,1272.0,1259.0,1266.4,8019
GRINFRA,2025-08-20,1266.4,1282.7,1260.0,1269.4,10611
GRINFRA,2025-08-21,1269.8,1282.0,1262.2,1274.8,9422
GRINFRA,2025-08-22,1275.7,1288.0,1260.0,1267.8,10805
GRINFRA,2025-08-25,1268.1,1278.9,1256.5,1270.9,12046
GRINFRA,2025-08-26,1271.1,1273.9,1250.3,1260.9,14825
GRINFRA,2025-08-28,1279.0,1280.0,1254.1,1262.4,22760
GRINFRA,2025-08-29,1263.0,1274.8,1242.8,1249.8,12970
GRINFRA,2025-09-01,1249.8,1260.8,1242.0,1254.1,6481
GRINFRA,2025-09-02,1254.1,1280.0,1245.1,1275.6,19626
GRINFRA,2025-09-03,1275.0,1292.0,1270.5,1286.8,10458
GRINFRA,2025-09-04,1299.1,1304.6,1277.7,1296.0,17649
GRINFRA,2025-09-05,1300.2,1301.8,1277.0,1290.1,13287
GRINFRA,2025-09-08,1290.0,1290.9,1260.0,1275.4,46630
GRINFRA,2025-09-09,1284.1,1295.9,1260.1,1288.3,14381
GRINFRA,2025-09-10,1290.9,1305.4,1278.5,1290.6,22538
GRINFRA,2025-09-11,1290.6,1308.0,1276.5,1293.8,129178
GRINFRA,2025-09-12,1281.0,1305.0,1273.0,1277.8,9000
GRINFRA,2025-09-15,1277.8,1304.0,1273.1,1299.6,27111
GRINFRA,2025-09-16,1299.6,1330.0,1293.5,1321.3,26218
GRINFRA,2025-09-17,1325.0,1343.9,1315.0,1320.0,25758
GRINFRA,2025-09-18,1320.1,1327.8,1305.5,1316.2,12167
GRINFRA,2025-09-19,1316.3,1329.0,1301.5,1323.5,13607
GRINFRA,2025-09-22,1315.0,1345.0,1305.0,1310.3,10303
GRINFRA,2025-09-23,1306.7,1312.4,1280.0,1286.8,11391
GRINFRA,2025-09-24,1280.1,1304.3,1275.6,1300.2,22241
GRINFRA,2025-09-25,1306.8,1307.9,1256.3,1271.8,9089
GRINFRA,2025-09-26,1265.8,1270.0,1243.4,1248.1,23950
GRINFRA,2025-09-29,1248.1,1255.6,1200.4,1213.7,10077
GRINFRA,2025-09-30,1205.0,1233.0,1205.0,1221.2,11423
GRINFRA,2025-10-01,1220.7,1238.0,1214.7,1230.8,6975
GRINFRA,2025-10-03,1231.2,1244.6,1225.1,1239.0,7396
GRINFRA,2025-10-06,1240.5,1243.8,1225.0,1231.2,8068
GRINFRA,2025-10-07,1225.5,1242.5,1225.5,1236.2,11081
GRINFRA,2025-10-08,1236.2,1269.8,1226.1,1244.4,21266
GRINFRA,2025-10-09,1275.0,1309.8,1250.8,1283.1,383664
GRINFRA,2025-10-10,1279.9,1279.9,1261.7,1268.8,26508
GRINFRA,2025-10-13,1264.0,1273.2,1256.0,1268.9,11334
GRINFRA,2025-10-14,1261.0,1271.9,1247.6,1265.0,9476
GRINFRA,2025-10-15,1251.8,1262.0,1223.8,1228.8,32109
GRINFRA,2025-10-16,1228.8,1245.6,1225.0,1234.2,7432
GRINFRA,2025-10-17,1224.0,1232.6,1166.0,1178.1,102112
GRINFRA,2025-10-20,1178.1,1195.8,1166.5,1173.2,17119
GRINFRA,2025-10-21,1168.1,1190.5,1167.1,1174.7,2733
GRINFRA,2025-10-23,1175.7,1210.0,1166.6,1203.4,36799
GRINFRA,2025-10-24,1200.1,1209.3,1180.0,1182.8,6628
GRINFRA,2025-10-27,1182.8,1206.0,1176.0,1200.6,8747
GRINFRA,2025-10-28,1199.9,1206.0,1184.0,1188.4,5195
GRINFRA,2025-10-29,1188.4,1207.8,1186.2,1189.9,61084
GRINFRA,2025-10-30,1191.8,1196.9,1180.0,1182.6,5525
GRINFRA,2025-10-31,1177.0,1189.0,1162.3,1166.6,6579
GRINFRA,2025-11-03,1164.9,1184.4,1160.0,1171.5,9352
GRINFRA,2025-11-04,1170.5,1180.6,1140.1,1150.2,52703
GRINFRA,2025-11-06,1150.2,1154.2,1130.0,1135.0,9458
GRINFRA,2025-11-07,1135.0,1174.8,1130.0,1143.6,13159
GRINFRA,2025-11-10,1143.6,1167.5,1132.4,1151.1,13084
GRINFRA,2025-11-11,1151.0,1154.5,1115.2,1135.4,25101
GRINFRA,2025-11-12,1138.7,1146.0,1125.0,1130.1,14117
GRINFRA,2025-11-13,1122.2,1142.8,1103.1,1109.7,19013
GRINFRA,2025-11-14,1103.0,1159.0,1091.0,1098.3,26533
GRINFRA,2025-11-17,1103.0,1112.9,1095.1,1107.4,8484
GRINFRA,2025-11-18,1105.0,1126.0,1085.7,1098.8,10818
GRINFRA,2025-11-19,1144.0,1147.0,1077.2,1097.0,297005
GRINFRA,2025-11-20,1095.1,1096.9,1072.1,1079.8,63163
GRINFRA,2025-11-21,1080.9,1099.4,1065.0,1094.2,31686
GRINFRA,2025-11-24,1085.0,1109.9,1074.0,1084.4,43098
GRINFRA,2025-11-25,1079.5,1088.3,1071.0,1081.7,5563
GRINFRA,2025-11-26,1083.4,1093.1,1075.0,1091.8,10766
GRINFRA,2025-11-27,1094.1,1094.1,1072.2,1078.6,5134
GRINFRA,2025-11-28,1076.9,1085.1,1065.4,1074.9,9393
GRINFRA,2025-12-01,1074.9,1081.3,1061.0,1064.7,5581
GRINFRA,2025-12-02,1069.0,1071.0,1051.0,1056.0,6025
GRINFRA,2025-12-03,1051.0,1054.9,1039.2,1043.9,6908
GRINFRA,2025-12-04,1040.0,1054.0,1032.9,1046.5,18433
GRINFRA,2025-12-05,1046.5,1060.1,1038.9,1052.7,12379
GRINFRA,2025-12-08,1070.0,1077.0,1040.1,1050.4,20956
GRINFRA,2025-12-09,1052.0,1052.0,990.0,1016.6,119504
GRINFRA,2025-12-10,1013.5,1035.3,1001.2,1003.7,12935
GRINFRA,2025-12-11,1003.8,1015.0,992.0,1010.7,14913
GRINFRA,2025-12-12,1021.0,1030.2,1013.8,1026.1,10723
GRINFRA,2025-12-15,1026.1,1040.6,1017.6,1029.8,16901
GRINFRA,2025-12-16,1019.0,1039.0,1012.1,1037.0,15019
GRINFRA,2025-12-17,1032.6,1044.0,1029.6,1041.8,9086
GRINFRA,2025-12-18,1037.4,1037.4,1013.5,1019.5,13753
GRINFRA,2025-12-19,1019.8,1035.0,1005.0,1011.4,78773
