symbol,date,open,high,low,close,volume
GRPLTD,2021-07-26,232.575,237.9375,232.5,236.05,2900
GRPLTD,2021-07-27,238.3625,238.3625,231.75,231.95,9300
GRPLTD,2021-07-28,233.8375,240.625,230.75,231.7375,22460
GRPLTD,2021-07-29,236.4375,236.4375,231.0,234.8125,4252
GRPLTD,2021-07-30,236.1375,236.1375,230.7625,231.3125,6568
GRPLTD,2021-08-02,242.25,242.5,231.25,231.9875,19828
GRPLTD,2021-08-03,239.7,239.7,230.0,231.8625,30136
GRPLTD,2021-08-04,234.4875,234.4875,230.0,231.2625,18172
GRPLTD,2021-08-05,231.275,236.2375,231.25,234.7875,13280
GRPLTD,2021-08-06,231.7625,239.475,231.2875,237.9,6060
GRPLTD,2021-08-09,242.0,248.75,236.025,245.4125,14492
GRPLTD,2021-08-10,249.5,256.2,243.2125,246.5375,17468
GRPLTD,2021-08-11,252.0,252.0,228.1375,239.875,11848
GRPLTD,2021-08-12,244.875,252.975,240.3625,248.7125,9132
GRPLTD,2021-08-13,238.9125,243.9125,229.275,232.725,22992
GRPLTD,2021-08-16,233.775,239.3875,230.0125,230.8875,5292
GRPLTD,2021-08-17,235.75,235.75,226.25,230.0,9068
GRPLTD,2021-08-18,226.975,233.6,226.975,230.3875,6080
GRPLTD,2021-08-20,226.25,235.0,226.25,232.2375,1832
GRPLTD,2021-08-23,237.6125,242.4875,229.0,230.2875,28256
GRPLTD,2021-08-24,231.125,240.0,225.575,230.0375,10648
GRPLTD,2021-08-25,239.3875,239.5,233.0,238.8,3548
GRPLTD,2021-08-26,242.3625,245.0,237.5,243.4875,21532
GRPLTD,2021-08-27,243.6125,244.675,236.375,241.875,6288
GRPLTD,2021-08-30,244.375,247.0875,237.5125,238.8875,11152
GRPLTD,2021-08-31,243.8625,243.8625,235.125,242.275,4012
GRPLTD,2021-09-01,241.25,244.75,237.5375,244.15,3112
GRPLTD,2021-09-02,243.75,246.95,237.5375,237.7375,8920
GRPLTD,2021-09-03,235.0,259.0125,235.0,243.5625,7876
GRPLTD,2021-09-06,248.25,248.25,243.0125,246.4375,3292
GRPLTD,2021-09-07,247.475,247.475,241.25,245.75,5220
GRPLTD,2021-09-08,247.5,247.5,230.3875,235.075,5820
GRPLTD,2021-09-09,237.5,246.5,231.6625,234.5625,8548
GRPLTD,2021-09-13,235.0,241.25,231.275,237.4625,4648
GRPLTD,2021-09-14,239.1,243.35,235.125,238.7625,6804
GRPLTD,2021-09-15,239.1,239.1,232.5125,236.7875,1420
GRPLTD,2021-09-16,236.9,243.5875,232.8875,238.4375,11080
GRPLTD,2021-09-17,234.3375,243.2125,233.85,239.4625,10040
GRPLTD,2021-09-20,243.5,243.75,234.875,241.25,7184
GRPLTD,2021-09-21,247.5,249.5,238.125,243.2,3880
GRPLTD,2021-09-22,242.3625,246.2375,240.9875,241.3875,4648
GRPLTD,2021-09-23,242.6375,249.5,242.1625,247.5125,2104
GRPLTD,2021-09-24,249.75,249.75,233.75,234.7,13128
GRPLTD,2021-09-27,235.4625,242.475,232.5,237.1,8912
GRPLTD,2021-09-28,239.25,240.75,232.5,233.65,7796
GRPLTD,2021-09-29,232.6125,239.5,232.6125,234.475,7344
GRPLTD,2021-09-30,233.75,236.85,231.6,232.45,4220
GRPLTD,2021-10-01,230.75,234.425,226.5125,229.3,8012
GRPLTD,2021-10-04,229.3,233.6125,228.125,232.2,5364
GRPLTD,2021-10-05,229.3875,236.25,225.375,231.2125,6684
GRPLTD,2021-10-06,231.1125,240.875,230.75,235.2375,5656
GRPLTD,2021-10-07,234.475,254.6125,233.2625,247.975,11936
GRPLTD,2021-10-08,252.25,252.25,240.2625,241.8375,3460
GRPLTD,2021-10-11,242.0125,251.25,237.5,239.7875,4936
GRPLTD,2021-10-12,245.3625,245.3625,237.5,238.5375,2780
GRPLTD,2021-10-13,237.4875,247.5,237.4875,242.0875,3980
GRPLTD,2021-10-14,242.2375,246.3625,239.35,240.7875,1036
GRPLTD,2021-10-18,241.25,253.75,240.375,243.2,4072
GRPLTD,2021-10-19,242.5,242.5,232.55,237.325,2568
GRPLTD,2021-10-20,237.575,250.0,231.5,243.525,6384
GRPLTD,2021-10-21,240.0,246.0,236.3,241.4625,1184
GRPLTD,2021-10-22,241.3,249.75,241.275,245.9,3236
GRPLTD,2021-10-25,245.9,250.75,234.2625,238.6,4704
GRPLTD,2021-10-26,244.9875,244.9875,234.05,236.7125,6428
GRPLTD,2021-10-27,236.7125,246.25,225.75,240.0625,10612
GRPLTD,2021-10-28,241.4,245.0,235.5,242.375,3756
GRPLTD,2021-10-29,242.4875,244.0,237.0,240.0375,2784
GRPLTD,2021-11-01,250.0,250.0,232.75,235.8125,11480
GRPLTD,2021-11-02,237.5125,242.2375,235.8125,237.4,3432
GRPLTD,2021-11-03,236.2875,246.25,236.2875,239.3,6148
GRPLTD,2021-11-04,250.0,250.0,241.25,245.3,3860
GRPLTD,2021-11-08,243.75,248.7625,240.1375,244.225,4800
GRPLTD,2021-11-09,243.775,248.25,240.025,240.9875,3268
GRPLTD,2021-11-10,243.15,244.35,237.5125,241.1,3276
GRPLTD,2021-11-11,243.8875,243.8875,237.55,242.4625,2152
GRPLTD,2021-11-12,238.7,244.5,234.575,237.7,2552
GRPLTD,2021-11-15,237.475,244.375,236.3125,241.5,4260
GRPLTD,2021-11-16,239.3875,243.75,236.7875,237.675,4416
GRPLTD,2021-11-17,237.75,240.5,226.25,227.8125,12492
GRPLTD,2021-11-18,232.0,239.75,225.225,233.6875,13752
GRPLTD,2021-11-22,232.5125,237.5,228.9,230.6625,2576
GRPLTD,2021-11-23,233.525,237.5,226.25,233.7,3320
GRPLTD,2021-11-24,230.0125,240.0,230.0125,238.15,8480
GRPLTD,2021-11-25,242.5,242.5,235.5,239.6875,4568
GRPLTD,2021-11-26,241.75,241.75,233.2375,238.4125,10076
GRPLTD,2021-11-29,237.6125,239.85,225.2875,237.6125,5272
GRPLTD,2021-11-30,238.625,285.125,235.35,239.875,7760
GRPLTD,2021-12-01,239.9875,242.8875,236.75,237.55,312
GRPLTD,2021-12-02,239.2125,239.95,238.725,238.925,920
GRPLTD,2021-12-03,237.5,245.0,237.5,239.5625,2496
GRPLTD,2021-12-06,237.3875,244.0,236.5,239.775,8216
GRPLTD,2021-12-07,242.5,249.725,239.1125,243.875,4840
GRPLTD,2021-12-08,241.1125,246.95,241.1125,242.5,5516
GRPLTD,2021-12-09,243.5875,249.0,240.0,242.5875,9572
GRPLTD,2021-12-10,245.125,248.675,240.075,243.8125,3700
GRPLTD,2021-12-13,243.8125,255.0,242.5,252.3125,27868
GRPLTD,2021-12-14,255.0,275.0,250.15,274.275,41184
GRPLTD,2021-12-15,274.9625,274.9625,263.0,266.15,5488
GRPLTD,2021-12-16,272.5,272.5,251.5,254.275,7480
GRPLTD,2021-12-17,257.55,259.5,251.0,252.575,4208
GRPLTD,2021-12-20,257.025,257.025,236.25,239.4,4764
GRPLTD,2021-12-21,237.5,245.75,237.5,239.025,3816
GRPLTD,2021-12-22,239.5,260.4375,239.5,255.425,3656
GRPLTD,2021-12-23,259.5,261.1125,250.5,252.5375,4804
GRPLTD,2021-12-24,249.4875,257.25,246.425,250.9625,3572
GRPLTD,2021-12-27,252.625,267.5,244.025,253.2875,5160
GRPLTD,2021-12-28,253.2875,264.9875,251.375,263.0125,5860
GRPLTD,2021-12-29,259.875,267.0,256.5125,265.825,4508
GRPLTD,2021-12-30,263.5,269.975,258.75,258.8125,3568
GRPLTD,2021-12-31,256.0,264.4375,248.75,253.1375,5924
GRPLTD,2022-01-03,250.425,262.4625,250.425,257.925,4296
GRPLTD,2022-01-04,255.375,267.25,255.375,264.2375,7584
GRPLTD,2022-01-05,262.125,317.075,261.625,317.075,91176
GRPLTD,2022-01-06,338.75,380.4875,337.525,376.625,647160
GRPLTD,2022-01-07,381.225,393.2125,360.3125,365.15,149296
GRPLTD,2022-01-10,365.25,379.3,333.175,343.4125,55020
GRPLTD,2022-01-11,343.4125,357.725,337.5,346.325,22836
GRPLTD,2022-01-12,348.15,378.75,345.025,365.9375,38836
