symbol,date,open,high,low,close,volume
GUJRAFFIA,2025-07-18,40.88,40.89,40.1,40.32,526
GUJRAFFIA,2025-07-21,41.62,41.62,40.01,40.48,598
GUJRAFFIA,2025-07-22,39.9,40.95,38.6,39.56,1393
GUJRAFFIA,2025-07-23,39.86,40.8,38.63,39.26,2821
GUJRAFFIA,2025-07-24,39.45,39.98,37.29,37.77,22096
GUJRAFFIA,2025-07-25,37.76,39.65,37.32,39.33,11776
GUJRAFFIA,2025-07-28,37.55,40.89,37.55,38.68,5935
GUJRAFFIA,2025-07-29,39.0,39.36,36.77,38.31,911
GUJRAFFIA,2025-07-30,36.6,40.17,36.6,38.71,4342
GUJRAFFIA,2025-07-31,38.21,39.69,38.2,39.2,79
GUJRAFFIA,2025-08-01,39.2,39.6,38.02,38.71,1897
GUJRAFFIA,2025-08-04,38.9,39.0,37.64,38.5,1891
GUJRAFFIA,2025-08-05,38.7,38.7,37.67,37.68,732
GUJRAFFIA,2025-08-06,36.93,38.89,36.93,37.37,2520
GUJRAFFIA,2025-08-07,38.12,39.99,37.2,37.87,3644
GUJRAFFIA,2025-08-08,39.39,39.39,37.11,38.9,4244
GUJRAFFIA,2025-08-11,42.75,42.75,37.21,38.0,1863
GUJRAFFIA,2025-08-12,38.01,39.38,37.4,37.99,885
GUJRAFFIA,2025-08-13,38.18,38.9,36.0,38.77,1569
GUJRAFFIA,2025-08-14,36.32,39.55,36.0,36.66,8223
GUJRAFFIA,2025-08-18,38.0,38.19,36.0,37.1,2610
GUJRAFFIA,2025-08-19,37.97,38.88,37.01,38.46,1758
GUJRAFFIA,2025-08-20,38.9,41.89,35.45,39.35,40950
GUJRAFFIA,2025-08-21,39.97,41.4,38.46,40.4,46178
GUJRAFFIA,2025-08-22,40.0,40.89,38.7,39.19,6912
GUJRAFFIA,2025-08-25,39.64,42.49,38.02,40.04,45677
GUJRAFFIA,2025-08-26,39.99,41.4,38.23,38.93,38045
GUJRAFFIA,2025-08-28,39.09,40.1,38.0,39.54,3644
GUJRAFFIA,2025-08-29,39.49,39.49,38.1,38.87,1729
GUJRAFFIA,2025-09-01,38.78,39.4,37.71,38.14,3978
GUJRAFFIA,2025-09-02,38.41,40.0,37.22,37.59,2779
GUJRAFFIA,2025-09-03,39.8,39.8,37.61,39.49,3746
GUJRAFFIA,2025-09-04,39.68,39.69,38.5,38.71,1511
GUJRAFFIA,2025-09-05,38.71,39.4,37.61,38.83,705
GUJRAFFIA,2025-09-08,38.25,40.0,38.25,39.39,2759
GUJRAFFIA,2025-09-09,40.0,40.0,38.21,39.58,4846
GUJRAFFIA,2025-09-10,39.38,39.98,38.25,38.99,3814
GUJRAFFIA,2025-09-11,39.29,39.29,38.3,38.87,3080
GUJRAFFIA,2025-09-12,39.0,39.0,38.31,38.84,1073
GUJRAFFIA,2025-09-15,40.0,40.5,38.85,38.85,7358
GUJRAFFIA,2025-09-16,39.63,39.97,37.87,39.37,4140
GUJRAFFIA,2025-09-17,39.85,40.35,38.7,40.03,509
GUJRAFFIA,2025-09-18,39.6,39.6,39.0,39.14,1306
GUJRAFFIA,2025-09-19,38.27,39.88,38.25,38.28,1790
GUJRAFFIA,2025-09-22,37.4,39.98,37.4,38.99,1944
GUJRAFFIA,2025-09-23,37.3,40.4,37.3,38.37,49839
GUJRAFFIA,2025-09-24,38.4,39.89,37.51,38.29,3018
GUJRAFFIA,2025-09-25,40.29,40.94,37.52,39.07,23839
GUJRAFFIA,2025-09-26,39.99,39.99,36.51,38.61,22886
GUJRAFFIA,2025-09-29,38.51,38.51,37.31,38.48,2234
GUJRAFFIA,2025-09-30,38.0,39.78,37.1,39.47,1765
GUJRAFFIA,2025-10-01,39.28,39.4,38.01,39.1,820
GUJRAFFIA,2025-10-03,40.24,40.24,36.0,39.8,4545
GUJRAFFIA,2025-10-06,37.8,39.8,37.8,38.43,848
GUJRAFFIA,2025-10-07,38.43,38.99,36.66,38.0,1069
GUJRAFFIA,2025-10-08,39.98,40.0,37.93,38.62,2542
GUJRAFFIA,2025-10-09,38.99,39.09,38.1,38.89,2983
GUJRAFFIA,2025-10-10,41.44,41.44,38.54,39.14,1294
GUJRAFFIA,2025-10-13,37.3,39.55,37.3,38.04,693
GUJRAFFIA,2025-10-14,36.71,38.68,36.71,37.4,2846
GUJRAFFIA,2025-10-15,37.39,44.88,37.25,44.88,45169
GUJRAFFIA,2025-10-16,53.7,53.85,51.55,53.85,90179
GUJRAFFIA,2025-10-17,59.99,64.62,59.89,64.62,376761
GUJRAFFIA,2025-10-20,70.48,71.08,68.1,71.08,144377
GUJRAFFIA,2025-10-21,77.88,78.18,76.85,78.18,25580
GUJRAFFIA,2025-10-23,82.08,82.08,82.08,82.08,24306
GUJRAFFIA,2025-10-24,86.18,86.18,86.18,86.18,28638
GUJRAFFIA,2025-10-27,88.0,88.0,81.87,81.87,25100
GUJRAFFIA,2025-10-28,77.77,77.77,77.77,77.77,1842
GUJRAFFIA,2025-10-29,73.88,73.88,73.88,73.88,1833
GUJRAFFIA,2025-10-30,70.18,70.18,70.18,70.18,1270
GUJRAFFIA,2025-10-31,66.67,66.67,66.67,66.67,2735
GUJRAFFIA,2025-11-03,63.33,63.33,63.33,63.33,3323
GUJRAFFIA,2025-11-04,62.5,66.49,60.2,66.49,62585
