symbol,date,open,high,low,close,volume
HAVISHA,2025-07-23,2.24,2.24,2.15,2.19,22920
HAVISHA,2025-07-24,2.15,2.23,2.08,2.16,23480
HAVISHA,2025-07-25,2.24,2.24,2.1,2.14,6693
HAVISHA,2025-07-28,2.06,2.17,2.03,2.05,28197
HAVISHA,2025-07-29,2.04,2.14,2.04,2.05,7912
HAVISHA,2025-07-30,1.98,2.15,1.98,2.07,9423
HAVISHA,2025-07-31,2.06,2.17,2.06,2.12,31644
HAVISHA,2025-08-01,2.22,2.22,2.01,2.12,29947
HAVISHA,2025-08-04,2.17,2.18,2.08,2.1,19775
HAVISHA,2025-08-05,2.05,2.15,2.05,2.12,11787
HAVISHA,2025-08-06,2.1,2.17,2.07,2.14,9316
HAVISHA,2025-08-07,2.07,2.19,2.07,2.12,20800
HAVISHA,2025-08-08,2.12,2.16,2.08,2.1,9524
HAVISHA,2025-08-11,2.2,2.2,1.99,2.05,31811
HAVISHA,2025-08-12,2.15,2.15,2.03,2.09,22381
HAVISHA,2025-08-13,2.13,2.15,2.06,2.09,7010
HAVISHA,2025-08-14,2.08,2.13,2.05,2.1,2856
HAVISHA,2025-08-18,2.1,2.14,1.99,2.09,52181
HAVISHA,2025-08-19,2.14,2.14,2.03,2.12,38666
HAVISHA,2025-08-20,2.16,2.16,2.06,2.1,4544
HAVISHA,2025-08-21,2.1,2.12,2.04,2.06,40270
HAVISHA,2025-08-22,2.02,2.12,2.02,2.05,33235
HAVISHA,2025-08-25,2.05,2.15,2.05,2.12,82424
HAVISHA,2025-08-26,2.13,2.15,2.06,2.06,18797
HAVISHA,2025-08-28,2.13,2.13,2.06,2.06,12529
HAVISHA,2025-08-29,2.06,2.12,1.95,2.01,86972
HAVISHA,2025-09-01,2.01,2.08,1.94,2.04,18205
HAVISHA,2025-09-02,2.09,2.09,1.97,2.0,13714
HAVISHA,2025-09-03,2.05,2.06,2.01,2.04,8617
HAVISHA,2025-09-04,2.08,2.08,1.93,2.05,12885
HAVISHA,2025-09-05,2.05,2.05,1.95,1.96,17054
HAVISHA,2025-09-08,2.0,2.05,1.98,2.03,60278
HAVISHA,2025-09-09,2.05,2.05,1.98,2.04,17118
