symbol,date,open,high,low,close,volume
HDIL,2021-07-26,5.5,5.6,5.4,5.55,290538
HDIL,2021-07-27,5.5,5.75,5.4,5.45,250199
HDIL,2021-07-28,5.45,5.6,5.35,5.4,234110
HDIL,2021-07-29,5.45,5.45,5.2,5.25,322955
HDIL,2021-07-30,5.3,5.35,5.15,5.3,218995
HDIL,2021-08-02,5.4,5.55,5.25,5.55,394390
HDIL,2021-08-03,5.7,5.75,5.35,5.35,649358
HDIL,2021-08-04,5.45,5.5,5.2,5.3,358797
HDIL,2021-08-05,5.3,5.3,5.05,5.05,378056
HDIL,2021-08-06,5.0,5.2,5.0,5.15,128608
HDIL,2021-08-09,5.0,5.15,4.9,4.95,351871
HDIL,2021-08-10,5.1,5.1,4.8,4.9,295932
HDIL,2021-08-11,4.8,4.9,4.7,4.7,334854
HDIL,2021-08-12,4.55,4.9,4.55,4.85,340305
HDIL,2021-08-13,4.9,4.9,4.75,4.8,218162
HDIL,2021-08-16,4.7,4.75,4.6,4.6,214313
HDIL,2021-08-17,4.4,4.4,4.4,4.4,162923
HDIL,2021-08-18,4.2,4.3,4.2,4.25,438238
HDIL,2021-08-20,4.25,4.45,4.15,4.35,255473
HDIL,2021-08-23,4.35,4.55,4.25,4.35,168026
HDIL,2021-08-24,4.2,4.4,4.2,4.25,251541
HDIL,2021-08-25,4.35,4.45,4.25,4.45,139767
HDIL,2021-08-26,4.45,4.55,4.25,4.3,234167
HDIL,2021-08-27,4.3,4.5,4.2,4.25,200582
HDIL,2021-08-30,4.35,4.45,4.2,4.4,165662
HDIL,2021-08-31,4.5,4.5,4.25,4.3,187488
HDIL,2021-09-01,4.35,4.35,4.15,4.25,220591
HDIL,2021-09-02,4.3,4.35,4.2,4.3,138424
HDIL,2021-09-03,4.4,4.4,4.15,4.2,272245
HDIL,2021-09-06,4.3,4.4,4.15,4.25,247033
HDIL,2021-09-07,4.3,4.35,4.2,4.3,189920
HDIL,2021-09-08,4.4,4.5,4.35,4.45,327221
HDIL,2021-09-09,4.55,4.65,4.25,4.65,497153
HDIL,2021-09-13,4.7,4.8,4.55,4.55,197307
HDIL,2021-09-14,4.65,4.7,4.55,4.55,164918
HDIL,2021-09-15,4.45,4.7,4.45,4.5,291692
HDIL,2021-09-16,4.6,4.7,4.55,4.7,252917
HDIL,2021-09-17,4.8,4.8,4.55,4.65,253717
HDIL,2021-09-20,4.65,4.85,4.5,4.8,475069
HDIL,2021-09-21,4.95,5.0,4.75,4.8,267559
HDIL,2021-09-22,4.9,4.95,4.6,4.65,292812
HDIL,2021-09-23,4.65,4.7,4.5,4.6,513986
HDIL,2021-09-24,4.65,4.75,4.45,4.55,315032
HDIL,2021-09-27,4.45,4.7,4.45,4.65,233337
HDIL,2021-09-28,4.65,4.7,4.5,4.55,192400
HDIL,2021-09-29,4.6,4.65,4.35,4.55,563742
HDIL,2021-09-30,4.6,4.65,4.5,4.6,193156
HDIL,2021-10-01,4.65,4.65,4.5,4.55,203102
HDIL,2021-10-04,4.55,4.7,4.55,4.6,267225
HDIL,2021-10-05,4.55,4.65,4.5,4.6,201052
HDIL,2021-10-06,4.65,4.65,4.45,4.5,375125
HDIL,2021-10-07,4.45,4.65,4.45,4.55,392785
HDIL,2021-10-08,4.6,4.65,4.45,4.5,592291
HDIL,2021-10-11,4.7,4.7,4.6,4.7,567806
HDIL,2021-10-12,4.9,4.9,4.85,4.9,893494
HDIL,2021-10-13,4.95,5.1,4.95,5.1,371861
HDIL,2021-10-14,5.35,5.35,5.25,5.35,580381
HDIL,2021-10-18,5.6,5.6,5.3,5.55,848916
HDIL,2021-10-19,5.8,5.8,5.3,5.3,629737
HDIL,2021-10-20,5.05,5.1,5.05,5.05,303166
HDIL,2021-10-21,4.8,5.1,4.8,4.85,436381
