symbol,date,open,high,low,close,volume
HIRECT,2025-07-24,658.4,672.5,658.4,669.2,104902
HIRECT,2025-07-25,672.5,684.2,664.6,674.9,136794
HIRECT,2025-07-28,665.4,735.0,665.4,713.45,536136
HIRECT,2025-07-29,722.45,856.1,711.4,856.1,2242248
HIRECT,2025-07-30,882.55,999.0,881.1,975.65,6210218
HIRECT,2025-07-31,933.5,968.85,906.25,917.0,798624
HIRECT,2025-08-01,920.0,967.1,911.1,948.05,481402
HIRECT,2025-08-04,961.85,1005.0,955.0,993.35,569804
HIRECT,2025-08-05,1015.0,1015.0,977.55,992.2,169340
HIRECT,2025-08-06,990.05,995.95,941.2,957.45,190760
HIRECT,2025-08-07,954.55,962.95,915.5,924.25,146476
HIRECT,2025-08-08,925.95,931.1,886.45,917.2,144534
HIRECT,2025-08-11,927.45,957.55,920.2,938.4,94534
HIRECT,2025-08-12,987.45,987.45,947.5,953.7,129360
HIRECT,2025-08-13,958.55,973.75,947.45,953.1,85296
HIRECT,2025-08-14,969.95,1010.8,951.1,958.7,192182
HIRECT,2025-08-18,975.5,1038.6,963.6,997.6,320016
HIRECT,2025-08-19,992.5,1030.0,976.5,1017.7,135536
HIRECT,2025-08-20,1024.4,1054.25,915.95,916.0,647828
HIRECT,2025-08-21,915.95,915.95,831.5,845.1,430138
HIRECT,2025-08-22,854.35,858.95,823.75,826.5,179468
HIRECT,2025-08-25,817.5,817.5,795.0,801.4,211630
HIRECT,2025-08-26,802.5,813.7,787.8,791.0,103084
HIRECT,2025-08-28,790.0,790.0,760.25,769.15,99246
HIRECT,2025-08-29,769.95,778.65,750.65,755.1,76260
HIRECT,2025-09-01,750.0,792.85,750.0,781.5,123724
HIRECT,2025-09-02,789.5,804.0,770.45,776.7,99514
HIRECT,2025-09-03,779.9,815.5,779.9,815.5,114642
HIRECT,2025-09-04,825.0,850.0,794.4,799.1,208608
HIRECT,2025-09-05,815.0,839.05,794.45,839.05,91876
HIRECT,2025-09-08,859.5,861.95,817.25,830.15,146654
HIRECT,2025-09-09,839.5,871.65,838.5,871.65,174712
HIRECT,2025-09-10,890.0,897.0,857.55,865.35,173394
HIRECT,2025-09-11,879.5,883.45,831.15,843.8,85336
HIRECT,2025-09-12,860.0,860.0,823.65,834.45,91444
HIRECT,2025-09-15,855.0,855.0,828.5,831.4,38460
HIRECT,2025-09-16,849.95,849.95,808.0,811.95,63656
HIRECT,2025-09-17,817.5,822.05,797.6,806.15,68832
HIRECT,2025-09-18,811.45,827.8,809.9,821.75,63766
HIRECT,2025-09-19,850.0,862.8,845.25,862.8,62054
HIRECT,2025-09-22,884.95,890.25,845.7,852.6,136320
HIRECT,2025-09-23,874.0,874.0,837.15,845.8,51204
HIRECT,2025-09-24,846.3,867.5,845.0,849.8,66894
HIRECT,2025-09-25,846.5,872.5,841.95,854.15,50378
HIRECT,2025-09-26,857.1,869.95,835.5,846.15,92950
HIRECT,2025-09-29,849.55,858.35,819.45,828.3,43544
HIRECT,2025-09-30,827.65,835.25,807.5,814.0,36946
HIRECT,2025-10-01,815.25,842.5,809.5,836.85,34852
HIRECT,2025-10-03,837.5,854.95,833.1,845.55,35986
HIRECT,2025-10-06,847.6,852.5,837.55,841.35,25588
HIRECT,2025-10-07,846.95,862.5,836.0,841.3,38072
HIRECT,2025-10-08,842.2,844.95,820.0,822.75,45216
HIRECT,2025-10-09,826.9,826.9,801.0,805.05,48976
HIRECT,2025-10-10,809.2,827.45,805.5,813.7,31506
HIRECT,2025-10-13,807.5,812.5,792.5,800.05,46848
HIRECT,2025-10-14,800.05,808.0,781.0,802.6,43974
HIRECT,2025-10-15,812.5,819.95,797.6,815.9,33556
HIRECT,2025-10-16,819.35,825.0,795.0,806.7,39402
HIRECT,2025-10-17,801.55,813.45,794.85,800.9,37094
HIRECT,2025-10-20,797.5,809.6,795.0,797.3,32836
HIRECT,2025-10-21,799.5,810.0,783.45,801.8,11808
HIRECT,2025-10-23,804.5,814.2,795.0,800.1,26622
HIRECT,2025-10-24,803.7,806.0,788.45,801.5,31638
